Phenotype	PheCode	30-39	40-49	50-59	60-69	70-79
Delirium dementia and amnestic and other cognitive disorders	290.0	0.0	0.03	0.07	0.26	0.7
Substance addiction and disorders	316.0	0.0	0.25	0.13	0.06	0.04
Alcohol-related disorders	317.0	0.0	1.74	1.82	1.55	1.64
Alcoholism	317.1	0.0	2.09	2.58	2.95	2.33
Tobacco use disorder	318.0	16.67	5.61	5.77	5.9	5.57
Schizophrenia	295.1	0.0	0.3	0.22	0.16	0.1
Major depressive disorder	296.22	0.0	0.13	0.12	0.13	0.05
Schizoid personality disorder	301.1	0.0	0.01	0.01	0.01	0.05
Paranoid disorders	295.2	0.0	0.08	0.07	0.06	0.05
Bipolar	296.1	0.0	0.39	0.37	0.33	0.46
Personality disorders	301.0	0.0	0.15	0.09	0.05	0.05
Dysthymic disorder	300.4	0.0	0.02	0.01	0.01	0.0
Phobia	300.13	0.0	0.17	0.18	0.3	0.61
Agorophobia, social phobia, and panic disorder	300.12	0.0	0.26	0.26	0.32	0.46
Generalized anxiety disorder	300.11	0.0	0.05	0.05	0.05	0.05
Obsessive-compulsive disorders	300.3	0.0	0.07	0.06	0.04	0.05
Acute reaction to stress	300.8	0.0	0.06	0.04	0.03	0.0
Posttraumatic stress disorder	300.9	0.0	0.09	0.06	0.02	0.05
Adjustment reaction	304.0	0.0	0.13	0.1	0.07	0.0
Dissociative disorder	303.1	0.0	0.01	0.02	0.01	0.0
Psychogenic and somatoform disorders	303.0	0.0	0.0	0.0	0.0	0.0
Schizophrenia and other psychotic disorders	295.0	0.0	0.0	0.01	0.0	0.0
Somatoform disorder	303.4	0.0	0.05	0.04	0.03	0.0
Psychogenic disorder	303.3	0.0	0.09	0.11	0.12	0.05
Anxiety, phobic and dissociative disorders	300.0	0.0	0.13	0.11	0.1	0.15
Other mental disorder	306.0	0.0	4.5	7.62	13.38	16.97
Eating disorder	305.2	0.0	0.04	0.02	0.01	0.0
Anorexia nervosa	305.21	0.0	0.03	0.01	0.01	0.0
Sleep disorders	327.0	0.0	0.21	0.3	0.28	0.13
Insomnia	327.4	0.0	0.0	0.01	0.01	0.0
Hypersomnia	327.1	0.0	0.0	0.0	0.0	0.0
Circadian rhythm sleep disorder	327.6	0.0	0.01	0.01	0.01	0.0
Parasomnia	327.5	0.0	0.01	0.01	0.0	0.0
Sexual and gender identity disorders	302.0	0.0	0.07	0.1	0.14	0.21
Decreased libido	302.1	0.0	0.01	0.01	0.0	0.0
Erectile dysfunction [ED]	605.0	0.0	0.09	0.13	0.23	0.37
Antisocial/borderline personality disorder	301.2	0.0	0.11	0.04	0.01	0.0
Impulse control disorder	312.3	0.0	0.0	0.0	0.0	0.0
Develomental delays and disorders	315.0	0.0	0.06	0.07	0.12	0.21
Mental retardation	315.3	0.0	0.03	0.02	0.01	0.04
Speech and language disorder	315.2	0.0	0.01	0.01	0.05	0.04
Learning disorder	315.1	0.0	0.09	0.06	0.03	0.0
Autism	313.3	0.0	0.04	0.02	0.01	0.0
Conduct disorders	312.0	0.0	0.0	0.0	0.0	0.0
Pervasive developmental disorders	313.0	0.0	0.0	0.0	0.0	0.0
Tics and stuttering	313.2	0.0	0.0	0.01	0.0	0.0
Other paralytic syndromes	344.0	0.0	0.17	0.2	0.22	0.54
Encephalitis, non-infectious	323.8	0.0	0.01	0.01	0.01	0.0
Phlebitis and thrombophlebitis of intracranial venous sinuses	325.0	0.0	0.01	0.01	0.01	0.0
Spinocerebellar disease	334.1	0.0	0.03	0.04	0.05	0.05
Anterior horn cell disease	334.2	0.0	0.03	0.06	0.11	0.18
Inflammatory and toxic neuropathy	357.0	0.0	0.24	0.4	0.61	0.71
Parkinson's disease	332.0	0.0	0.06	0.21	0.72	1.55
Other and unspecified disorders of the nervous system	349.0	0.0	0.1	0.12	0.13	0.22
Other degenerative diseases of the basal ganglia	333.8	0.0	0.01	0.01	0.03	0.13
Torsion dystonia	333.4	0.0	0.06	0.07	0.1	0.13
Extrapyramidal disease and abnormal movement disorders	333.0	0.0	0.06	0.1	0.15	0.09
Essential tremor	333.1	0.0	0.02	0.05	0.14	0.4
Myoclonus	333.2	0.0	0.01	0.03	0.04	0.05
Cerebral degeneration, unspecified	331.9	0.0	0.05	0.11	0.24	0.18
Degenerative disease of the spinal cord	334.0	0.0	0.29	0.41	0.58	0.76
Multiple sclerosis	335.0	0.0	0.42	0.43	0.29	0.18
Other demyelinating diseases of central nervous system	341.0	0.0	0.08	0.08	0.04	0.05
Acute (transverse) myelitis	323.2	0.0	0.03	0.02	0.01	0.04
Epilepsy, recurrent seizures, convulsions	345.0	0.0	0.87	0.91	1.04	1.64
Partial epilepsy	345.12	0.0	0.1	0.08	0.08	0.27
Epilepsy	345.1	0.0	0.09	0.09	0.1	0.18
Generalized convulsive epilepsy	345.11	0.0	0.15	0.11	0.13	0.18
Convulsions	345.3	0.0	0.63	0.64	0.73	0.98
Migraine	340.0	0.0	1.05	0.89	0.71	0.81
Migrain with aura	340.1	0.0	0.09	0.07	0.05	0.04
Other headache syndromes	339.0	0.0	2.48	2.24	2.15	2.75
Tension headache	306.9	0.0	0.12	0.11	0.09	0.15
Transient cerebral ischemia	433.31	0.0	0.17	0.43	1.01	1.59
Retinal vascular changes and abnomalities	362.4	0.0	0.08	0.19	0.45	0.55
Cerebrovascular disease	433.0	0.0	0.11	0.33	0.78	1.29
Organic or persistent insomnia	327.41	0.0	0.05	0.05	0.05	0.0
Alteration of consciousness	291.8	0.0	0.1	0.15	0.19	0.31
Sleep apnea	327.3	0.0	1.12	1.44	1.45	0.91
Cataplexy and narcolepsy	347.0	0.0	0.02	0.01	0.01	0.0
Trigeminal nerve disorders [CN5]	352.1	0.0	0.09	0.13	0.18	0.17
Facial nerve disorders [CN7]	352.2	0.0	0.18	0.25	0.31	0.35
Disorders of other cranial nerves	352.0	0.0	0.01	0.02	0.03	0.04
Nerve root and plexus disorders	353.0	0.0	0.17	0.29	0.44	0.56
Nerve plexus lesions	353.1	0.0	0.04	0.03	0.03	0.04
Nerve root lesions	353.2	0.0	0.01	0.01	0.02	0.04
Other and unspecified disc disorder	722.9	0.0	1.18	1.08	1.22	1.74
Injuries to the nervous system	907.0	0.0	0.36	0.37	0.35	0.29
Other peripheral nerve disorders	351.0	0.0	2.33	3.51	3.88	4.14
Complex regional/central pain syndrome	355.0	0.0	0.0	0.01	0.01	0.0
Hereditary and idiopathic peripheral neuropathy	356.0	0.0	0.03	0.03	0.06	0.04
Polyneuropathy due to drugs	316.1	0.0	0.01	0.02	0.03	0.09
Polyneuropathy in diabetes	250.6	0.0	0.06	0.13	0.2	0.14
Myasthenia gravis	358.1	0.0	0.02	0.05	0.07	0.17
Myoneural disorders	358.0	0.0	0.01	0.01	0.01	0.04
Myopathy	359.2	0.0	0.06	0.07	0.09	0.21
Muscular dystrophies	359.1	0.0	0.05	0.03	0.03	0.04
Infantile cerebral palsy	343.0	0.0	0.05	0.05	0.03	0.13
Hemiplegia	342.0	0.0	0.28	0.4	0.7	1.11
Disorders of the autonomic nervous system	337.0	0.0	0.03	0.05	0.07	0.05
Peripheral autonomic neuropathy	337.1	0.0	0.0	0.01	0.03	0.05
Other specified congenital anomalies of nervous system	752.2	0.0	0.02	0.02	0.02	0.0
Hydrocephalus	331.1	0.0	0.1	0.13	0.2	0.63
Cerebral cysts	348.4	0.0	0.03	0.05	0.04	0.05
Other conditions of brain	348.0	0.0	0.03	0.04	0.06	0.18
Cerebral edema and compression of brain	348.2	0.0	0.08	0.09	0.09	0.27
Chronic fatigue syndrome	798.1	0.0	0.18	0.21	0.14	0.17
Other conditions of brain, NOS	348.9	0.0	0.07	0.13	0.16	0.45
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.0	0.14	0.14	0.17	0.14
Inflammation of eyelids	371.3	0.0	0.55	0.64	0.72	1.04
Noninfectious dermatoses of eyelid	371.33	0.0	0.0	0.0	0.01	0.0
Other disorders of eyelids	374.0	0.0	0.52	0.79	1.08	1.25
Ectropion or entropion	374.1	0.0	0.06	0.18	0.57	1.3
Lagophthalmos	374.2	0.0	0.01	0.01	0.01	0.0
Ptosis of eyelid	374.3	0.0	0.18	0.44	0.82	1.51
Disorders of lacrimal system	375.0	0.0	0.2	0.4	0.74	1.06
Epiphora	375.2	0.0	0.09	0.19	0.42	0.71
Disorders of the orbit	376.0	0.0	0.02	0.02	0.03	0.04
Chronic inflammatory disorders of orbit	371.9	0.0	0.0	0.0	0.0	0.0
Exophthalmos	242.3	0.0	0.03	0.04	0.04	0.05
Conjunctivitis, infectious	369.5	0.0	0.04	0.06	0.11	0.22
Conjunctivitis, noninfectious	371.2	0.0	0.0	0.01	0.01	0.0
Disorders of conjunctiva	372.0	0.0	0.18	0.2	0.33	0.52
Pemphigus and pemphigoid	695.22	0.0	0.02	0.02	0.04	0.08
Inflammation of the eye	371.0	0.0	0.02	0.02	0.04	0.09
Other disorders of eye	379.0	0.0	0.06	0.08	0.12	0.13
Scleritis and episcleritis	379.1	0.0	0.01	0.01	0.01	0.04
Keratitis	370.0	0.0	0.03	0.04	0.05	0.09
Corneal ulcer	370.1	0.0	0.03	0.04	0.05	0.13
Keratoconjunctivitis	370.3	0.0	0.01	0.01	0.01	0.09
Corneal opacity	364.1	0.0	0.02	0.02	0.05	0.14
Corneal opacity and other disorders of cornea	364.0	0.0	0.04	0.06	0.1	0.27
Corneal edema	364.2	0.0	0.01	0.02	0.04	0.14
Corneal degenerations	364.4	0.0	0.01	0.03	0.08	0.23
Corneal dystrophy	364.5	0.0	0.02	0.04	0.12	0.27
Keratoconus	364.41	0.0	0.04	0.03	0.02	0.05
Disorders of the globe	360.0	0.0	0.01	0.02	0.03	0.05
Uveitis, noninfectious or NOS	371.1	0.0	0.1	0.15	0.18	0.44
Disorders of iris and ciliary body	379.5	0.0	0.05	0.09	0.17	0.13
Senile cataract	366.2	0.0	0.36	1.65	5.78	13.5
Aphakia and other disorders of lens	379.3	0.0	0.09	0.34	1.17	3.39
Cataract	366.0	0.0	0.91	3.14	9.65	20.71
Nonsenile Cataract	366.1	0.0	0.01	0.03	0.03	0.05
Traumatic cataract	366.3	0.0	0.02	0.03	0.04	0.05
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.0	0.01	0.02	0.04	0.0
Chorioretinal scars	363.3	0.0	0.01	0.02	0.04	0.05
Choroidal degenerations	363.4	0.0	0.0	0.01	0.01	0.0
Retinal detachment with retinal defect	361.1	0.0	0.21	0.42	0.51	0.46
Retinoschisis and retinal cysts	361.2	0.0	0.01	0.02	0.03	0.09
Retinal detachments and defects	361.0	0.0	0.23	0.53	0.81	0.68
Other retinal disorders	362.0	0.0	0.09	0.22	0.49	0.64
Retinopathy of prematurity	362.1	0.0	0.0	0.0	0.0	0.0
Other nondiabetic retinopathy	362.3	0.0	0.01	0.02	0.03	0.05
Macular degeneration (senile) of retina NOS	362.29	0.0	0.12	0.4	1.5	3.73
Peripheral retinal degenerations	362.6	0.0	0.03	0.05	0.06	0.14
Hereditary retinal dystrophies	362.7	0.0	0.02	0.03	0.03	0.05
Retinal hemorrhage/ischemia	362.8	0.0	0.01	0.02	0.05	0.09
Separation of retinal layers	362.31	0.0	0.01	0.02	0.04	0.05
Glaucoma	365.0	0.0	0.27	0.78	2.01	4.09
Primary open angle glaucoma	365.11	0.0	0.06	0.23	0.67	1.71
Primary angle-closure glaucoma	365.2	0.0	0.06	0.17	0.36	0.5
Disorders of vitreous body	379.2	0.0	0.14	0.32	0.65	1.23
Progressive myopia	360.2	0.0	0.02	0.05	0.1	0.09
Hypotony of eye	360.3	0.0	0.0	0.01	0.01	0.0
Optic neuritis/neuropathy	377.3	0.0	0.04	0.05	0.06	0.0
Disorders of optic nerve and visual pathways	377.0	0.0	0.04	0.05	0.08	0.22
Optic atrophy	377.1	0.0	0.01	0.02	0.03	0.04
Paralytic strabismus	378.5	0.0	0.05	0.08	0.1	0.31
Strabismus and other disorders of binocular eye movements	378.0	0.0	0.02	0.01	0.02	0.09
Strabismus (not specified as paralytic)	378.1	0.0	0.24	0.25	0.26	0.49
Disorders of refraction and accommodation; blindness and low vision	367.0	0.0	0.02	0.03	0.03	0.04
Hypermetropia	367.8	0.0	0.03	0.06	0.12	0.29
Myopia	367.1	0.0	0.15	0.38	0.59	0.79
Astigmatism	367.2	0.0	0.03	0.06	0.1	0.17
Anisometropia	368.3	0.0	0.01	0.04	0.08	0.13
Presbyopia	367.4	0.0	0.01	0.0	0.01	0.04
Disorders of accommodation	368.7	0.0	0.0	0.0	0.0	0.0
Visual disturbances	368.0	0.0	0.28	0.28	0.4	0.46
Amblyopia	368.1	0.0	0.07	0.12	0.28	0.63
Subjective visual disturbances	368.9	0.0	0.21	0.19	0.21	0.25
Diplopia and disorders of binocular vision	368.2	0.0	0.15	0.2	0.26	0.46
Visual field defects	368.4	0.0	0.05	0.1	0.14	0.29
Color vision deficiencies	368.5	0.0	0.0	0.0	0.0	0.0
Blindness and low vision	367.9	0.0	0.13	0.19	0.29	0.42
Nystagmus and other irregular eye movements	378.2	0.0	0.05	0.06	0.08	0.27
Anomalies of pupillary function	379.4	0.0	0.02	0.02	0.04	0.09
Pain, swelling or discharge of eye	379.9	0.0	0.05	0.05	0.06	0.13
Otitis externa	380.1	0.0	0.15	0.12	0.15	0.17
Carbuncle and furuncle	686.1	0.0	0.77	0.72	0.64	0.51
Cholesteatoma	385.3	0.0	0.11	0.13	0.17	0.17
Disorders of external ear	380.0	0.0	0.1	0.15	0.24	0.25
Impacted cerumen	380.4	0.0	0.06	0.09	0.11	0.17
Suppurative and unspecified otitis media	381.11	0.0	0.19	0.19	0.24	0.46
Eustachian tube disorders	381.2	0.0	0.05	0.05	0.06	0.13
Mastoiditis & related conditions	381.3	0.0	0.04	0.04	0.04	0.13
Perforation of tympanic membrane	384.4	0.0	0.23	0.26	0.29	0.08
Other disorders of tympanic membrane	384.0	0.0	0.09	0.1	0.1	0.08
Myringitis	384.1	0.0	0.0	0.0	0.01	0.0
Other disorders of middle ear and mastoid	385.0	0.0	0.03	0.03	0.04	0.0
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.0	0.05	0.06	0.06	0.0
Otosclerosis	383.0	0.0	0.09	0.09	0.07	0.08
Vertiginous syndromes and other disorders of vestibular system	386.0	0.0	0.02	0.02	0.02	0.0
Meniere's disease	386.1	0.0	0.09	0.14	0.22	0.3
Central origin vertigo	386.21	0.0	0.0	0.0	0.0	0.0
Labyrinthitis	386.3	0.0	0.14	0.19	0.27	0.43
Degenerative and vascular disorders of ear	389.3	0.0	0.0	0.01	0.02	0.04
Hearing loss	389.0	0.0	0.41	0.74	1.64	2.91
Conductive hearing loss	389.2	0.0	0.1	0.12	0.12	0.26
Sensorineural hearing loss	389.1	0.0	0.09	0.14	0.2	0.17
Otalgia	382.0	0.0	0.08	0.08	0.08	0.04
Otorrhea	381.9	0.0	0.06	0.06	0.08	0.08
Tinnitus	389.4	0.0	0.09	0.16	0.22	0.21
Disorders of acoustic nerve	389.5	0.0	0.01	0.0	0.01	0.0
Other disorders of ear	388.0	0.0	0.03	0.02	0.03	0.0
Rheumatic fever / chorea	41.21	0.0	0.0	0.0	0.01	0.0
Acute rheumatic heart disease	394.4	0.0	0.0	0.01	0.02	0.0
Acute pericarditis	420.21	0.0	0.05	0.05	0.07	0.0
Myocarditis	420.1	0.0	0.02	0.03	0.04	0.0
Mitral valve disease	394.2	0.0	0.33	0.68	1.59	2.3
Rheumatic disease of the heart valves	394.0	0.0	0.07	0.2	0.59	1.03
Aortic valve disease	394.3	0.0	0.12	0.28	0.71	1.2
Disease of tricuspid valve	394.7	0.0	0.13	0.26	0.69	0.86
Nonrheumatic mitral valve disorders	395.1	0.0	0.32	0.65	1.54	2.3
Nonrheumatic aortic valve disorders	395.2	0.0	0.02	0.04	0.15	0.26
Chronic pericarditis	420.22	0.0	0.01	0.02	0.03	0.04
Essential hypertension	401.1	0.0	8.06	18.11	33.61	43.34
Hypertensive heart disease	401.21	0.0	0.02	0.06	0.12	0.15
Hypertensive chronic kidney disease	401.22	0.0	0.15	0.34	0.98	2.21
Hypertensive heart and/or renal disease	401.2	0.0	0.0	0.01	0.03	0.07
Other hypertensive complications	401.3	0.0	0.03	0.04	0.07	0.15
Angina pectoris	411.3	0.0	1.09	3.32	7.88	11.11
Unstable angina (intermediate coronary syndrome)	411.1	0.0	0.42	1.11	2.39	4.06
Myocardial infarction	411.2	0.0	1.03	2.72	5.9	9.11
Other forms of chronic heart disease	414.0	0.0	0.18	0.48	1.2	1.83
Other acute and subacute forms of ischemic heart disease	411.9	0.0	0.16	0.35	0.69	0.72
Coronary atherosclerosis	411.4	0.0	1.46	4.25	9.37	13.11
Other chronic ischemic heart disease, unspecified	411.8	0.0	0.92	2.94	7.82	12.56
Atherosclerosis	440.0	0.0	0.01	0.03	0.09	0.17
Aneurysm and dissection of heart	411.41	0.0	0.1	0.18	0.35	0.36
Pulmonary embolism and infarction, acute	415.11	0.0	0.0	0.01	0.02	0.09
Pulmonary heart disease	415.0	0.0	0.51	0.91	1.54	1.65
Primary pulmonary hypertension	415.21	0.0	0.04	0.09	0.21	0.34
Chronic pulmonary heart disease	415.2	0.0	0.02	0.04	0.1	0.09
Pericarditis	420.2	0.0	0.21	0.27	0.47	0.54
Congenital anomalies of great vessels	747.13	0.0	0.12	0.34	1.01	1.49
Nonrheumatic tricuspid valve disorders	395.3	0.0	0.01	0.03	0.06	0.17
Nonrheumatic pulmonary valve disorders	395.4	0.0	0.02	0.04	0.05	0.04
Primary/intrinsic cardiomyopathies	425.1	0.0	0.16	0.28	0.45	0.38
Hypertrophic obstructive cardiomyopathy	425.11	0.0	0.02	0.04	0.06	0.04
Other hypertrophic cardiomyopathy	425.12	0.0	0.04	0.06	0.07	0.0
Other cardiomyopathy	425.8	0.0	0.01	0.02	0.02	0.0
Cardiomyopathy	425.0	0.0	0.0	0.01	0.01	0.0
Secondary/extrinsic cardiomyopathies	425.2	0.0	0.0	0.0	0.0	0.0
First degree AV block	426.21	0.0	0.08	0.2	0.71	1.31
Second degree AV block	426.23	0.0	0.05	0.09	0.29	0.56
Atrioventricular block, complete	426.24	0.0	0.04	0.12	0.39	0.76
Atrioventricular [AV] block	426.2	0.0	0.01	0.03	0.07	0.2
Left bundle branch block	426.32	0.0	0.15	0.39	1.13	1.81
Bundle branch block	426.3	0.0	0.02	0.05	0.19	0.51
Right bundle branch block	426.31	0.0	0.18	0.37	0.94	1.66
Other heart block	426.25	0.0	0.01	0.02	0.07	0.05
Anomalous atrioventricular excitation	426.4	0.0	0.06	0.06	0.07	0.0
Other cardiac conduction disorders	426.8	0.0	0.01	0.02	0.03	0.05
Cardiac conduction disorders	426.0	0.0	0.02	0.03	0.09	0.31
Cardiac arrest	427.42	0.0	0.11	0.26	0.56	0.86
Paroxysmal tachycardia, unspecified	427.1	0.0	0.02	0.03	0.05	0.05
Paroxysmal ventricular tachycardia	427.12	0.0	0.12	0.22	0.47	0.76
Paroxysmal supraventricular tachycardia	427.11	16.67	0.38	0.63	1.04	1.26
Atrial fibrillation and flutter	427.2	0.0	0.89	2.7	7.9	13.02
Ventricular fibrillation and flutter	427.41	0.0	0.04	0.1	0.17	0.36
Supraventricular premature beats	427.61	0.0	0.01	0.03	0.07	0.0
Premature beats	427.6	0.0	0.11	0.19	0.33	0.36
Other specified cardiac dysrhythmias	427.3	0.0	0.42	0.78	1.72	2.68
Sinoatrial node dysfunction (Bradycardia)	427.8	0.0	0.04	0.08	0.27	0.41
Arrhythmia (cardiac) NOS	427.5	0.0	0.12	0.22	0.49	0.86
Heart failure NOS	428.2	0.0	0.33	0.91	2.37	3.77
Congestive heart failure (CHF) NOS	428.1	0.0	0.14	0.39	1.3	1.96
Cardiomegaly	416.0	0.0	0.32	0.62	1.41	1.73
Subarachnoid hemorrhage	430.1	0.0	0.16	0.23	0.25	0.27
Circulatory disease NEC	459.9	0.0	2.18	3.94	7.57	11.4
Intracerebral hemorrhage	430.2	0.0	0.08	0.16	0.36	0.8
Subdural hemorrhage	430.3	0.0	0.03	0.06	0.15	0.18
Intracranial hemorrhage	430.0	0.0	0.03	0.03	0.05	0.18
Occlusion of cerebral arteries	433.2	0.0	0.3	0.62	1.48	2.5
Cerebral artery occlusion, with cerebral infarction	433.21	0.0	0.17	0.39	0.89	1.81
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.0	0.01	0.03	0.07	0.09
Occlusion and stenosis of precerebral arteries	433.1	0.0	0.06	0.18	0.55	1.2
Cerebral ischemia	433.3	0.0	0.07	0.19	0.64	1.72
Arterial dissection	442.4	0.0	0.01	0.02	0.01	0.0
Cerebral aneurysm	433.5	0.0	0.1	0.1	0.13	0.09
Cerebral atherosclerosis	433.12	0.0	0.02	0.04	0.14	0.31
Moyamoya disease	433.32	0.0	0.0	0.0	0.0	0.0
Late effects of cerebrovascular disease	433.8	0.0	0.18	0.29	0.63	1.07
Atherosclerosis of aorta	440.9	0.0	0.01	0.03	0.09	0.04
Atherosclerosis of renal artery	440.1	0.0	0.01	0.01	0.04	0.0
Atherosclerosis of the extremities	440.2	0.0	0.02	0.08	0.23	0.31
Aortic aneurysm	442.1	0.0	0.06	0.13	0.31	0.35
Abdominal aortic aneurysm	442.11	0.0	0.01	0.1	0.58	1.51
Other aneurysm	442.0	0.0	0.0	0.01	0.01	0.04
Aneurysm of other specified artery	442.8	0.0	0.04	0.06	0.09	0.09
Aneurysm of iliac artery	442.2	0.0	0.0	0.01	0.06	0.09
Aneurysm of artery of lower extremity	442.3	0.0	0.01	0.03	0.09	0.0
Other specified peripheral vascular diseases	443.8	0.0	0.0	0.02	0.02	0.0
Raynaud's syndrome	443.1	0.0	0.25	0.35	0.44	0.35
Thromboangiitis obliterans	446.1	0.0	0.0	0.0	0.0	0.0
Peripheral vascular disease, unspecified	443.9	0.0	0.18	0.51	1.35	2.26
Arterial embolism and thrombosis	444.0	0.0	0.05	0.11	0.18	0.17
Embolism and thrombosis of abdominal aorta	444.2	0.0	0.0	0.01	0.01	0.0
Arterial embolism and thrombosis of lower extremity artery	444.1	0.0	0.05	0.11	0.27	0.35
Other disorders of arteries and arterioles	447.0	0.0	0.08	0.14	0.24	0.39
Stricture of artery	447.1	0.0	0.05	0.17	0.42	0.65
Arteritis NOS	446.9	0.0	0.04	0.06	0.11	0.31
Disease of capillaries	448.0	0.0	0.02	0.03	0.05	0.04
Nevus, non-neoplastic	217.1	0.0	0.09	0.15	0.21	0.04
Phlebitis and thrombophlebitis	451.0	0.0	0.07	0.1	0.15	0.1
Phlebitis and thrombophlebitis of lower extremities	451.2	0.0	0.57	0.93	1.55	1.65
Other venous embolism and thrombosis	452.0	0.0	0.13	0.18	0.22	0.14
Varicose veins of lower extremity	454.1	0.0	2.15	2.73	3.41	3.9
Varicose veins of lower extremity, symptomtic	454.11	0.0	0.1	0.19	0.34	0.48
Hemorrhoids	455.0	16.67	5.14	6.35	7.59	8.77
Esophageal bleeding (varices/hemorrhage)	530.2	0.0	0.31	0.53	0.79	0.9
Varicose veins	454.0	0.0	0.17	0.15	0.15	0.14
Postphlebitic syndrome	452.8	0.0	0.0	0.01	0.01	0.0
Other disorders of circulatory system	459.0	0.0	0.02	0.04	0.06	0.0
Chronic venous insufficiency [CVI]	456.0	0.0	0.03	0.06	0.12	0.19
Lymphadenitis	289.4	0.0	0.58	0.75	0.97	1.23
Noninfectious disorders of lymphatic channels	450.0	0.0	0.15	0.22	0.3	0.45
Hypotension NOS	458.9	0.0	0.55	0.99	1.91	2.87
Orthostatic hypotension	458.1	0.0	0.12	0.32	0.89	1.52
Iatrogenic hypotension	458.2	0.0	0.02	0.05	0.13	0.19
Heart transplant/surgery	429.1	0.0	0.01	0.01	0.02	0.04
Acute sinusitis	464.0	0.0	0.05	0.05	0.05	0.13
Acute pharyngitis	465.2	0.0	0.23	0.25	0.26	0.33
Acute tonsillitis	474.1	0.0	0.38	0.14	0.06	0.13
Acute laryngitis and tracheitis	465.4	0.0	0.04	0.04	0.05	0.04
Acute bronchitis and bronchiolitis	483.0	0.0	0.05	0.07	0.09	0.13
Influenza	481.0	0.0	0.1	0.12	0.16	0.4
Pneumococcal pneumonia	480.11	0.0	0.93	1.53	2.96	4.67
Pseudomonal pneumonia	480.12	0.0	0.01	0.02	0.05	0.09
Bronchopneumonia and lung abscess	480.5	0.0	0.06	0.1	0.18	0.49
Pulmonary congestion and hypostasis	503.0	0.0	0.06	0.13	0.25	0.23
Other diseases of respiratory system, NEC	519.8	0.0	1.63	2.23	3.72	5.3
Allergic rhinitis	476.0	0.0	0.43	0.41	0.37	0.48
Chronic pharyngitis and nasopharyngitis	472.0	0.0	0.24	0.27	0.26	0.31
Chronic sinusitis	475.0	0.0	0.58	0.76	0.73	0.61
Nasal polyps	471.0	0.0	0.66	0.81	1.0	0.91
Other upper respiratory disease	479.0	0.0	0.99	1.11	1.18	1.43
Septal Deviations/Turbinate Hypertrophy	470.0	0.0	1.53	1.33	1.03	0.7
Chronic tonsillitis and adenoiditis	474.2	0.0	0.55	0.23	0.17	0.13
Acute and chronic tonsillitis	474.0	0.0	0.23	0.1	0.07	0.09
Chronic laryngitis	473.1	0.0	0.01	0.02	0.03	0.09
Paralysis/spasm of vocal cords or larynx	473.3	0.0	0.04	0.07	0.12	0.18
Diseases of the larynx and vocal cords	473.0	0.0	0.3	0.4	0.53	0.83
Bronchitis	497.0	0.0	0.11	0.17	0.29	0.58
Chronic bronchitis	496.2	0.0	0.03	0.08	0.16	0.29
Emphysema	496.1	0.0	0.14	0.44	1.0	1.63
Obstructive chronic bronchitis	496.21	0.0	0.18	0.66	1.64	2.85
Chronic airway obstruction	496.0	0.0	0.61	1.83	4.24	6.44
Asthma	495.0	0.0	6.65	7.1	8.48	10.53
Asthma with exacerbation	495.2	0.0	0.09	0.08	0.08	0.1
Bronchiectasis	496.3	0.0	0.15	0.49	1.15	1.63
Pneumoconiosis	500.2	0.0	0.0	0.03	0.15	0.63
Extrinsic allergic alveolitis	500.1	0.0	0.01	0.02	0.04	0.09
Lung disease due to external agents	500.0	0.0	0.01	0.02	0.05	0.05
Pneumonitis due to inhalation of food or vomitus	501.0	0.0	0.08	0.15	0.37	0.76
Respiratory insufficiency	509.2	0.0	0.2	0.41	0.86	0.94
Other pulmonary inflamation or edema	505.0	0.0	0.01	0.02	0.02	0.0
Postinflammatory pulmonary fibrosis	502.0	0.0	0.06	0.17	0.56	0.85
Empyema and pneumothorax	506.0	0.0	0.22	0.28	0.48	0.85
Pleurisy; pleural effusion	507.0	0.0	0.81	1.51	3.21	5.3
Pulmonary insufficiency or respiratory failure following trauma and surgery	509.3	0.0	0.0	0.0	0.01	0.0
Respiratory complications	519.2	0.0	0.03	0.06	0.13	0.22
Respiratory failure	509.1	0.0	0.22	0.46	1.0	1.2
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.0	0.31	0.6	1.08	1.16
Other diseases of lung	510.0	0.0	0.12	0.23	0.43	0.58
Disorders of diaphragm	513.8	0.0	0.02	0.04	0.07	0.0
Other diseases of respiratory system, not elsewhere classified	519.0	0.0	0.01	0.02	0.04	0.0
Rheumatoid arthritis	714.1	0.0	0.37	0.71	1.11	1.25
Disorders of tooth development	520.0	0.0	0.01	0.01	0.01	0.0
Hereditary disturbances in tooth structure	520.1	0.0	0.01	0.01	0.01	0.0
Disturbances in tooth eruption	520.2	0.0	1.0	0.46	0.31	0.17
Dental caries	521.1	0.0	1.17	0.98	0.84	0.84
Dental abrasion, erosion and attrition	521.2	0.0	0.0	0.0	0.0	0.0
Tooth complications likely association with other diseases	521.4	0.0	0.01	0.01	0.01	0.0
Gingival and periodontal diseases	523.0	0.0	0.1	0.13	0.16	0.25
