PheCode	Phenotype	Ethnicity	Prevalence	Cases	Controls
687.1	Rash and other nonspecific skin eruption	Asian (all)	0.68	66.0	9648.0
695.7	Prurigo and Lichen	Asian (all)	0.37	36.0	9638.0
698.0	Pruritus and related conditions	Asian (all)	0.35	34.0	9789.0
705.1	Dyshidrosis	Asian (all)	0.02	2.0	9606.0
690.0	Erythematosquamous dermatosis	Asian (all)	0.02	2.0	9638.0
696.3	Pityriasis	Asian (all)	0.0	0.0	9638.0
696.2	Parapsoriasis	Asian (all)	0.01	1.0	9638.0
689.0	Disorder of skin and subcutaneous tissue NOS	Asian (all)	1.03	101.0	9722.0
947.0	Urticaria	Asian (all)	0.28	27.0	9686.0
695.81	Erythema nodosum	Asian (all)	0.06	6.0	9638.0
938.1	Acute dermatitis due to solar radiation	Asian (all)	0.0	0.0	9686.0
938.0	Dermatitis due to solar radiation	Asian (all)	0.02	2.0	9686.0
938.2	Chronic dermatitis due to solar radiation	Asian (all)	0.0	0.0	9686.0
694.2	Other dyschromia	Asian (all)	0.2	19.0	9638.0
703.0	Diseases of nail, NOS	Asian (all)	0.1	10.0	9654.0
703.1	Ingrowing nail	Asian (all)	0.24	23.0	9654.0
731.0	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	Asian (all)	0.0	0.0	9583.0
704.11	Alopecia Areata	Asian (all)	0.01	1.0	9654.0
704.1	Alopecia	Asian (all)	0.04	4.0	9654.0
704.12	Telogen effluvium	Asian (all)	0.01	1.0	9654.0
704.8	Other specified diseases of hair and hair follicles	Asian (all)	0.01	1.0	9654.0
704.0	Diseases of hair and hair follicles	Asian (all)	1.33	130.0	9654.0
704.2	Hirsutism	Asian (all)	0.03	3.0	9654.0
706.1	Acne	Asian (all)	0.04	4.0	9606.0
695.3	Rosacea	Asian (all)	0.06	6.0	9638.0
705.3	Hidradenitis	Asian (all)	0.03	3.0	9606.0
705.0	Disorders of sweat glands	Asian (all)	0.0	0.0	9606.0
694.1	Vitiligo	Asian (all)	0.05	5.0	9638.0
701.6	Acquired acanthosis nigricans	Asian (all)	0.04	4.0	9700.0
700.0	Corns and callosities	Asian (all)	0.06	6.0	9700.0
706.8	Other specified diseases of sebaceous glands	Asian (all)	0.01	1.0	9606.0
707.1	Decubitus ulcer	Asian (all)	0.06	6.0	9778.0
701.2	Scar conditions and fibrosis of skin	Asian (all)	0.41	40.0	9700.0
701.4	Keloid scar	Asian (all)	0.22	21.0	9700.0
701.5	Abnormal granulation tissue	Asian (all)	0.11	11.0	9700.0
702.4	Degenerative skin disorders	Asian (all)	0.0	0.0	9700.0
686.4	Pyogenic granuloma	Asian (all)	0.18	17.0	9484.0
695.41	Cutaneous lupus erythematosus	Asian (all)	0.11	11.0	9632.0
701.3	Circumscribed scleroderma	Asian (all)	0.02	2.0	9700.0
694.3	Vascular disorders of skin	Asian (all)	0.05	5.0	9638.0
707.0	Chronic ulcer of skin	Asian (all)	0.41	40.0	9778.0
711.1	Pyogenic arthritis	Asian (all)	0.04	4.0	8918.0
713.0	Arthropathy associated with other disorders classified elsewhere	Asian (all)	0.02	2.0	8918.0
716.9	Arthropathy NOS	Asian (all)	8.35	812.0	8918.0
711.2	Reiter's disease	Asian (all)	0.0	0.0	8918.0
446.3	Hypersensitivity angiitis	Asian (all)	0.0	0.0	9625.0
714.0	Rheumatoid arthritis and other inflammatory polyarthropathies	Asian (all)	0.2	19.0	9682.0
714.2	Juvenile rheumatoid arthritis	Asian (all)	0.01	1.0	9682.0
715.2	Ankylosing spondylitis	Asian (all)	0.04	4.0	9682.0
274.1	Gout	Asian (all)	0.77	76.0	9739.0
274.11	Gouty arthropathy	Asian (all)	0.0	0.0	9739.0
588.0	Disorders resulting from impaired renal function	Asian (all)	0.05	5.0	9331.0
274.2	Crystal arthropathies	Asian (all)	0.0	0.0	9739.0
274.21	Chondrocalcinosis	Asian (all)	0.08	8.0	9739.0
741.0	Symptoms and disorders of the joints	Asian (all)	0.14	14.0	9766.0
741.6	Villonodular synovitis	Asian (all)	0.0	0.0	9766.0
716.8	Palindromic rheumatism	Asian (all)	0.0	0.0	8918.0
836.0	Traumatic arthropathy	Asian (all)	0.05	5.0	9654.0
716.0	Other arthropathies	Asian (all)	0.02	2.0	8918.0
716.2	Unspecified monoarthritis	Asian (all)	5.69	538.0	8918.0
740.9	Osteoarthrosis NOS	Asian (all)	1.95	188.0	9451.0
713.5	Arthropathy associated with neurological disorders	Asian (all)	0.02	2.0	8918.0
740.2	Osteoarthrosis, generalized	Asian (all)	0.07	7.0	9451.0
740.1	Osteoarthritis; localized	Asian (all)	0.68	65.0	9451.0
740.11	Osteoarthrosis, localized, primary	Asian (all)	1.46	140.0	9451.0
740.12	Osteoarthrosis, localized, secondary	Asian (all)	0.06	6.0	9451.0
736.2	Acquired deformities of finger	Asian (all)	0.06	6.0	9630.0
735.3	Hallux valgus (Bunion)	Asian (all)	1.12	109.0	9630.0
735.23	Hallux rigidus	Asian (all)	0.21	20.0	9630.0
735.2	Acquired toe deformities	Asian (all)	0.27	26.0	9630.0
735.21	Hammer toe (acquired)	Asian (all)	0.18	17.0	9630.0
736.0	Other acquired deformities of limbs	Asian (all)	0.06	6.0	9630.0
739.0	Contracture of joint	Asian (all)	0.02	2.0	9630.0
735.1	Flat foot	Asian (all)	0.01	1.0	9630.0
735.0	Acquired foot deformities	Asian (all)	0.03	3.0	9630.0
835.0	Internal derangement of knee	Asian (all)	1.24	121.0	9654.0
742.2	Pathological, developmental or recurrent dislocation	Asian (all)	0.04	4.0	9766.0
742.9	Other derangement of joint	Asian (all)	0.17	17.0	9766.0
742.1	Loose body in joint	Asian (all)	0.01	1.0	9766.0
742.8	Articular cartilage disorder	Asian (all)	0.0	0.0	9766.0
728.2	Laxity of ligament or hypermobility syndrome	Asian (all)	0.08	7.0	9257.0
741.1	Ankylosis of joint	Asian (all)	0.01	1.0	9766.0
742.0	Derangement of joint, non-traumatic	Asian (all)	0.0	0.0	9766.0
741.5	Hemarthrosis	Asian (all)	0.01	1.0	9766.0
741.4	Joint effusions	Asian (all)	0.07	7.0	9766.0
745.0	Pain in joint	Asian (all)	0.53	52.0	9771.0
741.2	Stiffness of joint	Asian (all)	0.05	5.0	9766.0
726.1	Enthesopathy	Asian (all)	2.39	227.0	9257.0
446.0	Polyarteritis nodosa and allied conditions	Asian (all)	0.0	0.0	9625.0
446.6	Polyarteritis nodosa	Asian (all)	0.01	1.0	9625.0
446.4	Wegener's granulomatosis	Asian (all)	0.01	1.0	9625.0
446.2	Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	Asian (all)	0.01	1.0	9625.0
446.8	Thrombotic microangiopathy	Asian (all)	0.02	2.0	9625.0
446.7	Takayasu's disease	Asian (all)	0.0	0.0	9625.0
446.5	Giant cell arteritis	Asian (all)	0.11	11.0	9625.0
695.42	Systemic lupus erythematosus	Asian (all)	0.25	24.0	9632.0
711.3	Behcet's syndrome	Asian (all)	0.02	2.0	8918.0
717.0	Polymyalgia Rheumatica	Asian (all)	0.16	16.0	9807.0
772.0	Symptoms of the muscles	Asian (all)	0.06	6.0	9817.0
729.3	Panniculitis	Asian (all)	0.02	2.0	9257.0
737.1	Kyphosis (acquired)	Asian (all)	0.0	0.0	9630.0
721.8	Other allied disorders of spine	Asian (all)	0.04	4.0	9558.0
724.9	Other unspecified back disorders	Asian (all)	0.06	6.0	9558.0
737.2	Lordosis (acquired)	Asian (all)	0.01	1.0	9630.0
737.3	Kyphoscoliosis and scoliosis	Asian (all)	0.11	11.0	9630.0
732.0	Osteochondropathies	Asian (all)	0.05	5.0	9583.0
732.1	Juvenile osteochondrosis	Asian (all)	0.05	5.0	9583.0
738.4	Acquired spondylolisthesis	Asian (all)	0.08	8.0	9630.0
723.1	Torticollis	Asian (all)	0.02	2.0	9558.0
737.0	Curvature of spine	Asian (all)	0.02	2.0	9630.0
715.0	Other inflammatory spondylopathies	Asian (all)	0.09	9.0	9682.0
715.3	Spinal enthesopathy	Asian (all)	0.0	0.0	9682.0
715.1	Sacroiliitis NEC	Asian (all)	0.04	4.0	9682.0
710.19	Unspecified osteomyelitis	Asian (all)	0.03	3.0	8918.0
710.0	Osteomyelitis, periostitis, and other infections involving bone	Asian (all)	0.0	0.0	8918.0
721.0	Spondylosis and allied disorders	Asian (all)	0.33	32.0	9558.0
721.2	Spondylosis with myelopathy	Asian (all)	0.03	3.0	9558.0
721.1	Spondylosis without myelopathy	Asian (all)	0.33	32.0	9558.0
720.0	Spinal stenosis	Asian (all)	0.24	23.0	9558.0
743.4	Stress fracture	Asian (all)	0.0	0.0	9719.0
743.21	Pathologic fracture of vertebrae	Asian (all)	0.02	2.0	9719.0
724.8	Other symptoms referable to back	Asian (all)	0.0	0.0	9558.0
805.0	Fracture of vertebral column without mention of spinal cord injury	Asian (all)	0.06	6.0	9769.0
723.0	Other disorders of cervical region	Asian (all)	0.07	7.0	9558.0
722.7	Intervertebral disc disorder with myelopathy	Asian (all)	0.05	5.0	9558.0
765.0	Cervical radiculitis	Asian (all)	0.16	16.0	9748.0
722.1	Displacement of intervertebral disc	Asian (all)	0.09	9.0	9558.0
722.6	Degeneration of intervertebral disc	Asian (all)	1.06	102.0	9558.0
722.3	Schmorl's nodes	Asian (all)	0.01	1.0	9558.0
760.0	Back pain	Asian (all)	2.57	252.0	9571.0
766.0	Neuralgia, neuritis, and radiculitis NOS	Asian (all)	0.13	13.0	9748.0
761.0	Cervicalgia	Asian (all)	0.5	49.0	9774.0
764.0	Sciatica	Asian (all)	0.49	48.0	9748.0
770.0	Myalgia and myositis unspecified	Asian (all)	0.09	9.0	9814.0
712.0	Infective connective tissue disorders	Asian (all)	0.01	1.0	8918.0
728.0	Disorders of muscle, ligament, and fascia	Asian (all)	0.0	0.0	9257.0
728.1	Muscular calcification and ossification	Asian (all)	0.0	0.0	9257.0
772.4	Rhabdomyolysis	Asian (all)	0.0	0.0	9817.0
727.7	Contracture of tendon (sheath)	Asian (all)	0.02	2.0	9257.0
772.1	Muscular wasting and disuse atrophy	Asian (all)	0.0	0.0	9817.0
729.0	Other disorders of soft tissues	Asian (all)	0.43	40.0	9257.0
727.1	Synovitis and tenosynovitis	Asian (all)	0.56	52.0	9257.0
727.0	Other disorders of synovium, tendon, and bursa	Asian (all)	0.25	23.0	9257.0
727.5	Rupture of synovium	Asian (all)	0.1	9.0	9257.0
727.6	Rupture of tendon, nontraumatic	Asian (all)	0.04	4.0	9257.0
727.4	Ganglion and cyst of synovium, tendon, and bursa	Asian (all)	0.63	59.0	9257.0
781.0	Symptoms involving nervous and musculoskeletal systems	Asian (all)	0.76	75.0	9748.0
727.2	Bursitis disorders	Asian (all)	0.0	0.0	9257.0
726.3	Bursitis	Asian (all)	0.08	7.0	9257.0
728.7	Fasciitis	Asian (all)	0.2	19.0	9257.0
728.71	Contracture of palmar fascia [Dupuytren's disease]	Asian (all)	0.14	13.0	9257.0
726.0	Peripheral enthesopathies and allied syndromes	Asian (all)	3.17	303.0	9257.0
726.2	Synoviopathy	Asian (all)	0.03	3.0	9257.0
726.4	Calcaneal spur; Exostosis NOS	Asian (all)	0.02	2.0	9257.0
729.1	Rheumatism, unspecified and fibrositis	Asian (all)	0.1	9.0	9257.0
773.0	Pain in limb	Asian (all)	0.68	67.0	9756.0
771.1	Swelling of limb	Asian (all)	0.29	28.0	9771.0
743.2	Pathologic fracture	Asian (all)	0.0	0.0	9719.0
743.11	Osteoporosis NOS	Asian (all)	0.99	97.0	9719.0
733.0	Other disorders of bone and cartilage	Asian (all)	0.29	28.0	9583.0
733.8	Malunion and nonunion of fracture	Asian (all)	0.05	5.0	9583.0
733.2	Cyst of bone	Asian (all)	0.02	2.0	9583.0
743.9	Osteopenia or other disorder of bone and cartilage	Asian (all)	0.05	5.0	9719.0
710.11	Acute osteomyelitis	Asian (all)	0.01	1.0	8918.0
710.12	Chronic osteomyelitis	Asian (all)	0.0	0.0	8918.0
733.4	Aseptic necrosis of bone	Asian (all)	0.03	3.0	9583.0
731.1	Osteitis deformans [Paget's disease of bone]	Asian (all)	0.01	1.0	9583.0
710.3	Osteopathy resulting from poliomyelitis	Asian (all)	0.0	0.0	8918.0
756.5	Congenital osteodystrophies	Asian (all)	0.01	1.0	9805.0
732.7	Osteochondritis dissecans	Asian (all)	0.0	0.0	9583.0
738.0	Other acquired musculoskeletal deformity	Asian (all)	0.15	14.0	9630.0
858.0	Complication of internal orthopedic device	Asian (all)	0.55	52.0	9420.0
722.8	Postlaminectomy syndrome	Asian (all)	0.0	0.0	9558.0
769.0	Nonallopathic lesions NEC	Asian (all)	0.0	0.0	9823.0
830.0	Dislocation	Asian (all)	0.49	48.0	9654.0
580.11	Proliferative glomerulonephritis	Asian (all)	0.05	5.0	9331.0
580.12	Non-proliferative glomerulonephritis	Asian (all)	0.11	10.0	9331.0
593.0	Hematuria	Asian (all)	4.04	381.0	9054.0
580.14	Chronic glomerulonephritis, NOS	Asian (all)	0.35	33.0	9331.0
580.32	Nephritis and nephropathy with pathological lesion	Asian (all)	0.14	13.0	9331.0
269.0	Proteinuria	Asian (all)	0.22	22.0	9786.0
590.0	Pyelonephritis	Asian (all)	0.8	73.0	9054.0
586.4	Stricture/obstruction of ureter	Asian (all)	0.24	22.0	9331.0
599.1	Urinary obstruction	Asian (all)	0.01	1.0	9142.0
595.0	Hydronephrosis	Asian (all)	0.55	53.0	9568.0
586.12	Vesicoureteral reflux	Asian (all)	0.0	0.0	9331.0
585.1	Acute renal failure	Asian (all)	2.3	220.0	9331.0
585.3	Chronic renal failure [CKD]	Asian (all)	1.96	187.0	9331.0
585.2	Renal failure NOS	Asian (all)	0.63	59.0	9331.0
594.0	Urinary calculus	Asian (all)	0.18	17.0	9568.0
594.1	Calculus of kidney	Asian (all)	1.23	119.0	9568.0
594.3	Calculus of ureter	Asian (all)	0.91	88.0	9568.0
594.2	Calculus of lower urinary tract	Asian (all)	0.2	19.0	9568.0
594.8	Renal colic	Asian (all)	0.7	67.0	9568.0
588.1	Renal osteodystrophy	Asian (all)	0.0	0.0	9331.0
586.11	Small kidney	Asian (all)	0.12	11.0	9331.0
586.3	Vascular disorders of kidney/hypertrophy	Asian (all)	0.03	3.0	9331.0
586.2	Cyst of kidney, acquired	Asian (all)	0.44	41.0	9331.0
586.0	Other disorders of the kidney and ureters	Asian (all)	0.36	34.0	9331.0
592.1	Cystitis	Asian (all)	0.46	42.0	9054.0
592.11	Acute cystitis	Asian (all)	0.03	3.0	9054.0
592.13	Chronic interstitial cystitis	Asian (all)	0.11	10.0	9054.0
592.12	Chronic cystitis	Asian (all)	0.2	18.0	9054.0
596.5	Functional disorders of bladder	Asian (all)	0.39	37.0	9414.0
596.0	Other disorders of bladder	Asian (all)	2.01	193.0	9414.0
596.1	Bladder neck obstruction	Asian (all)	0.72	68.0	9414.0
592.2	Urethritis and urethral syndrome	Asian (all)	0.07	6.0	9054.0
592.21	Urethral syndrome	Asian (all)	0.0	0.0	9054.0
597.1	Urethral stricture (not specified as infectious)	Asian (all)	1.66	159.0	9414.0
592.3	Urethral stricture due to infecton	Asian (all)	0.0	0.0	9054.0
597.0	Other disorders of urethra and urinary tract	Asian (all)	0.1	9.0	9414.0
618.1	Prolapse of vaginal walls	Asian (all)	1.1	107.0	9615.0
599.0	Other symptoms/disorders or the urinary system	Asian (all)	2.58	242.0	9142.0
591.0	Urinary tract infection	Asian (all)	4.06	383.0	9054.0
599.4	Urinary incontinence	Asian (all)	2.07	193.0	9142.0
624.9	stress incontinence, female	Asian (all)	1.15	112.0	9647.0
600.0	Hyperplasia of prostate	Asian (all)	3.49	339.0	9365.0
601.1	Prostatitis	Asian (all)	0.28	26.0	9365.0
601.11	Acute prostatitis	Asian (all)	0.12	11.0	9365.0
601.12	Chronic prostatitis	Asian (all)	0.22	21.0	9365.0
602.0	Other disorders of prostate	Asian (all)	0.35	33.0	9365.0
603.1	Hydrocele	Asian (all)	0.32	30.0	9256.0
603.2	Spermatocele	Asian (all)	0.0	0.0	9256.0
603.0	Other disorders of testis	Asian (all)	0.27	25.0	9256.0
609.1	Infertility, male	Asian (all)	0.03	3.0	9256.0
604.1	Redundant prepuce and phimosis/BXO	Asian (all)	0.8	75.0	9256.0
604.0	Disorders of penis	Asian (all)	0.26	24.0	9256.0
601.4	Balanoposthitis	Asian (all)	0.05	5.0	9365.0
601.8	Other inflammatory disorders of male genital organs	Asian (all)	0.12	11.0	9365.0
608.0	Other disorders of male genital organs	Asian (all)	0.72	67.0	9256.0
610.8	Other specified benign mammary dysplasias	Asian (all)	0.25	24.0	9658.0
610.1	Cystic mastopathy	Asian (all)	0.11	11.0	9658.0
610.2	Fibroadenosis of breast	Asian (all)	0.06	6.0	9658.0
610.3	Fibrosclerosis of breast	Asian (all)	0.04	4.0	9658.0
613.1	Inflammatory disease of breast	Asian (all)	0.24	24.0	9779.0
612.2	Hypertrophy of breast (Gynecomastia)	Asian (all)	0.2	19.0	9658.0
611.3	Lump or mass in breast	Asian (all)	0.27	26.0	9658.0
613.0	Other nonmalignant breast conditions	Asian (all)	0.0	0.0	9779.0
612.1	Galactorrhea	Asian (all)	0.0	0.0	9658.0
613.5	Mastodynia	Asian (all)	0.02	2.0	9779.0
613.7	Other signs and symptoms in breast	Asian (all)	0.09	9.0	9779.0
613.8	Other specified disorders of breast	Asian (all)	0.08	8.0	9779.0
613.9	Breast disorder NOS	Asian (all)	0.02	2.0	9779.0
614.3	Pelvic inflammatory disease (PID)	Asian (all)	0.04	4.0	9621.0
614.31	Acute inflammatory pelvic disease	Asian (all)	0.01	1.0	9621.0
614.32	Chronic inflammatory pelvic disease	Asian (all)	0.11	11.0	9621.0
614.5	Inflammatory disease of cervix, vagina, and vulva	Asian (all)	0.05	5.0	9621.0
614.4	Inflammatory diseases of uterus, except cervix	Asian (all)	0.05	5.0	9621.0
614.51	Cervicitis and endocervicitis	Asian (all)	0.24	23.0	9621.0
614.0	Inflammatory diseases of female pelvic organs	Asian (all)	0.0	0.0	9621.0
614.33	Pelvic inflammatory disease, NOS	Asian (all)	0.04	4.0	9621.0
614.1	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	Asian (all)	0.77	75.0	9621.0
614.53	Cyst or abscess of Bartholin's gland	Asian (all)	0.12	12.0	9621.0
614.52	Vaginitis and vulvovaginitis	Asian (all)	0.04	4.0	9621.0
614.54	Abscess or ulceration of vulva	Asian (all)	0.09	9.0	9621.0
615.0	Endometriosis	Asian (all)	1.06	103.0	9621.0
618.2	Uterine/Uterovaginal prolapse	Asian (all)	1.06	103.0	9615.0
618.6	Vaginal enterocele, congenital or acquired	Asian (all)	0.07	7.0	9615.0
618.0	Genital prolapse	Asian (all)	0.08	8.0	9615.0
617.0	Disorders secondary to childbirth, surgery, trauma	Asian (all)	0.08	8.0	9615.0
619.1	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	Asian (all)	0.17	16.0	9620.0
628.0	Ovarian cyst	Asian (all)	0.93	85.0	9093.0
624.2	Atrophy of female genital tract	Asian (all)	0.08	8.0	9647.0
622.1	Polyp of corpus uteri	Asian (all)	1.88	183.0	9532.0
622.2	Mucous polyp of cervix	Asian (all)	0.74	71.0	9532.0
622.0	Polyp of female genital organs	Asian (all)	0.02	2.0	9532.0
621.0	Endometrial hyperplasia	Asian (all)	0.32	31.0	9532.0
623.0	Hypertrophy of female genital organs	Asian (all)	0.27	26.0	9532.0
674.0	Other complications of the puerperium NEC	Asian (all)	0.11	11.0	9804.0
619.2	Disorders of uterus, NEC	Asian (all)	0.8	78.0	9620.0
626.0	Disorders of menstruation and other abnormal bleeding from female genital tract	Asian (all)	0.64	59.0	9093.0
619.3	Noninflammatory disorders of cervix	Asian (all)	0.64	62.0	9620.0
624.0	Symptoms involving female genital tract	Asian (all)	0.0	0.0	9647.0
620.0	Dysplasia of female genital organs	Asian (all)	0.03	3.0	9532.0
619.4	Noninflammatory disorders of vagina	Asian (all)	0.3	29.0	9620.0
626.1	Irregular menstrual cycle/bleeding	Asian (all)	0.38	35.0	9093.0
624.1	Dystrophy of female genital tract	Asian (all)	0.05	5.0	9647.0
619.5	Noninflammatory disorders of vulva and perineum	Asian (all)	0.35	34.0	9620.0
626.11	Absent or infrequent menstruation	Asian (all)	0.07	6.0	9093.0
626.12	Excessive or frequent menstruation	Asian (all)	2.98	279.0	9093.0
626.14	Irregular menstrual bleeding	Asian (all)	0.93	85.0	9093.0
627.4	Premenopausal menorrhagia	Asian (all)	0.07	6.0	9093.0
626.13	Irregular menstrual cycle	Asian (all)	0.45	41.0	9093.0
625.0	Pain and other symptoms associated with female genital organs	Asian (all)	0.43	42.0	9647.0
626.21	Mittelschmerz	Asian (all)	0.0	0.0	9093.0
625.1	Dyspareunia	Asian (all)	0.17	16.0	9647.0
626.4	Premenstrual tension syndromes	Asian (all)	0.02	2.0	9093.0
626.2	Dysmenorrhea	Asian (all)	0.56	51.0	9093.0
619.0	Noninflammatory female genital disorders	Asian (all)	0.03	3.0	9620.0
627.1	Postmenopausal bleeding	Asian (all)	2.09	194.0	9093.0
627.2	Symptomatic menopause	Asian (all)	0.04	4.0	9093.0
627.3	Postmenopausal atrophic vaginitis	Asian (all)	0.26	24.0	9093.0
627.0	Menopausal and postmenopausal disorders	Asian (all)	0.14	13.0	9093.0
634.0	Miscarriage; stillbirth	Asian (all)	1.87	181.0	9509.0
626.8	Infertility, female	Asian (all)	0.48	44.0	9093.0
626.15	Infertility, female, associated with anovulation	Asian (all)	0.0	0.0	9093.0
80.0	Postoperative infection	Asian (all)	1.1	108.0	9695.0
618.5	Prolapse of vaginal vault after hysterectomy	Asian (all)	0.06	6.0	9615.0
597.2	Urinary complications NEC	Asian (all)	0.02	2.0	9414.0
634.3	Ectopic pregnancy	Asian (all)	0.12	11.0	9509.0
634.1	Missed abortion/Hydatidiform mole	Asian (all)	0.49	47.0	9509.0
642.0	Hypertension complicating pregnancy, childbirth, and the puerperium	Asian (all)	0.41	40.0	9769.0
649.0	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	Asian (all)	0.06	6.0	9787.0
646.0	Other complications of pregnancy NEC	Asian (all)	0.99	97.0	9726.0
642.1	Preeclampsia and eclampsia	Asian (all)	0.21	21.0	9769.0
636.3	Hemorrhage in early pregnancy	Asian (all)	0.23	22.0	9509.0
643.0	Excessive vomiting in pregnancy	Asian (all)	0.07	7.0	9806.0
643.1	Hyperemesis gravidarum	Asian (all)	0.12	12.0	9806.0
671.0	Venous/cerebrovascular complications embolism in pregnancy and the puerperium	Asian (all)	0.07	7.0	9804.0
647.1	Infections of genitourinary tract during pregnancy	Asian (all)	0.13	13.0	9805.0
649.1	Diabetes or abnormal glucose tolerance complicating pregnancy	Asian (all)	0.31	30.0	9787.0
857.0	Mechanical complication of unspecified genitourinary device, implant, and graft	Asian (all)	0.3	28.0	9420.0
669.0	Complications of labor and delivery NEC	Asian (all)	1.05	101.0	9550.0
656.0	Other perinatal conditions of fetus or newborn	Asian (all)	0.24	24.0	9799.0
651.0	Multiple gestation	Asian (all)	0.11	11.0	9812.0
652.0	Malposition and malpresentation of fetus or obstruction	Asian (all)	0.64	62.0	9643.0
654.1	Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	Asian (all)	0.67	65.0	9643.0
636.8	Cervical incompetence	Asian (all)	0.04	4.0	9509.0
655.0	Known or suspected fetal abnormality affecting management of mother	Asian (all)	1.75	172.0	9651.0
679.0	Complications of in utero procedures	Asian (all)	0.03	3.0	9820.0
654.2	Rhesus isoimmunization in pregnancy	Asian (all)	0.06	6.0	9643.0
653.0	Problems associated with amniotic cavity and membranes	Asian (all)	0.81	79.0	9643.0
635.2	Antepartum hemorrhage, abruptio placentae, and placenta previa	Asian (all)	0.35	33.0	9509.0
794.0	Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	Asian (all)	0.04	4.0	9819.0
636.0	Early or threatened labor; hemorrhage in early pregnancy	Asian (all)	0.4	38.0	9509.0
645.0	Late pregnancy and failed induction	Asian (all)	0.26	26.0	9797.0
636.2	Early onset of delivery	Asian (all)	0.47	45.0	9509.0
661.0	Fetal distress and abnormal forces of labor	Asian (all)	0.7	67.0	9550.0
663.0	Umbilical cord complications during labor and delivery	Asian (all)	0.32	31.0	9550.0
665.0	Obstetrical/birth trauma	Asian (all)	1.64	159.0	9550.0
635.0	Hemorrhage during pregnancy; childbirth and postpartum	Asian (all)	0.0	0.0	9509.0
635.3	Placenta previa and abruptio placenta	Asian (all)	0.55	53.0	9509.0
286.3	Coagulation defects complicating pregnancy or postpartum	Asian (all)	0.02	2.0	9733.0
668.0	Complications of the administration of anesthetic or other sedation in labor and delivery	Asian (all)	0.01	1.0	9550.0
647.0	Infectious and parasitic complications affecting pregnancy	Asian (all)	0.04	4.0	9805.0
650.0	Normal delivery	Asian (all)	0.89	87.0	9736.0
647.3	Major puerperal infection	Asian (all)	0.02	2.0	9805.0
654.0	Other and unspecified complications of birth; puerperium affecting management of mother	Asian (all)	0.06	6.0	9643.0
676.0	Other disorders of the breast associated with childbirth and disorders of lactation	Asian (all)	0.02	2.0	9804.0
644.0	Anemia during pregnancy	Asian (all)	0.61	60.0	9763.0
658.0	Maternal complication of pregnancy affecting fetus or newborn	Asian (all)	0.0	0.0	9823.0
637.0	Short gestation; low birth weight; and fetal growth retardation	Asian (all)	0.0	0.0	9508.0
656.26	Transitory tachypnea or apnea of newborn	Asian (all)	0.0	0.0	9799.0
656.22	Interstitial emphysema and related conditions of newborn	Asian (all)	0.0	0.0	9799.0
747.0	Cardiac and circulatory congenital anomalies	Asian (all)	0.02	2.0	9744.0
656.5	Hematological disorders of newborn	Asian (all)	0.0	0.0	9799.0
656.7	Conditions involving the integument and temperature regulation of fetus and newborn	Asian (all)	0.0	0.0	9799.0
752.1	Neural tube defects	Asian (all)	0.02	2.0	9812.0
752.0	Nervous system congenital anomalies	Asian (all)	0.0	0.0	9812.0
752.11	Spina bifida	Asian (all)	0.02	2.0	9812.0
747.1	Cardiac congenital anomalies	Asian (all)	0.05	5.0	9744.0
749.0	Congenital anomalies of face and neck	Asian (all)	0.07	7.0	9814.0
753.0	Congenital anomalies of the eye	Asian (all)	0.0	0.0	9812.0
753.1	Congenital cataract and lens anomalies	Asian (all)	0.0	0.0	9812.0
753.2	Congenital anomalies of posterior segment of eye	Asian (all)	0.0	0.0	9812.0
747.11	Cardiac shunt/ heart septal defect	Asian (all)	0.17	17.0	9744.0
747.12	Valvular heart disease/ heart chambers	Asian (all)	0.09	9.0	9744.0
747.2	Congenital anomalies of peripheral vascular system	Asian (all)	0.03	3.0	9744.0
748.0	Anomalies of respiratory system, congenital	Asian (all)	0.02	2.0	9814.0
750.13	Congenital anomalies of mouth/tongue	Asian (all)	0.06	6.0	9782.0
750.1	Upper gastrointestinal congenital anomalies	Asian (all)	0.0	0.0	9782.0
750.14	Congenital anomalies of esophagus	Asian (all)	0.01	1.0	9782.0
750.11	Esophageal atresia/tracheoesophageal fistula	Asian (all)	0.01	1.0	9782.0
750.5	Congenital hypertrophic pyloric stenosis	Asian (all)	0.0	0.0	9782.0
750.15	Congenital anomalies of stomach	Asian (all)	0.0	0.0	9782.0
750.21	Congenital anomalies of intestine	Asian (all)	0.01	1.0	9782.0
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	Asian (all)	0.0	0.0	9782.0
750.0	Digestive congenital anomalies	Asian (all)	0.0	0.0	9782.0
750.2	Lower gastrointestinal congenital anomalies	Asian (all)	0.0	0.0	9782.0
751.11	Congenital anomalies of female genital organs	Asian (all)	0.11	11.0	9782.0
751.1	Congenital anomalies of genital organs	Asian (all)	0.0	0.0	9782.0
751.12	Congenital anomalies of male genital organs	Asian (all)	0.08	8.0	9782.0
