PheCode	Phenotype	Socio-economic Quintile	Prevalence	Cases	Controls
635.3	Placenta previa and abruptio placenta	2	0.36	359.0	98102.0
286.3	Coagulation defects complicating pregnancy or postpartum	2	0.01	12.0	99266.0
668.0	Complications of the administration of anesthetic or other sedation in labor and delivery	2	0.01	11.0	97896.0
647.0	Infectious and parasitic complications affecting pregnancy	2	0.02	21.0	99853.0
650.0	Normal delivery	2	0.49	488.0	99475.0
647.3	Major puerperal infection	2	0.01	14.0	99853.0
654.0	Other and unspecified complications of birth; puerperium affecting management of mother	2	0.02	18.0	98910.0
676.0	Other disorders of the breast associated with childbirth and disorders of lactation	2	0.01	14.0	99824.0
644.0	Anemia during pregnancy	2	0.23	232.0	99731.0
658.0	Maternal complication of pregnancy affecting fetus or newborn	2	0.0	1.0	99962.0
637.0	Short gestation; low birth weight; and fetal growth retardation	2	0.0	0.0	98092.0
656.26	Transitory tachypnea or apnea of newborn	2	0.0	0.0	99826.0
656.22	Interstitial emphysema and related conditions of newborn	2	0.0	0.0	99826.0
747.0	Cardiac and circulatory congenital anomalies	2	0.0	4.0	99193.0
656.5	Hematological disorders of newborn	2	0.0	0.0	99826.0
656.7	Conditions involving the integument and temperature regulation of fetus and newborn	2	0.0	0.0	99826.0
752.1	Neural tube defects	2	0.01	13.0	99834.0
752.0	Nervous system congenital anomalies	2	0.0	2.0	99834.0
752.11	Spina bifida	2	0.04	37.0	99834.0
747.1	Cardiac congenital anomalies	2	0.05	52.0	99193.0
749.0	Congenital anomalies of face and neck	2	0.06	62.0	99886.0
753.0	Congenital anomalies of the eye	2	0.01	8.0	99834.0
753.1	Congenital cataract and lens anomalies	2	0.02	23.0	99834.0
753.2	Congenital anomalies of posterior segment of eye	2	0.01	6.0	99834.0
747.11	Cardiac shunt/ heart septal defect	2	0.15	147.0	99193.0
747.12	Valvular heart disease/ heart chambers	2	0.07	72.0	99193.0
747.2	Congenital anomalies of peripheral vascular system	2	0.04	36.0	99193.0
748.0	Anomalies of respiratory system, congenital	2	0.01	10.0	99886.0
750.13	Congenital anomalies of mouth/tongue	2	0.05	49.0	99413.0
750.1	Upper gastrointestinal congenital anomalies	2	0.01	5.0	99413.0
750.14	Congenital anomalies of esophagus	2	0.01	14.0	99413.0
750.11	Esophageal atresia/tracheoesophageal fistula	2	0.01	13.0	99413.0
750.5	Congenital hypertrophic pyloric stenosis	2	0.0	1.0	99413.0
750.15	Congenital anomalies of stomach	2	0.01	13.0	99413.0
750.21	Congenital anomalies of intestine	2	0.05	47.0	99413.0
750.22	Congenital anomaly of gallbladder, bile ducts, liver, pancreas	2	0.03	33.0	99413.0
750.0	Digestive congenital anomalies	2	0.0	2.0	99413.0
750.2	Lower gastrointestinal congenital anomalies	2	0.0	2.0	99413.0
751.11	Congenital anomalies of female genital organs	2	0.1	103.0	99413.0
751.1	Congenital anomalies of genital organs	2	0.01	7.0	99413.0
751.12	Congenital anomalies of male genital organs	2	0.06	61.0	99413.0
751.22	Other specified congenital anomalies of kidney	2	0.1	96.0	99413.0
751.21	Cystic kidney disease	2	0.11	105.0	99413.0
751.3	Obstructive genitourinary defect	2	0.0	4.0	99413.0
751.2	Congenital anomalies of urinary system	2	0.02	20.0	99413.0
755.61	Congenital hip dysplasia and deformity	2	0.02	24.0	99749.0
755.1	Congenital deformities of feet	2	0.05	53.0	99749.0
754.0	Congenital musculoskeletal deformities of spine	2	0.03	27.0	99749.0
756.21	Pectus excavatum	2	0.0	3.0	99749.0
756.22	Pectus carinatum	2	0.0	1.0	99749.0
756.0	Other congenital musculoskeletal anomalies	2	0.01	9.0	99749.0
755.4	Congenital anomalies of upper limb, including shoulder girdle	2	0.01	9.0	99749.0
755.6	Other congenital anomalies of lower limb, including pelvic girdle	2	0.02	18.0	99749.0
755.3	Congenital anomaly of fingers/toes	2	0.01	9.0	99749.0
755.0	Congenital anomalies of limbs	2	0.0	1.0	99749.0
749.2	Congenital anomalies of skull and face bones	2	0.01	7.0	99886.0
754.2	Spondylolisthesis, congenital	2	0.0	1.0	99749.0
756.2	Pectus and other congenital anomalies of ribs/sternum	2	0.0	0.0	99749.0
756.1	Congenital anomalies of abdominal wall; diaphram	2	0.01	5.0	99749.0
756.3	Congenital anomalies of muscle, tendon, fascia, and connective tissue	2	0.02	21.0	99749.0
691.1	Ichthyosis congenita	2	0.01	5.0	98806.0
691.0	Congenital anomalies of skin	2	0.01	14.0	98806.0
757.0	Congenital anomalies of the integument	2	0.01	5.0	99789.0
691.3	Congenital pigmentary anomalies of skin	2	0.0	3.0	98806.0
217.0	Vascular hamartomas and non-neoplastic nevi	2	0.01	14.0	97487.0
612.3	Congenital anomalies of breast	2	0.02	20.0	98291.0
199.4	Neurofibromatosis	2	0.02	16.0	89338.0
759.0	Other and unspecified congenital anomalies	2	0.03	30.0	99789.0
758.0	Chromosomal anomalies and genetic disorders	2	0.02	16.0	99789.0
759.1	Anomalies of endocrine glands, congenital	2	0.02	21.0	99789.0
758.1	Chromosomal anomalies	2	0.02	19.0	99789.0
396.0	Abnormal heart sounds	2	0.33	328.0	97980.0
427.7	Tachycardia NOS	2	0.68	625.0	91918.0
427.9	Palpitations	2	1.12	1039.0	91918.0
791.0	Gangrene	2	0.14	144.0	99819.0
402.0	Elevated blood pressure reading without diagnosis of hypertension	2	0.51	399.0	78466.0
458.0	Hypotension	2	0.35	329.0	93879.0
516.1	Hemoptysis	2	0.47	470.0	99472.0
477.0	Epistaxis or throat hemorrhage	2	0.7	670.0	95366.0
512.8	Cough	2	0.8	791.0	97545.0
512.7	Shortness of breath	2	1.56	1546.0	97545.0
512.1	Wheezing	2	0.07	73.0	97545.0
513.31	Apnea	2	0.0	0.0	99841.0
513.4	Hyperventilation	2	0.07	68.0	99841.0
293.0	Symptoms involving head and neck	2	0.45	448.0	99319.0
512.9	Other dyspnea	2	0.25	243.0	97545.0
478.0	Throat pain	2	0.08	81.0	95366.0
512.2	Painful respiration	2	0.05	48.0	97545.0
418.1	Precordial pain	2	1.09	1014.0	92247.0
418.0	Nonspecific chest pain	2	7.12	7073.0	92247.0
509.5	Respiratory arrest	2	0.04	34.0	96825.0
516.0	Abnormal sputum	2	0.03	25.0	99472.0
429.3	Symptoms involving cardiovascular system	2	0.06	61.0	98297.0
789.0	Nausea and vomiting	2	2.99	2992.0	96971.0
530.9	Heartburn	2	0.63	564.0	89224.0
532.0	Dysphagia	2	1.99	1813.0	89224.0
561.2	Flatulence	2	0.65	520.0	79517.0
561.0	Symptoms involving digestive system	2	4.91	4105.0	79517.0
579.2	Splenomegaly	2	0.12	113.0	93581.0
573.3	Hepatomegaly	2	0.07	69.0	97416.0
573.5	Jaundice (not of newborn)	2	0.26	252.0	97416.0
572.0	Ascites (non malignant)	2	0.47	459.0	97416.0
579.0	Other symptoms involving abdomen and pelvis	2	0.32	303.0	93581.0
579.8	Nonspecific abnormal findings in stool contents	2	0.63	589.0	93581.0
687.4	Disturbance of skin sensation	2	0.68	677.0	98583.0
687.2	Localized superficial swelling, mass, or lump	2	0.07	71.0	98583.0
293.1	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	2	0.2	198.0	99319.0
519.9	Symptoms involving respiratory system and other chest symptoms	2	0.09	88.0	97474.0
771.0	Musculoskeletal symptoms referable to limbs	2	0.22	224.0	99516.0
687.0	Symptoms affecting skin	2	0.08	77.0	98583.0
782.6	Pallor and flushing	2	0.06	58.0	99420.0
287.1	Spontaneous ecchymoses	2	0.03	29.0	99266.0
687.3	Changes in skin texture	2	0.03	30.0	98583.0
350.1	Abnormal involuntary movements	2	0.22	223.0	99182.0
350.2	Abnormality of gait	2	0.49	488.0	99182.0
741.3	Difficulty in walking	2	0.04	38.0	99465.0
350.3	Lack of coordination	2	0.09	88.0	99182.0
350.5	Abnormal reflex	2	0.0	3.0	99182.0
781.2	Abnormal posture	2	0.0	0.0	99458.0
599.3	Dysuria	2	0.34	319.0	93474.0
599.8	Other symptoms involving urinary system	2	0.02	16.0	93474.0
599.2	Retention of urine	2	2.29	2188.0	93474.0
599.6	Oliguria and anuria	2	0.03	26.0	93474.0
599.5	Frequency of urination and polyuria	2	1.08	1017.0	93474.0
599.7	Urethral discharge	2	0.01	14.0	93474.0
599.9	Other abnormality of urination	2	0.53	494.0	93474.0
598.0	Abnormal findings on examination of urine	2	0.81	813.0	99071.0
292.0	Neurological disorders	2	0.14	142.0	98058.0
292.4	Altered mental status	2	0.64	634.0	98058.0
292.3	Memory loss	2	0.2	201.0	98058.0
386.9	Dizziness and giddiness (Light-headedness and vertigo)	2	1.19	1183.0	98358.0
350.6	Disturbances of sensation of smell and taste	2	0.02	17.0	99182.0
292.6	Hallucinations	2	0.08	83.0	98058.0
292.1	Aphasia/speech disturbance	2	0.4	395.0	98058.0
292.12	Symbolic dysfunction	2	0.0	4.0	98058.0
473.4	Voice disturbance	2	0.26	247.0	95366.0
783.0	Fever of unknown origin	2	1.11	1114.0	98849.0
338.1	Acute pain	2	0.09	92.0	99780.0
338.2	Chronic pain	2	0.09	92.0	99780.0
788.0	Syncope and collapse	2	2.44	2435.0	97528.0
797.1	Cardiogenic shock	2	0.03	31.0	99919.0
797.0	Shock	2	0.01	13.0	99919.0
459.1	Hemorrhage NOS	2	0.02	17.0	93879.0
782.3	Edema	2	0.49	486.0	99420.0
705.8	Hyperhidrosis	2	0.17	162.0	97651.0
264.9	Lack of normal physiological development, unspecified	2	0.0	2.0	99227.0
260.6	Anorexia	2	0.22	219.0	99227.0
276.8	Polydipsia	2	0.03	28.0	97731.0
260.7	Polyphagia	2	0.0	0.0	99227.0
278.4	Abnormal weight gain	2	0.02	17.0	96853.0
780.0	Hypothermia/Chills	2	0.05	51.0	99912.0
790.1	Elevated sedimentation rate	2	0.02	20.0	97909.0
790.0	Nonspecific findings on examination of blood	2	0.05	52.0	97909.0
250.41	Impaired fasting glucose	2	0.08	75.0	94896.0
250.42	Other abnormal glucose	2	0.1	99.0	94896.0
573.9	Abnormal serum enzyme levels	2	0.06	62.0	97416.0
279.7	Other immunological findings	2	0.07	66.0	99818.0
250.5	Glycosuria or Acetonuria	2	0.03	24.0	94896.0
598.9	Other nonspecific findings on examination of urine	2	0.08	82.0	99071.0
346.3	Nonspecific abnormal findings in cerebrospinal fluid	2	0.01	12.0	96453.0
609.2	Abnormal spermatozoa	2	0.05	44.0	94557.0
514.0	Abnormal findings examination of lungs	2	0.69	687.0	99271.0
611.1	Abnormal mammogram	2	0.01	10.0	98291.0
346.1	Nonspecific abnormal findings on radiological and other examination of skull and head	2	0.04	36.0	96453.0
793.2	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	2	0.15	150.0	99775.0
575.9	Nonspecific abnormal findings on radiological and other examination of biliary tract	2	0.12	110.0	95392.0
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	2	0.65	522.0	79517.0
793.0	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	2	0.04	39.0	99775.0
346.2	Nonspecific abnormal results of function study of brain and central nervous system	2	0.01	7.0	96453.0
346.0	Abnormal findings on study of brain and/or nervous system	2	0.0	3.0	96453.0
514.1	Abnormal results of function study of pulmonary system	2	0.01	5.0	99271.0
429.2	Abnormal function study of cardiovascular system	2	0.15	148.0	98297.0
589.0	Abnormal results of function study of kidney	2	0.04	35.0	96726.0
573.7	Abnormal results of function study of liver	2	1.02	1008.0	97416.0
246.7	Abnormal results of function study of thyroid	2	0.01	9.0	95032.0
259.1	Nonspecific abnormal results of other endocrine function study	2	0.01	5.0	98990.0
915.0	Superficial injury without mention of infection	2	1.09	1082.0	98588.0
916.0	Contusion	2	0.36	362.0	99601.0
870.3	Other open wound of head and face	2	0.63	624.0	97971.0
870.1	Open wound or laceration of eye or eyelid	2	0.1	102.0	97971.0
870.4	Open wound of nose and sinus	2	0.06	63.0	97971.0
870.2	Open wound of ear	2	0.04	40.0	97971.0
870.5	Open wound of lip and mouth	2	0.09	88.0	97971.0
819.0	Skull and face fracture and other intercranial injury	2	0.23	234.0	99709.0
873.0	Broken tooth	2	0.02	24.0	97971.0
817.0	Concussion	2	0.01	8.0	99709.0
818.0	Intracranial hemorrhage (injury)	2	0.02	23.0	99709.0
872.0	Traumatic amputation	2	0.11	105.0	97971.0
870.6	Open wound of neck	2	0.02	21.0	97971.0
952.0	Spinal cord injury without evidence of spinal bone injury	2	0.03	25.0	99938.0
870.0	Open wounds of head; neck; and trunk	2	0.04	35.0	97971.0
809.0	Fracture of unspecified bones	2	0.02	17.0	99025.0
807.0	Fracture of ribs	2	0.06	61.0	99025.0
803.3	Fracture of clavicle or scapula	2	0.06	64.0	99025.0
870.8	Open wound of genital organs	2	0.01	9.0	97971.0
802.0	Fracture of pelvis	2	0.04	39.0	99025.0
871.0	Open wounds of extremities	2	1.1	1086.0	97971.0
803.1	Fracture of humerus	2	0.05	46.0	99025.0
803.0	Fracture of upper limb	2	0.05	51.0	99025.0
803.2	Fracture of radius and ulna	2	0.23	228.0	99025.0
804.0	Fracture of hand or wrist	2	0.15	147.0	99025.0
840.3	Joint/ligament sprain	2	0.05	51.0	99854.0
840.0	Sprains and strains	2	0.1	101.0	99854.0
800.2	Fracture of unspecified part of femur	2	0.03	28.0	99025.0
800.1	Fracture of neck of femur	2	0.05	47.0	99025.0
800.0	Fracture of lower limb	2	0.11	110.0	99025.0
800.4	Fracture of patella	2	0.03	28.0	99025.0
800.3	Fracture of tibia and fibula	2	0.09	92.0	99025.0
801.0	Fracture of ankle and foot	2	0.09	87.0	99025.0
871.4	Open wound of toe(s)	2	0.02	18.0	97971.0
871.3	Open wound of foot except toe(s) alone	2	0.03	34.0	97971.0
801.1	Fracture of foot	2	0.0	4.0	99025.0
960.0	Poisoning by antibiotics	2	1.17	1096.0	92579.0
960.2	Allergy/adverse effect of penicillin	2	4.73	4592.0	92579.0
960.1	Adverse effects of antibacterials (not penicillins)	2	0.02	17.0	92579.0
961.1	Poisoning/allergy of sulfonamides	2	0.28	264.0	92579.0
961.0	Poisoning by other anti-infectives	2	0.12	108.0	92579.0
962.3	Hormones and synthetic substitutes causing adverse effects in therapeutic use	2	0.12	110.0	92579.0
962.0	Poisoning by hormones and synthetic substitutes	2	0.04	35.0	92579.0
963.0	Poisoning by primarily systemic agents	2	0.05	42.0	92579.0
965.0	Poisoning by analgesics, antipyretics, and antirheumatics	2	1.66	1560.0	92579.0
965.3	Salicylates causing adverse effects in therapeutic use	2	0.08	75.0	92579.0
969.0	Poisoning by psychotropic agents	2	0.31	287.0	92579.0
966.0	Poisoning by anticonvulsants and anti-Parkinsonism drugs	2	0.09	80.0	92579.0
971.0	Poisoning by drugs primarily affecting the autonomic nervous system	2	0.03	26.0	92579.0
963.1	Antineoplastic and immunosuppressive drugs causing adverse effects	2	0.01	8.0	92579.0
964.0	Poisoning by agents primarily affecting blood constituents	2	0.0	2.0	92579.0
964.1	Anticoagulants causing adverse effects	2	0.08	74.0	92579.0
972.0	Poisoning by agents primarily affecting the cardiovascular system	2	0.03	29.0	92579.0
973.0	Poisoning by agents primarily affecting the gastrointestinal system	2	0.02	17.0	92579.0
975.0	Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system	2	0.01	9.0	92579.0
976.0	Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs	2	0.01	8.0	92579.0
974.0	Poisoning by water, mineral, and uric acid metabolism drugs	2	0.03	24.0	92579.0
979.0	Adverse drug events and drug allergies	2	0.08	76.0	92579.0
981.0	Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	2	0.02	22.0	99893.0
987.0	Toxic effect of other gases, fumes, or vapors	2	0.02	15.0	99893.0
983.0	Toxic effect of corrosive aromatics, acids, and caustic alkalis	2	0.0	4.0	99893.0
989.0	Toxic effect of other substances, chiefly nonmedicinal as to source	2	0.01	8.0	99893.0
985.0	Toxic effect of other metals	2	0.01	6.0	99893.0
986.0	Toxic effect of carbon monoxide	2	0.01	9.0	99893.0
988.0	Toxic effect of noxious substances eaten as food	2	0.01	8.0	99893.0
913.0	Toxic effect of venom	2	0.04	39.0	99924.0
946.0	Anaphylactic shock NOS	2	0.14	143.0	98848.0
949.0	Allergies, other	2	0.1	97.0	98848.0
958.0	Certain early complications of trauma or procedure	2	0.09	92.0	99830.0
958.2	Traumatic and surgical subcutaneous emphysema	2	0.02	22.0	99830.0
942.0	Infusion and transfusion reaction	2	0.0	3.0	98848.0
941.0	Adverse reaction to serum or vaccine	2	0.07	74.0	98848.0
850.0	Hemorrhage or hematoma complicating a procedure	2	1.48	1430.0	95411.0
958.1	Postoperative shock	2	0.02	19.0	99830.0
854.0	Complications of cardiac/vascular device, implant, and graft	2	0.7	670.0	95411.0
81.0	Infection/inflammation of internal prosthetic device; implant; and graft	2	0.3	297.0	98644.0
859.0	Complication due to other implant and internal device	2	0.86	827.0	95411.0
860.0	Bone marrow or stem cell transplant	2	0.03	25.0	99938.0
510.2	Lung transplant	2	0.02	15.0	99719.0
851.0	Complications of transplants and reattached limbs	2	1.73	1684.0	95411.0
874.0	Complication of amputation stump	2	0.04	39.0	97971.0
297.2	Suicide or self-inflicted injury	2	0.22	197.0	89663.0
297.0	Suicidal ideation or attempt	2	0.0	3.0	89663.0
585.31	Renal dialysis	2	0.14	132.0	96726.0
71.0	Human immunodeficiency virus [HIV] disease	2	0.0	2.0	98577.0
638.0	Other high-risk pregnancy	2	0.02	17.0	98092.0
559.0	Ileostomy status	2	0.54	429.0	79517.0
197.0	Chemotherapy	2	5.57	5273.0	89338.0
196.0	Radiotherapy	2	0.0	2.0	89338.0
289.3	Personal history of diseases of blood and blood-forming organs	2	0.1	99.0	97907.0
564.9	Personal history of diseases of digestive system	2	5.29	4438.0	79517.0
965.1	Opiates and related narcotics causing adverse effects in therapeutic use	2	0.4	372.0	92579.0
587.0	Kidney replaced by transpant	2	0.08	82.0	96726.0
573.2	Liver replaced by transplant	2	0.02	24.0	97416.0
364.9	Cornea replaced by transplant	2	0.04	35.0	96477.0
426.91	Cardiac pacemaker in situ	2	0.8	741.0	91918.0
395.6	Heart valve replaced	2	0.45	446.0	97980.0
426.9	Cardiac pacemaker/device in situ	2	0.07	66.0	91918.0
250.3	Insulin pump user	2	0.02	15.0	94896.0
509.8	Dependence on respirator [Ventilator] or supplemental oxygen	2	0.1	95.0	96825.0
8.0	Intestinal infection	3	0.11	113.0	98994.0
8.5	Bacterial enteritis	3	0.58	579.0	98994.0
38.1	Gram negative septicemia	3	0.26	254.0	95773.0
8.51	Intestinal e.coli	3	0.01	10.0	98994.0
8.52	Intestinal infection due to C. difficile	3	0.17	168.0	98994.0
8.7	Intestinal infection due to protozoa	3	0.02	15.0	98994.0
8.6	Viral Enteritis	3	0.22	216.0	98994.0
10.0	Tuberculosis	3	0.06	53.0	95773.0
41.0	Bacterial infection NOS	3	1.82	1775.0	95773.0
686.0	Other local infections of skin and subcutaneous tissue	3	0.39	379.0	97077.0
480.1	Bacterial pneumonia	3	0.26	256.0	96927.0
369.0	Infection of the eye	3	0.09	83.0	97364.0
38.2	Gram positive septicemia	3	0.14	130.0	95773.0
711.0	Arthropathy associated with infections	3	0.0	4.0	91630.0
529.1	Glossitis	3	0.08	75.0	98637.0
994.2	Sepsis	3	0.95	953.0	99108.0
130.0	Spirochetal infection	3	0.01	11.0	99890.0
79.0	Viral infection	3	0.68	679.0	98661.0
31.0	Diseases due to other mycobacteria	3	0.01	9.0	95773.0
657.0	Infections specific to the perinatal period	3	0.0	1.0	100060.0
639.0	Complications following abortion or ectopic and molar pregnancies	3	0.01	12.0	98072.0
465.0	Acute upper respiratory infections of multiple or unspecified sites	3	0.34	337.0	99424.0
41.2	Streptococcus infection	3	0.46	441.0	95773.0
320.0	Meningitis	3	0.11	110.0	99785.0
420.0	Carditis	3	0.0	2.0	99076.0
38.0	Septicemia	3	1.02	988.0	95773.0
133.0	Arthropod-borne diseases	3	0.02	19.0	99890.0
41.1	Staphylococcus infections	3	0.89	860.0	95773.0
90.0	Sexually transmitted infections (not HIV or hepatitis)	3	0.01	12.0	100048.0
90.2	Gonococcal infections	3	0.0	0.0	100048.0
90.3	Venereal diseases due to Chlamydia trachomatis	3	0.0	1.0	100048.0
131.0	Protozoan infection	3	0.0	4.0	99890.0
54.0	Herpes simplex	3	0.05	51.0	98661.0
78.0	Viral warts & HPV	3	0.24	234.0	98661.0
528.0	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	3	0.55	548.0	98637.0
130.1	Lyme disease	3	0.01	8.0	99890.0
136.0	Other infectious and parasitic diseases	3	0.08	79.0	99890.0
324.0	Other CNS infection and poliomyelitis	3	0.07	69.0	99785.0
324.1	Jakob-Creutzfeldt disease	3	0.01	6.0	99785.0
323.0	Encephalitis	3	0.07	74.0	99785.0
386.2	Peripheral or central vertigo	3	0.13	129.0	98283.0
369.2	Eye infection, viral	3	0.04	37.0	97364.0
79.1	Varicella infection	3	0.02	16.0	98661.0
480.2	Viral pneumonia	3	0.03	26.0	96927.0
53.0	Herpes zoster	3	0.09	90.0	98661.0
53.1	Herpes zoster with nervous system complications	3	0.03	25.0	98661.0
381.1	Otitis media	3	0.28	280.0	99068.0
70.1	Viral hepatitis A	3	0.01	13.0	98661.0
70.2	Viral hepatitis B	3	0.03	28.0	98661.0
70.0	Viral hepatitis	3	0.06	63.0	98661.0
70.3	Viral hepatitis C	3	0.06	55.0	98661.0
71.1	HIV infection, symptomatic	3	0.02	15.0	98661.0
112.0	Candidiasis	3	0.64	636.0	99251.0
480.3	Pneumonia due to fungus (mycoses)	3	0.04	37.0	96927.0
230.0	Kaposi's sarcoma	3	0.0	0.0	100061.0
202.2	Non-Hodgkins lymphoma	3	0.42	414.0	98858.0
195.1	Malignant neoplasm, other	3	4.83	4542.0	89592.0
348.8	Encephalopathy, not elsewhere classified	3	0.04	38.0	96306.0
504.0	Other alveolar and parietoalveolar pneumonopathy	3	0.11	108.0	96703.0
798.0	Malaise and fatigue	3	0.82	819.0	99096.0
260.1	Cachexia	3	0.01	8.0	99265.0
577.1	Acute pancreatitis	3	0.32	315.0	99504.0
79.2	Infectious mononucleosis	3	0.02	17.0	98661.0
110.1	Dermatophytosis	3	0.01	12.0	99251.0
110.11	Dermatophytosis of nail	3	0.02	23.0	99251.0
110.12	Althete's foot	3	0.04	39.0	99251.0
110.13	Dermatophytosis of the body	3	0.01	11.0	99251.0
110.2	Dermatomycoses	3	0.0	2.0	99251.0
112.3	Candidiasis of skin and nails	3	0.01	14.0	99251.0
420.3	Endocarditis	3	0.22	223.0	99076.0
117.2	Coccidioidomycosis	3	0.0	0.0	99251.0
117.1	Histoplasmosis	3	0.0	1.0	99251.0
117.3	Blastomycotic infection	3	0.0	0.0	99251.0
117.0	Mycoses	3	0.05	52.0	99251.0
117.4	Aspergillosis	3	0.05	53.0	99251.0
580.2	Nephrotic syndrome without mention of glomerulonephritis	3	0.13	127.0	96522.0
480.0	Pneumonia	3	1.22	1202.0	96927.0
134.0	Helminthiases	3	0.01	8.0	99890.0
134.1	Intestinal helminthiases	3	0.04	35.0	99890.0
132.1	Pediculosis and phthirus infestation	3	0.0	0.0	99890.0
132.0	Infestation (lice, mites)	3	0.01	7.0	99890.0
41.4	E. coli	3	0.85	818.0	95773.0
145.1	Cancer of lip	3	0.01	8.0	99541.0
145.2	Cancer of tongue	3	0.07	68.0	99541.0
145.4	Cancer of the gums	3	0.01	5.0	99541.0
145.5	Cancer of the mouth floor	3	0.01	10.0	99541.0
145.0	Cancer of mouth	3	0.04	40.0	99541.0
149.0	Cancer of larynx, pharynx, nasal cavities	3	0.01	9.0	99541.0
145.3	Cancer of major salivary glands	3	0.03	30.0	99541.0
149.1	Cancer of oropharynx	3	0.07	71.0	99541.0
149.2	Cancer of nasopharynx	3	0.01	8.0	99541.0
149.3	Cancer of hypopharynx	3	0.01	13.0	99541.0
150.0	Cancer of esophagus	3	0.22	207.0	95483.0
151.0	Cancer of stomach	3	0.17	160.0	95483.0
159.2	Malignant neoplasm of small intestine, including duodenum	3	0.05	45.0	95483.0
153.2	Colon cancer	3	0.91	848.0	92443.0
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	3	0.6	559.0	92443.0
153.0	Colorectal cancer	3	0.01	6.0	92443.0
155.0	Cancer of liver and intrahepatic bile duct	3	0.1	96.0	95483.0
155.1	Malignant neoplasm of liver, primary	3	0.06	55.0	95483.0
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	3	0.07	64.0	95483.0
157.0	Pancreatic cancer	3	0.21	199.0	95483.0
159.0	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	3	1.48	1437.0	95483.0
149.9	Cancer of of nasal cavities	3	0.01	13.0	99541.0
149.4	Cancer of larynx	3	0.05	47.0	99541.0
165.1	Cancer of bronchus; lung	3	0.61	609.0	99325.0
164.0	Cancer of intrathoracic organs	3	0.02	16.0	99325.0
165.0	Cancer within the respiratory system	3	0.29	290.0	99325.0
170.1	Bone cancer	3	0.03	32.0	99946.0
172.11	Melanomas of skin	3	0.81	781.0	95926.0
172.2	Other non-epithelial cancer of skin	3	3.38	3351.0	95926.0
159.4	Malignant neoplasm of retroperitoneum and peritoneum	3	0.07	64.0	95483.0
170.2	Cancer of connective tissue	3	0.08	85.0	99946.0
174.11	Malignant neoplasm of female breast	3	3.45	3389.0	94726.0
184.2	Cancer of other female genital organs, excluding uterus and ovary	3	0.1	92.0	95268.0
184.1	Malignant neoplasm of ovary and other uterine adnexa	3	0.03	32.0	95268.0
180.1	Cervical cancer	3	0.08	76.0	92940.0
182.0	Malignant neoplasm of uterus	3	0.4	371.0	92940.0
184.11	Malignant neoplasm of ovary	3	0.29	273.0	95268.0
187.1	Malignant neoplasm of unspecified male genital organ	3	0.02	22.0	97992.0
185.0	Cancer of prostate	3	1.95	1884.0	94681.0
187.2	Malignant neoplasm of testis	3	0.08	79.0	97992.0
189.11	Malignant neoplasm of kidney, except pelvis	3	0.33	324.0	98868.0
189.12	Malignant neoplasm of renal pelvis	3	0.02	23.0	98868.0
189.4	Malignant neoplasm of other urinary organs	3	0.05	46.0	98868.0
189.21	Malignant neoplasm of bladder	3	0.59	584.0	98868.0
190.0	Cancer of eye	3	0.05	54.0	99569.0
191.1	Cancer of brain and nervous system	3	0.01	14.0	99569.0
191.11	Cancer of brain	3	0.14	142.0	99569.0
193.0	Thyroid cancer	3	0.1	102.0	99612.0
194.0	Cancer of other endocrine glands	3	0.03	28.0	99612.0
198.1	Secondary malignancy of lymph nodes	3	1.79	1634.0	89592.0
198.0	Secondary malignant neoplasm	3	0.38	345.0	89592.0
198.2	Secondary malignancy of respiratory organs	3	0.79	716.0	89592.0
198.3	Secondary malignant neoplasm of digestive systems	3	0.55	492.0	89592.0
198.4	Secondary malignant neoplasm of liver	3	0.95	855.0	89592.0
198.7	Secondary malignant neoplasm of skin	3	0.07	59.0	89592.0
198.5	Secondary malignancy of brain/spine	3	0.29	264.0	89592.0
198.6	Secondary malignancy of bone	3	0.79	710.0	89592.0
201.0	Hodgkin's disease	3	0.06	60.0	98858.0
202.21	Nodular lymphoma	3	0.13	129.0	98858.0
202.23	Lymphosarcoma	3	0.0	3.0	98858.0
202.24	Large cell lymphoma	3	0.17	173.0	98858.0
204.4	Multiple myeloma	3	0.18	175.0	98858.0
270.35	Macroglobulinemia	3	0.01	14.0	99839.0
200.0	Myeloproliferative disease	3	0.2	199.0	98858.0
204.0	Leukemia	3	0.11	113.0	98858.0
204.1	Lymphoid leukemia	3	0.02	18.0	98858.0
204.11	Lymphoid leukemia, acute	3	0.02	19.0	98858.0
204.12	Lymphoid leukemia, chronic	3	0.16	157.0	98858.0
204.2	Myeloid leukemia	3	0.01	9.0	98858.0
