Phenotype	PheCode	Asian (all)	Black (all)	Chinese (all)	Mixed (all)	White (all)	Other
Mixed hyperlipidemia	272.13	0.18	0.13	0.0	0.07	0.05	0.14
Hyperchylomicronemia	272.14	0.0	0.0	0.0	0.0	0.0	0.0
Hyperlipidemia	272.1	3.35	1.65	0.82	0.97	1.68	2.11
Unspecified disorder of lipoid metabolism	272.9	0.11	0.04	0.07	0.11	0.09	0.16
Other abnormal blood chemistry	790.6	1.8	2.28	1.15	1.44	2.01	1.76
Disorders of porphyrin metabolism	277.1	0.0	0.0	0.0	0.0	0.01	0.0
Disorders of bilirubin excretion	277.4	0.1	0.03	0.0	0.07	0.11	0.08
Disorders of mineral metabolism	275.0	0.0	0.0	0.0	0.0	0.0	0.0
Disorders of copper metabolism	275.2	0.0	0.0	0.0	0.0	0.0	0.02
Disorders of iron metabolism	275.1	0.04	0.01	0.13	0.07	0.2	0.09
Disorders of phosphorus metabolism	275.53	0.05	0.11	0.06	0.1	0.08	0.02
Disorders of magnesium metabolism	275.3	0.08	0.13	0.0	0.1	0.16	0.2
Cystic fibrosis	499.0	0.0	0.0	0.0	0.0	0.01	0.02
Amyloidosis	270.33	0.04	0.11	0.06	0.03	0.04	0.03
Hypovolemia	276.5	1.23	1.1	0.58	0.94	1.01	0.98
Hyperosmolality and/or hypernatremia	276.11	0.14	0.17	0.0	0.14	0.1	0.19
Hyposmolality and/or hyponatremia	276.12	1.27	0.48	0.39	0.35	0.7	0.64
Acidosis	276.41	0.76	0.41	0.19	0.25	0.39	0.48
Alkalosis	276.42	0.06	0.01	0.0	0.0	0.05	0.08
Acid-base balance disorder	276.4	0.0	0.0	0.0	0.0	0.0	0.0
Hyperpotassemia	276.13	0.65	0.38	0.13	0.32	0.36	0.41
Hypopotassemia	276.14	0.5	0.67	0.19	0.52	0.55	0.56
Fluid overload	276.6	0.36	0.33	0.06	0.14	0.2	0.27
Electrolyte imbalance	276.1	0.03	0.04	0.0	0.04	0.05	0.05
Postablative ovarian failure	258.1	0.0	0.01	0.0	0.0	0.01	0.02
Dementias	290.1	0.23	0.42	0.0	0.25	0.33	0.32
Alzheimer's disease	290.11	0.11	0.18	0.06	0.18	0.2	0.1
Vascular dementia	290.16	0.12	0.15	0.0	0.07	0.1	0.06
Tics and choreas	333.3	0.0	0.0	0.0	0.04	0.01	0.02
Dementia with cerebral degenerations	290.12	0.0	0.03	0.0	0.0	0.02	0.02
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.03	0.06	0.0	0.04	0.02	0.05
Delirium due to conditions classified elsewhere	290.2	0.24	0.25	0.13	0.14	0.33	0.29
Specific nonpsychotic mental disorders due to brain damage	291.4	0.01	0.0	0.0	0.04	0.02	0.02
Psychosis	295.3	0.09	0.2	0.2	0.16	0.06	0.12
Transient mental disorders due to conditions classified elsewhere	291.1	0.04	0.1	0.06	0.18	0.04	0.14
Mood disorders	296.0	0.03	0.04	0.0	0.04	0.03	0.05
Anxiety disorder	300.1	1.55	1.23	0.66	2.53	2.19	2.03
Mild cognitive impairment	292.2	0.07	0.08	0.0	0.11	0.08	0.1
Delirium dementia and amnestic and other cognitive disorders	290.0	0.06	0.11	0.0	0.11	0.14	0.22
Substance addiction and disorders	316.0	0.1	0.41	0.0	0.46	0.12	0.37
Alcohol-related disorders	317.0	0.89	0.94	0.39	2.15	1.72	1.39
Alcoholism	317.1	1.22	1.4	0.39	1.93	2.7	1.82
Tobacco use disorder	318.0	4.7	5.25	2.63	8.78	5.79	6.88
Schizophrenia	295.1	0.24	0.9	0.2	0.9	0.19	0.54
Major depressive disorder	296.22	0.1	0.07	0.0	0.2	0.13	0.05
Schizoid personality disorder	301.1	0.0	0.0	0.0	0.04	0.01	0.05
Paranoid disorders	295.2	0.07	0.13	0.13	0.27	0.07	0.26
Bipolar	296.1	0.22	0.56	0.07	0.86	0.35	0.63
Personality disorders	301.0	0.06	0.07	0.0	0.27	0.08	0.21
Dysthymic disorder	300.4	0.01	0.0	0.0	0.04	0.02	0.02
Phobia	300.13	0.23	0.4	0.0	0.24	0.22	0.42
Agorophobia, social phobia, and panic disorder	300.12	0.28	0.32	0.13	0.39	0.28	0.32
Generalized anxiety disorder	300.11	0.01	0.03	0.0	0.04	0.05	0.04
Obsessive-compulsive disorders	300.3	0.03	0.01	0.0	0.04	0.05	0.09
Acute reaction to stress	300.8	0.06	0.04	0.07	0.08	0.04	0.12
Posttraumatic stress disorder	300.9	0.03	0.08	0.0	0.12	0.05	0.21
Adjustment reaction	304.0	0.09	0.07	0.07	0.2	0.09	0.09
Dissociative disorder	303.1	0.02	0.0	0.0	0.0	0.01	0.0
Psychogenic and somatoform disorders	303.0	0.0	0.0	0.0	0.0	0.0	0.0
Schizophrenia and other psychotic disorders	295.0	0.0	0.01	0.0	0.0	0.0	0.0
Somatoform disorder	303.4	0.02	0.05	0.07	0.0	0.04	0.05
Psychogenic disorder	303.3	0.09	0.11	0.13	0.2	0.11	0.11
Anxiety, phobic and dissociative disorders	300.0	0.09	0.13	0.0	0.27	0.11	0.19
Other mental disorder	306.0	5.34	4.53	2.65	8.72	9.61	8.4
Eating disorder	305.2	0.0	0.0	0.0	0.04	0.02	0.07
Anorexia nervosa	305.21	0.0	0.0	0.0	0.0	0.02	0.04
Sleep disorders	327.0	0.37	0.23	0.06	0.14	0.27	0.32
Insomnia	327.4	0.0	0.01	0.0	0.04	0.01	0.0
Hypersomnia	327.1	0.0	0.0	0.06	0.0	0.0	0.0
Circadian rhythm sleep disorder	327.6	0.0	0.01	0.0	0.07	0.01	0.03
Parasomnia	327.5	0.0	0.01	0.0	0.0	0.01	0.0
Sexual and gender identity disorders	302.0	0.18	0.19	0.07	0.16	0.1	0.18
Decreased libido	302.1	0.0	0.01	0.0	0.0	0.01	0.0
Erectile dysfunction [ED]	605.0	0.3	0.35	0.13	0.18	0.15	0.28
Antisocial/borderline personality disorder	301.2	0.01	0.07	0.0	0.27	0.04	0.23
Impulse control disorder	312.3	0.0	0.0	0.0	0.0	0.0	0.0
Develomental delays and disorders	315.0	0.12	0.09	0.0	0.1	0.09	0.11
Mental retardation	315.3	0.0	0.02	0.0	0.0	0.02	0.0
Speech and language disorder	315.2	0.01	0.02	0.0	0.03	0.03	0.03
Learning disorder	315.1	0.06	0.07	0.0	0.17	0.05	0.03
Autism	313.3	0.02	0.0	0.06	0.0	0.02	0.03
Conduct disorders	312.0	0.02	0.02	0.0	0.0	0.0	0.0
Pervasive developmental disorders	313.0	0.0	0.0	0.0	0.0	0.0	0.0
Tics and stuttering	313.2	0.01	0.0	0.0	0.0	0.01	0.0
Other paralytic syndromes	344.0	0.21	0.23	0.13	0.21	0.2	0.24
Encephalitis, non-infectious	323.8	0.01	0.0	0.0	0.0	0.01	0.02
Phlebitis and thrombophlebitis of intracranial venous sinuses	325.0	0.0	0.01	0.0	0.03	0.01	0.02
Spinocerebellar disease	334.1	0.04	0.05	0.0	0.04	0.04	0.02
Anterior horn cell disease	334.2	0.03	0.04	0.13	0.28	0.08	0.05
Inflammatory and toxic neuropathy	357.0	0.35	0.4	0.32	0.59	0.45	0.5
Parkinson's disease	332.0	0.32	0.14	0.13	0.35	0.41	0.29
Other and unspecified disorders of the nervous system	349.0	0.12	0.16	0.13	0.11	0.12	0.15
Other degenerative diseases of the basal ganglia	333.8	0.02	0.03	0.07	0.0	0.02	0.05
Torsion dystonia	333.4	0.04	0.06	0.13	0.14	0.08	0.13
Extrapyramidal disease and abnormal movement disorders	333.0	0.07	0.08	0.0	0.07	0.11	0.13
Essential tremor	333.1	0.04	0.03	0.0	0.04	0.08	0.08
Myoclonus	333.2	0.0	0.0	0.07	0.04	0.03	0.02
Cerebral degeneration, unspecified	331.9	0.12	0.16	0.13	0.14	0.15	0.11
Degenerative disease of the spinal cord	334.0	0.38	0.67	0.19	0.35	0.45	0.48
Multiple sclerosis	335.0	0.06	0.18	0.0	0.46	0.38	0.23
Other demyelinating diseases of central nervous system	341.0	0.04	0.09	0.0	0.11	0.07	0.05
Acute (transverse) myelitis	323.2	0.01	0.03	0.0	0.07	0.02	0.0
Epilepsy, recurrent seizures, convulsions	345.0	0.82	0.81	0.32	0.64	0.97	0.87
Partial epilepsy	345.12	0.07	0.06	0.07	0.04	0.09	0.05
Epilepsy	345.1	0.14	0.06	0.07	0.07	0.1	0.03
Generalized convulsive epilepsy	345.11	0.07	0.12	0.13	0.07	0.13	0.13
Convulsions	345.3	0.62	0.48	0.32	0.46	0.69	0.48
Migraine	340.0	1.11	0.85	0.13	0.92	0.84	0.95
Migrain with aura	340.1	0.06	0.09	0.06	0.0	0.07	0.1
Other headache syndromes	339.0	3.55	3.37	1.21	2.77	2.2	3.15
Tension headache	306.9	0.2	0.18	0.07	0.24	0.1	0.18
Transient cerebral ischemia	433.31	0.54	0.47	0.32	0.46	0.63	0.54
Retinal vascular changes and abnomalities	362.4	0.5	0.21	0.2	0.18	0.27	0.31
Cerebrovascular disease	433.0	0.39	0.66	0.13	0.46	0.47	0.62
Organic or persistent insomnia	327.41	0.05	0.06	0.0	0.0	0.05	0.08
Alteration of consciousness	291.8	0.26	0.28	0.13	0.21	0.15	0.27
Sleep apnea	327.3	1.79	1.89	0.89	1.79	1.34	1.84
Cataplexy and narcolepsy	347.0	0.01	0.04	0.0	0.0	0.01	0.03
Trigeminal nerve disorders [CN5]	352.1	0.13	0.09	0.13	0.21	0.14	0.08
Facial nerve disorders [CN7]	352.2	0.42	0.21	0.33	0.32	0.26	0.32
Disorders of other cranial nerves	352.0	0.01	0.03	0.0	0.04	0.02	0.03
Nerve root and plexus disorders	353.0	0.31	0.49	0.0	0.32	0.33	0.24
Nerve plexus lesions	353.1	0.01	0.01	0.0	0.07	0.03	0.07
Nerve root lesions	353.2	0.03	0.01	0.0	0.0	0.02	0.03
Other and unspecified disc disorder	722.9	1.19	1.32	0.32	0.94	1.17	1.32
Injuries to the nervous system	907.0	0.25	0.27	0.13	0.55	0.36	0.28
Other peripheral nerve disorders	351.0	2.9	3.26	2.3	3.46	3.41	3.59
Complex regional/central pain syndrome	355.0	0.01	0.04	0.0	0.0	0.01	0.02
Hereditary and idiopathic peripheral neuropathy	356.0	0.01	0.05	0.0	0.0	0.04	0.03
Polyneuropathy due to drugs	316.1	0.01	0.03	0.0	0.0	0.03	0.02
Polyneuropathy in diabetes	250.6	0.32	0.17	0.07	0.15	0.14	0.28
Myasthenia gravis	358.1	0.02	0.05	0.06	0.0	0.05	0.13
Myoneural disorders	358.0	0.02	0.01	0.06	0.0	0.01	0.0
Myopathy	359.2	0.09	0.1	0.0	0.14	0.07	0.13
Muscular dystrophies	359.1	0.03	0.04	0.0	0.03	0.04	0.05
Infantile cerebral palsy	343.0	0.0	0.04	0.0	0.11	0.04	0.05
Hemiplegia	342.0	0.64	0.84	0.26	0.57	0.5	0.47
Disorders of the autonomic nervous system	337.0	0.01	0.03	0.0	0.04	0.06	0.03
Peripheral autonomic neuropathy	337.1	0.01	0.0	0.0	0.0	0.02	0.0
Other specified congenital anomalies of nervous system	752.2	0.01	0.0	0.0	0.0	0.02	0.03
Hydrocephalus	331.1	0.14	0.17	0.19	0.14	0.16	0.18
Cerebral cysts	348.4	0.05	0.03	0.0	0.04	0.04	0.02
Other conditions of brain	348.0	0.08	0.05	0.07	0.04	0.05	0.1
Cerebral edema and compression of brain	348.2	0.08	0.17	0.32	0.0	0.09	0.13
Chronic fatigue syndrome	798.1	0.06	0.11	0.0	0.31	0.18	0.25
Other conditions of brain, NOS	348.9	0.05	0.14	0.26	0.11	0.13	0.16
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.12	0.09	0.07	0.15	0.16	0.17
Inflammation of eyelids	371.3	1.04	0.74	0.52	0.52	0.65	0.77
Noninfectious dermatoses of eyelid	371.33	0.0	0.0	0.0	0.0	0.0	0.0
Other disorders of eyelids	374.0	0.98	0.54	0.71	0.49	0.86	0.77
Ectropion or entropion	374.1	0.19	0.13	0.26	0.21	0.33	0.14
Lagophthalmos	374.2	0.01	0.04	0.07	0.04	0.01	0.02
Ptosis of eyelid	374.3	0.6	0.57	0.52	0.21	0.54	0.53
Disorders of lacrimal system	375.0	1.01	0.56	0.58	0.45	0.49	0.55
Epiphora	375.2	0.32	0.32	0.39	0.21	0.26	0.3
Disorders of the orbit	376.0	0.02	0.04	0.0	0.04	0.02	0.03
Chronic inflammatory disorders of orbit	371.9	0.01	0.03	0.0	0.0	0.0	0.0
Exophthalmos	242.3	0.04	0.06	0.07	0.11	0.04	0.03
Conjunctivitis, infectious	369.5	0.13	0.1	0.0	0.0	0.07	0.21
Conjunctivitis, noninfectious	371.2	0.0	0.01	0.0	0.0	0.01	0.03
Disorders of conjunctiva	372.0	0.47	1.2	0.19	0.39	0.23	0.61
Pemphigus and pemphigoid	695.22	0.11	0.04	0.0	0.03	0.03	0.03
Inflammation of the eye	371.0	0.09	0.08	0.0	0.0	0.03	0.11
Other disorders of eye	379.0	0.13	0.11	0.13	0.07	0.09	0.1
Scleritis and episcleritis	379.1	0.03	0.04	0.0	0.0	0.01	0.02
Keratitis	370.0	0.04	0.05	0.0	0.04	0.04	0.03
Corneal ulcer	370.1	0.02	0.04	0.0	0.04	0.04	0.06
Keratoconjunctivitis	370.3	0.01	0.0	0.0	0.0	0.01	0.02
Corneal opacity	364.1	0.06	0.05	0.0	0.14	0.03	0.03
Corneal opacity and other disorders of cornea	364.0	0.05	0.12	0.0	0.14	0.07	0.1
Corneal edema	364.2	0.06	0.04	0.0	0.04	0.03	0.06
Corneal degenerations	364.4	0.04	0.1	0.0	0.0	0.04	0.06
Corneal dystrophy	364.5	0.01	0.03	0.0	0.07	0.07	0.06
Keratoconus	364.41	0.09	0.08	0.0	0.04	0.03	0.0
Disorders of the globe	360.0	0.02	0.08	0.0	0.04	0.02	0.08
Uveitis, noninfectious or NOS	371.1	0.22	0.46	0.0	0.21	0.14	0.21
Disorders of iris and ciliary body	379.5	0.23	0.13	0.06	0.11	0.11	0.21
Senile cataract	366.2	5.42	3.16	3.7	1.92	3.06	3.23
Aphakia and other disorders of lens	379.3	0.8	0.57	0.71	0.28	0.65	0.57
Cataract	366.0	11.23	7.75	5.52	4.44	5.28	6.8
Nonsenile Cataract	366.1	0.11	0.12	0.07	0.0	0.02	0.12
Traumatic cataract	366.3	0.0	0.11	0.0	0.04	0.03	0.03
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.04	0.03	0.0	0.04	0.03	0.06
Chorioretinal scars	363.3	0.02	0.09	0.0	0.04	0.02	0.03
Choroidal degenerations	363.4	0.0	0.0	0.0	0.0	0.01	0.02
Retinal detachment with retinal defect	361.1	0.32	0.25	0.13	0.25	0.42	0.24
Retinoschisis and retinal cysts	361.2	0.04	0.03	0.0	0.0	0.02	0.03
Retinal detachments and defects	361.0	0.39	0.39	0.39	0.56	0.59	0.51
Other retinal disorders	362.0	0.68	0.37	0.26	0.28	0.3	0.31
Retinopathy of prematurity	362.1	0.0	0.01	0.0	0.0	0.0	0.0
Other nondiabetic retinopathy	362.3	0.09	0.05	0.0	0.04	0.02	0.05
Macular degeneration (senile) of retina NOS	362.29	1.01	0.8	0.71	0.49	0.81	0.89
Peripheral retinal degenerations	362.6	0.08	0.01	0.07	0.07	0.05	0.1
Hereditary retinal dystrophies	362.7	0.03	0.07	0.0	0.04	0.02	0.03
Retinal hemorrhage/ischemia	362.8	0.0	0.0	0.0	0.04	0.03	0.05
Separation of retinal layers	362.31	0.08	0.0	0.0	0.07	0.03	0.05
Glaucoma	365.0	1.64	2.4	0.65	1.09	1.17	1.51
Primary open angle glaucoma	365.11	0.56	1.18	0.2	0.18	0.37	0.55
Primary angle-closure glaucoma	365.2	0.2	0.13	0.26	0.07	0.23	0.27
Disorders of vitreous body	379.2	0.42	0.24	0.19	0.42	0.43	0.41
Progressive myopia	360.2	0.09	0.04	0.2	0.07	0.07	0.03
Hypotony of eye	360.3	0.0	0.04	0.0	0.0	0.01	0.02
Optic neuritis/neuropathy	377.3	0.03	0.08	0.06	0.07	0.05	0.05
Disorders of optic nerve and visual pathways	377.0	0.07	0.05	0.06	0.04	0.06	0.06
Optic atrophy	377.1	0.03	0.01	0.0	0.0	0.02	0.0
Paralytic strabismus	378.5	0.07	0.11	0.0	0.04	0.08	0.1
Strabismus and other disorders of binocular eye movements	378.0	0.0	0.0	0.0	0.11	0.02	0.03
Strabismus (not specified as paralytic)	378.1	0.22	0.14	0.06	0.24	0.25	0.19
Disorders of refraction and accommodation; blindness and low vision	367.0	0.04	0.03	0.0	0.0	0.03	0.03
Hypermetropia	367.8	0.06	0.01	0.06	0.07	0.08	0.05
Myopia	367.1	0.37	0.15	0.89	0.34	0.42	0.38
Astigmatism	367.2	0.06	0.06	0.06	0.03	0.07	0.08
Anisometropia	368.3	0.1	0.05	0.13	0.03	0.05	0.02
Presbyopia	367.4	0.0	0.0	0.0	0.0	0.01	0.0
Disorders of accommodation	368.7	0.0	0.0	0.0	0.0	0.0	0.0
Visual disturbances	368.0	0.39	0.54	0.19	0.38	0.32	0.36
Amblyopia	368.1	0.11	0.09	0.06	0.07	0.19	0.11
Subjective visual disturbances	368.9	0.2	0.16	0.13	0.35	0.2	0.24
Diplopia and disorders of binocular vision	368.2	0.21	0.2	0.06	0.1	0.22	0.2
Visual field defects	368.4	0.13	0.16	0.0	0.1	0.11	0.09
Color vision deficiencies	368.5	0.0	0.0	0.0	0.0	0.0	0.0
Blindness and low vision	367.9	0.25	0.38	0.06	0.21	0.22	0.33
Nystagmus and other irregular eye movements	378.2	0.06	0.11	0.06	0.0	0.07	0.06
Anomalies of pupillary function	379.4	0.01	0.0	0.0	0.04	0.03	0.03
Pain, swelling or discharge of eye	379.9	0.1	0.08	0.0	0.17	0.05	0.1
Otitis externa	380.1	0.15	0.11	0.0	0.17	0.14	0.12
Carbuncle and furuncle	686.1	1.29	1.37	0.13	0.91	0.67	0.78
Cholesteatoma	385.3	0.22	0.08	0.06	0.03	0.15	0.08
Disorders of external ear	380.0	0.16	0.11	0.06	0.1	0.18	0.09
Impacted cerumen	380.4	0.08	0.02	0.06	0.1	0.09	0.11
Suppurative and unspecified otitis media	381.11	0.29	0.08	0.26	0.21	0.21	0.24
Eustachian tube disorders	381.2	0.04	0.01	0.0	0.07	0.05	0.06
Mastoiditis & related conditions	381.3	0.04	0.03	0.0	0.0	0.04	0.0
Perforation of tympanic membrane	384.4	0.53	0.09	1.09	0.21	0.26	0.42
Other disorders of tympanic membrane	384.0	0.1	0.04	0.0	0.1	0.1	0.13
Myringitis	384.1	0.01	0.0	0.0	0.0	0.0	0.02
Other disorders of middle ear and mastoid	385.0	0.07	0.0	0.06	0.0	0.04	0.03
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.09	0.03	0.0	0.07	0.06	0.03
Otosclerosis	383.0	0.13	0.06	0.0	0.1	0.08	0.13
Vertiginous syndromes and other disorders of vestibular system	386.0	0.01	0.05	0.0	0.0	0.02	0.0
Meniere's disease	386.1	0.03	0.06	0.06	0.24	0.17	0.14
Central origin vertigo	386.21	0.0	0.01	0.0	0.0	0.0	0.0
Labyrinthitis	386.3	0.27	0.25	0.19	0.1	0.21	0.14
Degenerative and vascular disorders of ear	389.3	0.01	0.0	0.0	0.0	0.01	0.02
Hearing loss	389.0	1.02	0.51	0.51	0.59	1.08	0.78
Conductive hearing loss	389.2	0.15	0.03	0.13	0.03	0.12	0.06
Sensorineural hearing loss	389.1	0.3	0.09	0.13	0.07	0.15	0.14
Otalgia	382.0	0.09	0.09	0.0	0.1	0.08	0.05
Otorrhea	381.9	0.09	0.03	0.06	0.03	0.07	0.06
Tinnitus	389.4	0.22	0.11	0.06	0.07	0.17	0.28
Disorders of acoustic nerve	389.5	0.0	0.0	0.0	0.0	0.01	0.02
Other disorders of ear	388.0	0.02	0.05	0.06	0.07	0.03	0.02
Rheumatic fever / chorea	41.21	0.02	0.01	0.0	0.0	0.0	0.0
Acute rheumatic heart disease	394.4	0.03	0.04	0.0	0.07	0.01	0.03
Acute pericarditis	420.21	0.07	0.1	0.0	0.03	0.06	0.02
Myocarditis	420.1	0.0	0.1	0.0	0.07	0.03	0.02
Mitral valve disease	394.2	1.01	0.76	0.71	0.73	1.0	0.94
Rheumatic disease of the heart valves	394.0	0.38	0.3	0.06	0.21	0.34	0.24
Aortic valve disease	394.3	0.46	0.32	0.45	0.28	0.43	0.35
Disease of tricuspid valve	394.7	0.45	0.44	0.19	0.31	0.41	0.43
Nonrheumatic mitral valve disorders	395.1	0.94	0.73	0.71	0.66	0.97	0.83
Nonrheumatic aortic valve disorders	395.2	0.1	0.1	0.0	0.07	0.08	0.05
Chronic pericarditis	420.22	0.04	0.03	0.0	0.0	0.02	0.03
Essential hypertension	401.1	29.24	29.24	15.08	18.58	22.28	24.22
Hypertensive heart disease	401.21	0.17	0.33	0.08	0.04	0.06	0.16
Hypertensive chronic kidney disease	401.22	1.46	1.15	0.15	0.38	0.5	0.84
Hypertensive heart and/or renal disease	401.2	0.07	0.09	0.0	0.0	0.01	0.04
Other hypertensive complications	401.3	0.09	0.16	0.0	0.08	0.05	0.06
Angina pectoris	411.3	8.28	2.89	2.01	3.2	4.69	5.07
Unstable angina (intermediate coronary syndrome)	411.1	3.3	1.01	0.92	1.13	1.44	1.95
Myocardial infarction	411.2	6.3	1.9	1.31	2.64	3.64	3.53
Other forms of chronic heart disease	414.0	0.84	0.37	0.13	0.55	0.71	0.51
Other acute and subacute forms of ischemic heart disease	411.9	0.86	0.26	0.07	0.15	0.43	0.61
Coronary atherosclerosis	411.4	10.95	2.86	2.33	3.85	5.73	5.95
Other chronic ischemic heart disease, unspecified	411.8	8.43	2.81	1.63	2.99	4.5	4.76
Atherosclerosis	440.0	0.04	0.01	0.06	0.0	0.05	0.05
Aneurysm and dissection of heart	411.41	0.3	0.09	0.07	0.15	0.23	0.24
Pulmonary embolism and infarction, acute	415.11	0.0	0.01	0.0	0.0	0.01	0.02
Pulmonary heart disease	415.0	0.41	1.01	0.38	0.83	1.11	0.76
Primary pulmonary hypertension	415.21	0.14	0.22	0.06	0.1	0.13	0.16
Chronic pulmonary heart disease	415.2	0.03	0.03	0.06	0.0	0.06	0.06
Pericarditis	420.2	0.37	0.59	0.32	0.28	0.34	0.39
Congenital anomalies of great vessels	747.13	0.53	0.14	0.19	0.21	0.59	0.36
Nonrheumatic tricuspid valve disorders	395.3	0.07	0.08	0.06	0.03	0.04	0.02
Nonrheumatic pulmonary valve disorders	395.4	0.03	0.08	0.0	0.07	0.04	0.05
Primary/intrinsic cardiomyopathies	425.1	0.26	0.53	0.06	0.28	0.32	0.34
Hypertrophic obstructive cardiomyopathy	425.11	0.03	0.11	0.0	0.1	0.04	0.05
Other hypertrophic cardiomyopathy	425.12	0.07	0.23	0.06	0.07	0.05	0.14
Other cardiomyopathy	425.8	0.02	0.03	0.0	0.0	0.02	0.0
Cardiomyopathy	425.0	0.0	0.01	0.0	0.0	0.01	0.0
Secondary/extrinsic cardiomyopathies	425.2	0.01	0.0	0.0	0.0	0.0	0.0
First degree AV block	426.21	0.43	0.32	0.07	0.25	0.39	0.3
Second degree AV block	426.23	0.19	0.16	0.07	0.07	0.16	0.08
Atrioventricular block, complete	426.24	0.2	0.22	0.07	0.07	0.21	0.18
Atrioventricular [AV] block	426.2	0.05	0.08	0.0	0.0	0.04	0.02
Left bundle branch block	426.32	0.79	0.33	0.07	0.36	0.65	0.42
Bundle branch block	426.3	0.11	0.13	0.0	0.15	0.1	0.07
Right bundle branch block	426.31	0.6	0.33	0.4	0.29	0.57	0.68
Other heart block	426.25	0.01	0.01	0.0	0.04	0.04	0.0
Anomalous atrioventricular excitation	426.4	0.01	0.12	0.0	0.0	0.07	0.07
Other cardiac conduction disorders	426.8	0.02	0.0	0.0	0.07	0.02	0.05
Cardiac conduction disorders	426.0	0.07	0.01	0.0	0.0	0.05	0.05
Cardiac arrest	427.42	0.59	0.26	0.13	0.29	0.35	0.33
Paroxysmal tachycardia, unspecified	427.1	0.03	0.03	0.0	0.0	0.03	0.02
Paroxysmal ventricular tachycardia	427.12	0.39	0.15	0.07	0.25	0.3	0.25
Paroxysmal supraventricular tachycardia	427.11	0.73	0.51	0.4	0.44	0.75	0.53
Atrial fibrillation and flutter	427.2	2.46	1.9	1.77	2.49	4.64	3.27
Ventricular fibrillation and flutter	427.41	0.14	0.13	0.07	0.07	0.11	0.1
Supraventricular premature beats	427.61	0.03	0.01	0.0	0.07	0.04	0.07
Premature beats	427.6	0.19	0.15	0.27	0.15	0.23	0.12
Other specified cardiac dysrhythmias	427.3	1.22	0.77	0.66	0.87	1.09	0.78
Sinoatrial node dysfunction (Bradycardia)	427.8	0.13	0.05	0.13	0.11	0.15	0.1
Arrhythmia (cardiac) NOS	427.5	0.17	0.29	0.07	0.25	0.31	0.23
Heart failure NOS	428.2	2.1	1.27	0.19	0.83	1.41	1.18
Congestive heart failure (CHF) NOS	428.1	1.21	0.7	0.06	0.62	0.72	0.69
Cardiomegaly	416.0	0.93	1.45	0.38	0.62	0.88	1.04
Subarachnoid hemorrhage	430.1	0.18	0.31	0.06	0.21	0.22	0.19
Circulatory disease NEC	459.9	4.21	5.05	2.07	4.45	5.15	4.32
Intracerebral hemorrhage	430.2	0.21	0.21	0.45	0.25	0.23	0.26
Subdural hemorrhage	430.3	0.11	0.21	0.06	0.04	0.09	0.1
Intracranial hemorrhage	430.0	0.0	0.04	0.0	0.04	0.04	0.03
Occlusion of cerebral arteries	433.2	0.78	1.09	0.39	0.74	0.93	0.53
Cerebral artery occlusion, with cerebral infarction	433.21	0.58	0.72	0.26	0.46	0.56	0.45
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.04	0.03	0.06	0.04	0.04	0.02
Occlusion and stenosis of precerebral arteries	433.1	0.31	0.17	0.0	0.18	0.32	0.22
Cerebral ischemia	433.3	0.38	0.78	0.19	0.39	0.35	0.53
Arterial dissection	442.4	0.0	0.0	0.0	0.0	0.01	0.0
Cerebral aneurysm	433.5	0.13	0.09	0.06	0.07	0.11	0.14
Cerebral atherosclerosis	433.12	0.06	0.04	0.0	0.07	0.08	0.02
Moyamoya disease	433.32	0.01	0.0	0.0	0.0	0.0	0.0
Late effects of cerebrovascular disease	433.8	0.41	0.66	0.19	0.46	0.41	0.37
Atherosclerosis of aorta	440.9	0.05	0.01	0.0	0.1	0.05	0.03
Atherosclerosis of renal artery	440.1	0.07	0.03	0.0	0.0	0.02	0.03
Atherosclerosis of the extremities	440.2	0.08	0.06	0.0	0.1	0.14	0.06
Aortic aneurysm	442.1	0.11	0.18	0.0	0.14	0.19	0.1
Abdominal aortic aneurysm	442.11	0.08	0.13	0.06	0.0	0.3	0.14
Other aneurysm	442.0	0.0	0.03	0.0	0.0	0.01	0.0
Aneurysm of other specified artery	442.8	0.1	0.06	0.0	0.07	0.07	0.08
Aneurysm of iliac artery	442.2	0.01	0.01	0.0	0.03	0.03	0.03
Aneurysm of artery of lower extremity	442.3	0.05	0.03	0.06	0.03	0.05	0.08
Other specified peripheral vascular diseases	443.8	0.03	0.0	0.0	0.03	0.01	0.02
Raynaud's syndrome	443.1	0.21	0.34	0.26	0.35	0.37	0.44
Thromboangiitis obliterans	446.1	0.01	0.0	0.0	0.0	0.0	0.0
Peripheral vascular disease, unspecified	443.9	0.82	0.5	0.39	0.59	0.81	0.66
Arterial embolism and thrombosis	444.0	0.1	0.05	0.06	0.21	0.13	0.11
Embolism and thrombosis of abdominal aorta	444.2	0.01	0.0	0.0	0.0	0.01	0.02
Arterial embolism and thrombosis of lower extremity artery	444.1	0.08	0.06	0.0	0.21	0.17	0.11
Other disorders of arteries and arterioles	447.0	0.18	0.2	0.06	0.14	0.17	0.19
