Phenotype	PheCode	England	Scotland	Wales
Other disorders of synovium, tendon, and bursa	727.0	0.29	0.12	0.12
Abnormal granulation tissue	701.5	0.13	0.08	0.13
Cataract	366.0	5.4	6.73	4.36
Folate-deficiency anemia	281.13	0.07	0.06	0.05
Urinary incontinence	599.4	2.53	2.16	2.01
Hypoglycemia	251.1	0.35	0.25	0.35
Chronic pancreatitis	577.2	0.15	0.12	0.1
Malignant neoplasm of ovary	184.11	0.27	0.3	0.35
Torsion dystonia	333.4	0.09	0.03	0.06
Phlebitis and thrombophlebitis	451.0	0.12	0.08	0.09
Dementia with cerebral degenerations	290.12	0.02	0.03	0.01
Benign neoplasm of colon	208.0	6.32	4.71	5.28
Hypertrophy of breast (Gynecomastia)	612.2	0.22	0.16	0.17
Testicular hypofunction	257.1	0.05	0.05	0.05
Other disorders of circulatory system	459.0	0.04	0.05	0.03
Other disorders of metabolism	277.0	0.31	0.19	0.25
Extrinsic allergic alveolitis	500.1	0.03	0.02	0.0
Atopic/contact dermatitis due to other or unspecified	939.0	0.7	0.36	0.51
Osteochondropathies	732.0	0.06	0.05	0.05
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.16	0.51	0.14
Retinal detachments and defects	361.0	0.57	0.71	0.53
Inflammatory disease of breast	613.1	0.18	0.19	0.17
Dermatitis due to solar radiation	938.0	0.03	0.07	0.04
Articular cartilage disorder	742.8	0.03	0.0	0.0
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.07	0.0	0.06
Anomalous atrioventricular excitation	426.4	0.06	0.09	0.08
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.21	0.14	0.21
Other perinatal conditions of fetus or newborn	656.0	0.15	0.05	0.15
Other conditions of brain, NOS	348.9	0.14	0.08	0.13
Cardiac pacemaker in situ	426.91	0.83	0.4	0.79
Other infectious and parasitic diseases	136.0	0.07	0.03	0.04
Diabetes insipidus	253.3	0.03	0.02	0.02
Traumatic and surgical subcutaneous emphysema	958.2	0.02	0.02	0.02
Congenital anomalies of peripheral vascular system	747.2	0.05	0.07	0.03
Hallucinations	292.6	0.11	0.05	0.13
Cancer of larynx	149.4	0.07	0.1	0.05
Renal failure NOS	585.2	0.42	0.53	0.31
Adverse reaction to serum or vaccine	941.0	0.06	0.01	0.16
Pseudomonal pneumonia	480.12	0.03	0.03	0.05
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	0.74	0.27	0.79
Mucous polyp of cervix	622.2	0.84	0.63	1.12
Noninflammatory female genital disorders	619.0	0.04	0.0	0.35
Obstruction of bile duct	575.2	0.27	0.19	0.25
Bone marrow or stem cell transplant	860.0	0.02	0.01	0.03
Cardiomegaly	416.0	0.9	0.88	0.67
Corneal degenerations	364.4	0.05	0.02	0.06
Precordial pain	418.1	1.3	0.88	0.44
Atherosclerosis of renal artery	440.1	0.02	0.03	0.01
Secondary malignant neoplasm of skin	198.7	0.06	0.07	0.11
Absent or infrequent menstruation	626.11	0.03	0.02	0.02
Obstetrical/birth trauma	665.0	1.5	0.01	1.49
Diseases of spleen	289.5	0.16	0.1	0.21
Malposition and malpresentation of fetus or obstruction	652.0	0.5	0.0	0.38
Pyogenic granuloma	686.4	0.1	0.09	0.07
Other and unspecified congenital anomalies	759.0	0.04	0.03	0.01
Myoclonus	333.2	0.03	0.02	0.02
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.03	0.0	0.05
Viral hepatitis B	70.2	0.06	0.03	0.03
Other nonspecific findings on examination of urine	598.9	0.09	0.06	0.09
Other local infections of skin and subcutaneous tissue	686.0	0.43	0.28	0.34
Hypoventilation	513.3	0.03	0.0	0.03
Other abnormality of urination	599.9	0.53	0.45	0.38
Hypertensive chronic kidney disease	401.22	0.55	0.25	0.56
Esophageal bleeding (varices/hemorrhage)	530.2	0.6	0.46	0.51
Pulmonary congestion and hypostasis	503.0	0.15	0.28	0.14
Benign neoplasm of unspecified sites	229.0	0.61	0.6	0.37
Opiates and related narcotics causing adverse effects in therapeutic use	965.1	0.46	0.02	0.47
Anaphylactic shock NOS	946.0	0.16	0.16	0.1
Hyposmolality and/or hyponatremia	276.12	0.73	0.53	0.5
Hereditary retinal dystrophies	362.7	0.03	0.01	0.01
Diverticulum of esophagus, acquired	530.6	0.06	0.07	0.05
Inflammatory conditions of jaw	526.5	0.03	0.04	0.03
Congenital hip dysplasia and deformity	755.61	0.03	0.02	0.02
Anomalies of pupillary function	379.4	0.03	0.01	0.02
Atherosclerosis	440.0	0.05	0.09	0.02
Poisoning by hormones and synthetic substitutes	962.0	0.05	0.03	0.02
Disorders of phosphorus metabolism	275.53	0.09	0.02	0.05
Type 1 diabetes with ophthalmic manifestations	250.13	0.16	0.07	0.12
Tinnitus	389.4	0.18	0.07	0.19
Abnormal results of function study of liver	573.7	1.13	1.24	0.52
Sleep apnea	327.3	1.4	1.14	0.91
Kidney replaced by transpant	587.0	0.11	0.11	0.14
Back pain	760.0	1.94	0.52	0.72
Toxic gastroenteritis and colitis	569.1	0.07	0.01	0.08
Heart failure NOS	428.2	1.41	1.55	1.21
Cerebral atherosclerosis	433.12	0.08	0.07	0.04
Irregular menstrual bleeding	626.14	0.98	0.64	1.24
Cystic kidney disease	751.21	0.12	0.09	0.19
Rash and other nonspecific skin eruption	687.1	0.68	0.42	0.63
Other symptoms involving abdomen and pelvis	579.0	0.34	0.26	0.47
Acquired spondylolisthesis	738.4	0.09	0.02	0.01
Diseases of hair and hair follicles	704.0	1.33	1.37	1.32
Personality disorders	301.0	0.09	0.05	0.09
Encephalopathy, not elsewhere classified	348.8	0.05	0.04	0.02
Non-proliferative glomerulonephritis	580.12	0.04	0.03	0.04
Fetal distress and abnormal forces of labor	661.0	0.62	0.0	0.68
Traumatic amputation	872.0	0.12	0.08	0.12
Toxic erythema	695.1	0.03	0.03	0.02
Inflammation of the eye	371.0	0.03	0.02	0.02
Paralytic strabismus	378.5	0.08	0.08	0.07
Chronic periodontitis	523.32	0.33	0.17	0.18
Alteration of consciousness	291.8	0.16	0.06	0.14
Spondylosis without myelopathy	721.1	0.32	0.07	0.03
Aneurysm of artery of lower extremity	442.3	0.05	0.05	0.03
Preeclampsia and eclampsia	642.1	0.09	0.0	0.14
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.34	0.42	0.38
Bronchitis	497.0	0.22	0.07	0.14
Sepsis	994.2	1.02	1.11	0.77
Kyphoscoliosis and scoliosis	737.3	0.16	0.02	0.06
Adverse drug events and drug allergies	979.0	0.13	0.18	0.08
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.03	0.02	0.04
Hyperlipidemia	272.1	1.73	1.09	2.43
Malignant neoplasm of other urinary organs	189.4	0.04	0.02	0.02
Symptoms involving digestive system	561.0	5.28	3.88	3.01
Cervical cancer	180.1	0.07	0.1	0.09
Infection of the eye	369.0	0.08	0.06	0.07
Dysuria	599.3	0.37	0.27	0.26
Other disorders of the kidney and ureters	586.0	0.36	0.29	0.36
Other specified congenital anomalies of nervous system	752.2	0.02	0.03	0.01
Psychogenic disorder	303.3	0.1	0.24	0.09
Gram negative septicemia	38.1	0.3	0.23	0.27
Viral Enteritis	8.6	0.27	0.17	0.18
Ulceration of intestine	556.1	0.3	0.1	0.15
Other heart block	426.25	0.04	0.03	0.07
Generalized anxiety disorder	300.11	0.05	0.02	0.02
Hyperosmolality and/or hypernatremia	276.11	0.1	0.08	0.08
Other specified cardiac dysrhythmias	427.3	1.12	0.74	0.92
Sleep disorders	327.0	0.21	1.0	0.35
Voice disturbance	473.4	0.29	0.3	0.43
Prolapse of vaginal vault after hysterectomy	618.5	0.14	0.04	0.18
Noninfectious disorders of lymphatic channels	450.0	0.25	0.12	0.27
Hyperplasia of prostate	600.0	3.39	3.17	3.02
Bipolar	296.1	0.38	0.15	0.32
Sialolithiasis	528.7	0.08	0.08	0.08
Meningitis	320.0	0.11	0.1	0.1
Mild cognitive impairment	292.2	0.07	0.16	0.04
Nausea and vomiting	789.0	3.47	3.21	3.23
Acute bronchitis and bronchiolitis	483.0	0.07	0.03	0.12
Acute (transverse) myelitis	323.2	0.02	0.02	0.01
Urinary complications NEC	597.2	0.02	0.01	0.02
Staphylococcus infections	41.1	0.93	0.94	1.45
Congenital anomalies of urinary system	751.2	0.02	0.02	0.02
Jaundice (not of newborn)	573.5	0.27	0.2	0.21
Contusion	916.0	0.44	0.19	0.34
Cystic mastopathy	610.1	0.21	0.26	0.12
Tension headache	306.9	0.1	0.06	0.19
Calculus of lower urinary tract	594.2	0.22	0.26	0.21
Malignant neoplasm of testis	187.2	0.06	0.11	0.07
Abnormal involuntary movements	350.1	0.3	0.18	0.26
Myeloid leukemia, chronic	204.22	0.04	0.04	0.03
Nerve plexus lesions	353.1	0.04	0.02	0.04
Acute prostatitis	601.11	0.08	0.03	0.05
Acquired hypothyroidism	244.2	0.04	0.01	0.07
Known or suspected fetal abnormality affecting management of mother	655.0	1.25	0.01	1.53
Nasal polyps	471.0	0.85	0.91	0.84
Cancer, suspected or other	195.0	0.25	0.33	0.52
Mitral valve disease	394.2	1.02	0.75	0.79
Cardiogenic shock	797.1	0.03	0.03	0.04
Secondary hypothyroidism	244.1	0.38	0.16	0.55
Multiple myeloma	204.4	0.18	0.18	0.14
Keloid scar	701.4	0.07	0.05	0.1
Purpura and other hemorrhagic conditions	287.0	0.03	0.01	0.01
Psychosis	295.3	0.07	0.03	0.05
Peptic ulcer, site unspecified	531.4	0.12	0.18	0.08
Anal and rectal conditions	565.0	2.42	2.33	2.03
Ganglion and cyst of synovium, tendon, and bursa	727.4	0.84	0.71	0.59
Contracture of joint	739.0	0.02	0.01	0.0
Vascular insufficiency of intestine	441.0	0.09	0.15	0.13
Intracranial hemorrhage	430.0	0.03	0.09	0.01
Respiratory insufficiency	509.2	0.57	0.35	0.6
Umbilical cord complications during labor and delivery	663.0	0.16	0.0	0.47
Primary thrombocytopenia	287.31	0.12	0.1	0.12
Chronic fatigue syndrome	798.1	0.18	0.12	0.15
Ovarian cyst	628.0	1.32	0.87	1.28
Hyperaldosteronism	255.12	0.03	0.01	0.01
Corneal opacity and other disorders of cornea	364.0	0.08	0.04	0.06
Nonspecific chest pain	418.0	8.07	8.74	8.21
Aneurysm of other specified artery	442.8	0.07	0.04	0.03
Prurigo and Lichen	695.7	0.24	0.09	0.14
Myeloproliferative disease	200.0	0.22	0.19	0.13
Cellulitis and abscess of leg, except foot	681.5	1.63	1.72	1.76
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.06	0.07	0.06
Other abnormal glucose	250.42	0.14	0.19	0.06
Abnormal findings on examination of urine	598.0	0.86	1.62	0.78
Retinal hemorrhage/ischemia	362.8	0.03	0.01	0.02
Otorrhea	381.9	0.07	0.07	0.08
Temporomandibular joint disorder, unspecified	526.41	0.07	0.04	0.03
Arteritis NOS	446.9	0.08	0.07	0.06
Cardiac congenital anomalies	747.1	0.06	0.06	0.06
Stricture/obstruction of ureter	586.4	0.29	0.25	0.18
Suicide or self-inflicted injury	297.2	0.41	0.17	0.32
Valvular heart disease/ heart chambers	747.12	0.08	0.05	0.06
Secondary malignant neoplasm	198.0	0.39	0.52	0.36
Osteoarthrosis, generalized	740.2	0.18	0.01	0.06
Congestive heart failure (CHF) NOS	428.1	0.75	0.39	0.8
Open wounds of head; neck; and trunk	870.0	0.05	0.07	0.02
Chronic pulmonary heart disease	415.2	0.05	0.19	0.03
Secondary malignant neoplasm of digestive systems	198.3	0.55	0.56	0.73
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.59	0.11	0.98
Fasciitis	728.7	0.08	0.03	0.03
Cellulitis and abscess of trunk	681.7	0.18	0.16	0.14
Heartburn	530.9	0.65	0.69	0.67
Type 2 diabetes	250.2	6.14	3.49	6.17
Parkinson's disease	332.0	0.41	0.27	0.34
Injuries to the nervous system	907.0	0.36	0.3	0.33
Cerebral edema and compression of brain	348.2	0.09	0.06	0.15
Neoplasm of uncertain behavior of male genital organs	187.8	0.03	0.03	0.05
Stomatitis and mucositis (ulcerative)	528.11	0.12	0.1	0.14
Disorders of iris and ciliary body	379.5	0.12	0.04	0.06
Pain, swelling or discharge of eye	379.9	0.06	0.01	0.05
Pneumococcal pneumonia	480.11	2.05	1.63	1.85
Premenopausal menorrhagia	627.4	0.08	0.06	0.1
Pruritus and related conditions	698.0	0.23	0.2	0.2
Anisometropia	368.3	0.05	0.01	0.13
Appendicitis	540.1	0.15	0.14	0.14
Other non-epithelial cancer of skin	172.2	3.32	1.53	3.5
Iatrogenic endocrine disorders	258.0	0.03	0.02	0.04
Oliguria and anuria	599.6	0.04	0.01	0.03
Dermatophytosis of nail	110.11	0.02	0.01	0.04
Cough	512.8	0.97	0.62	0.72
Arrhythmia (cardiac) NOS	427.5	0.32	0.2	0.18
Other disorders of peritoneum	568.0	0.08	0.04	0.08
Allergy/adverse effect of penicillin	960.2	5.11	1.29	6.68
Scar conditions and fibrosis of skin	701.2	0.65	0.32	0.62
Shortness of breath	512.7	1.94	1.38	1.47
Other disorders of liver	573.0	0.53	0.39	0.45
Type 2 diabetes with ophthalmic manifestations	250.23	0.51	0.12	0.43
Cancer of mouth	145.0	0.04	0.08	0.02
Neutropenia	288.11	0.99	1.06	0.94
Flatulence	561.2	0.69	0.36	0.61
Glycosuria or Acetonuria	250.5	0.04	0.02	0.02
Conjunctivitis, infectious	369.5	0.08	0.04	0.06
Sensorineural hearing loss	389.1	0.17	0.03	0.09
Premature beats	427.6	0.24	0.17	0.14
Cellulitis and abscess of foot, toe	681.6	1.63	1.72	1.76
Dislocation	830.0	0.54	0.49	0.64
Tachycardia NOS	427.7	0.78	0.42	1.24
Other complications of pregnancy NEC	646.0	0.69	0.0	0.58
Symptoms of the muscles	772.0	0.06	0.04	0.02
Benign neoplasm of other female genital organs	221.0	0.06	0.05	0.06
Renal dialysis	585.31	0.17	0.14	0.18
Other and unspecified coagulation defects	286.7	0.12	0.1	0.08
Cervicalgia	761.0	0.32	0.07	0.1
Noninflammatory disorders of cervix	619.3	0.73	0.31	1.08
Other signs and symptoms in breast	613.7	0.13	0.1	0.12
Nonrheumatic tricuspid valve disorders	395.3	0.04	0.01	0.03
Osteoarthrosis NOS	740.9	1.95	0.1	0.5
Fracture of ankle and foot	801.0	0.1	0.04	0.03
Congenital deformities of feet	755.1	0.06	0.05	0.05
Unspecified osteomyelitis	710.19	0.03	0.01	0.01
Acute reaction to stress	300.8	0.04	0.03	0.01
Malignant neoplasm of small intestine, including duodenum	159.2	0.06	0.06	0.05
Portal hypertension	571.81	0.18	0.24	0.14
Ingrowing nail	703.1	0.21	0.26	0.29
Irregular menstrual cycle	626.13	0.46	0.32	0.49
Localized superficial swelling, mass, or lump	687.2	0.07	0.01	0.02
Cellulitis and abscess of fingers/toes	681.1	0.17	0.17	0.16
Autism	313.3	0.02	0.02	0.01
Complication of colostomy or enterostomy	853.0	0.16	0.1	0.19
Arterial embolism and thrombosis of lower extremity artery	444.1	0.17	0.1	0.12
Other immunological findings	279.7	0.06	0.15	0.03
Intestinal malabsorption (non-celiac)	557.0	0.12	0.05	0.06
Polydipsia	276.8	0.03	0.03	0.02
Senile cataract	366.2	3.38	0.49	1.52
Congenital osteodystrophies	756.5	0.05	0.02	0.01
Open wounds of extremities	871.0	1.2	1.14	1.14
Superficial injury without mention of infection	915.0	1.37	1.1	0.82
Rhesus isoimmunization in pregnancy	654.2	0.08	0.0	0.13
Deficiency of humoral immunity	279.11	0.04	0.04	0.01
Streptococcus infection	41.2	0.5	0.5	0.67
Chromosomal anomalies	758.1	0.03	0.04	0.02
Small kidney	586.11	0.06	0.05	0.07
Thyrotoxicosis with or without goiter	242.0	0.46	0.26	0.38
Rheumatoid arthritis	714.1	0.87	0.16	0.43
Second degree AV block	426.23	0.17	0.12	0.12
Vaginal enterocele, congenital or acquired	618.6	0.18	0.12	0.32
Gastric ulcer	531.2	1.27	0.76	0.84
Perforation of tympanic membrane	384.4	0.27	0.2	0.29
Disturbance of skin sensation	687.4	0.85	0.61	0.77
Disorders of the orbit	376.0	0.02	0.03	0.03
Cyst of kidney, acquired	586.2	0.45	0.34	0.4
Chronic venous insufficiency [CVI]	456.0	0.08	0.08	0.05
Acute gastritis	535.1	0.38	0.36	0.22
Asthma	495.0	7.92	3.07	8.32
Dementias	290.1	0.34	0.26	0.18
Abnormal results of function study of kidney	589.0	0.04	0.03	0.09
Urinary obstruction	599.1	0.05	0.03	0.03
Benign neoplasm of thyroid glands	226.0	0.07	0.11	0.03
Hemoptysis	516.1	0.59	0.68	0.55
Osteoarthrosis, localized, secondary	740.12	0.08	0.1	0.09
Acquired acanthosis nigricans	701.6	0.03	0.0	0.02
Otalgia	382.0	0.08	0.07	0.09
Other hereditary hemolytic anemias	282.9	0.03	0.02	0.02
Poisoning by other anti-infectives	961.0	0.15	0.03	0.15
Other disorders of soft tissues	729.0	0.36	0.17	0.16
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.02	0.03	0.03
Vitamin D deficiency	261.4	0.3	0.03	0.07
Edema	782.3	0.6	0.39	0.64
Other disorders of prostate	602.0	0.42	0.14	0.17
Open wound or laceration of eye or eyelid	870.1	0.16	0.12	0.09
Laxity of ligament or hypermobility syndrome	728.2	0.04	0.0	0.03
Paraproteinemia	270.32	0.08	0.07	0.06
Complication due to other implant and internal device	859.0	0.96	0.71	1.09
Palpitations	427.9	1.22	0.96	1.32
Neoplasm of uncertain behavior of breast	174.3	0.03	0.02	0.01
Non-Hodgkins lymphoma	202.2	0.43	0.4	0.29
Elevated sedimentation rate	790.1	0.02	0.02	0.03
Congenital anomalies of skin	691.0	0.02	0.01	0.01
Leukemia	204.0	0.14	0.09	0.11
Disease of tricuspid valve	394.7	0.44	0.17	0.32
Trigeminal nerve disorders [CN5]	352.1	0.14	0.11	0.13
Allergic reaction to food	930.0	0.06	0.05	0.06
Primary/intrinsic cardiomyopathies	425.1	0.33	0.25	0.31
Postinflammatory pulmonary fibrosis	502.0	0.31	0.34	0.32
Cysts of the jaws	526.1	0.09	0.05	0.04
Thrombocytopenia	287.3	0.41	0.35	0.32
Open wound of ear	870.2	0.05	0.03	0.04
Keratoconus	364.41	0.03	0.01	0.02
Hypopotassemia	276.14	0.58	0.38	0.32
Diseases of esophagus	530.0	0.2	0.23	0.15
Bacterial enteritis	8.5	0.6	0.61	0.41
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.03	0.04	0.04
Other complications of the puerperium NEC	674.0	0.08	0.0	0.11
Cardiac arrest	427.42	0.35	0.3	0.37
Ankylosing spondylitis	715.2	0.12	0.03	0.21
HIV infection, symptomatic	71.1	0.05	0.02	0.0
Eustachian tube disorders	381.2	0.05	0.04	0.07
Aphasia/speech disturbance	292.1	0.5	0.31	0.44
Wegener's granulomatosis	446.4	0.05	0.04	0.07
Immunity deficiency	279.1	0.03	0.04	0.03
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.07	0.06	0.04
Peripheral enthesopathies and allied syndromes	726.0	2.61	1.24	2.02
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.05	0.03	0.01
Pituitary hyperfunction	253.1	0.03	0.01	0.02
Other open wound of head and face	870.3	0.88	0.87	0.54
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	0.29	0.0	0.32
Paralytic ileus	560.1	0.22	0.19	0.15
Other conditions of brain	348.0	0.05	0.07	0.03
Vitiligo	694.1	0.02	0.01	0.02
Chronic interstitial cystitis	592.13	0.08	0.09	0.1
Acidosis	276.41	0.42	0.12	0.27
Intestinal infection due to C. difficile	8.52	0.2	0.19	0.28
Alcoholic liver damage	317.11	0.26	0.31	0.19
Disorders of external ear	380.0	0.17	0.16	0.2
Congenital anomalies of female genital organs	751.11	0.12	0.06	0.15
Obstructive chronic bronchitis	496.21	0.96	1.03	0.92
Hydrocele	603.1	0.4	0.35	0.31
Hemorrhage from gastrointestinal ulcer	531.1	0.18	0.23	0.15
Neurofibromatosis	199.4	0.03	0.02	0.03
Pancreatic cancer	157.0	0.2	0.22	0.24
Cellulitis and abscess of oral soft tissues	528.3	0.05	0.07	0.02
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.02	0.01	0.03
Infectious and parasitic complications affecting pregnancy	647.0	0.03	0.0	0.0
Disease of capillaries	448.0	0.03	0.04	0.05
Redundant prepuce and phimosis/BXO	604.1	0.75	0.86	0.84
Subjective visual disturbances	368.9	0.21	0.08	0.17
Pain in joint	745.0	0.49	0.04	0.07
Hypotension NOS	458.9	1.33	0.67	1.13
Impaired fasting glucose	250.41	0.1	0.13	0.1
Peripheral angiopathy in diseases classified elsewhere	443.7	0.13	0.11	0.12
Gangrene	791.0	0.19	0.24	0.18
Stricture and stenosis of esophagus	530.3	0.65	0.56	0.4
Neoplasm of unspecified nature of digestive system	158.0	0.33	0.23	0.45
Nontoxic uninodular goiter	241.1	0.16	0.1	0.13
Pilonidal cyst	686.3	0.13	0.18	0.19
Synovitis and tenosynovitis	727.1	0.74	0.41	0.64
Arthropathy NOS	716.9	8.24	1.8	6.24
Other retinal disorders	362.0	0.33	0.07	0.26
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.02	0.03	0.03
Other headache syndromes	339.0	2.29	1.81	2.24
Dysphagia	532.0	2.24	1.7	2.24
Hemorrhage of gastrointestinal tract	578.9	1.95	0.85	2.38
Cancer of other endocrine glands	194.0	0.03	0.03	0.02
Type 2 diabetes with neurological manifestations	250.24	0.21	0.13	0.25
Osteopenia or other disorder of bone and cartilage	743.9	0.06	0.02	0.01
Essential tremor	333.1	0.09	0.02	0.06
Thyroid cancer	193.0	0.11	0.11	0.07
Disorders of calcium/phosphorus metabolism	275.5	0.38	0.35	0.3
Abnormal function study of cardiovascular system	429.2	0.18	0.12	0.05
Other benign neoplasm of uterus	218.2	0.1	0.06	0.22
Type 1 diabetes with ketoacidosis	250.11	0.08	0.13	0.05
Lump or mass in breast	611.3	0.42	0.35	0.35
Malignant neoplasm of uterus	182.0	0.39	0.45	0.43
Abdominal pain	785.0	11.32	10.0	9.72
Malignant neoplasm, other	195.1	5.04	3.46	4.93
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.04	0.04	0.06
Rupture of tendon, nontraumatic	727.6	0.03	0.02	0.01
Disorders of other cranial nerves	352.0	0.02	0.02	0.01
Cerebral ischemia	433.3	0.37	0.09	0.57
Renal colic	594.8	0.5	0.49	0.51
Type 1 diabetes with renal manifestations	250.12	0.03	0.03	0.03
Pelvic inflammatory disease (PID)	614.3	0.04	0.03	0.02
Acute vascular insufficiency of intestine	441.1	0.08	0.09	0.05
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.08	0.04	0.1
Congenital anomalies of intestine	750.21	0.06	0.08	0.05
Malignant neoplasm of kidney, except pelvis	189.11	0.29	0.35	0.31
Fracture of clavicle or scapula	803.3	0.07	0.03	0.04
Urticaria	947.0	0.17	0.12	0.13
Tobacco use disorder	318.0	5.98	3.09	6.17
Congenital musculoskeletal deformities of spine	754.0	0.03	0.02	0.02
Abnormal heart sounds	396.0	0.35	0.12	0.5
Dependence on respirator [Ventilator] or supplemental oxygen	509.8	0.09	0.72	0.07
Personal history of diseases of digestive system	564.9	5.92	3.55	3.7
Liver abscess and sequelae of chronic liver disease	571.8	0.19	0.15	0.15
Blood in stool	578.2	0.74	1.59	0.81
Late pregnancy and failed induction	645.0	0.35	0.0	0.32
Epiphora	375.2	0.28	0.22	0.09
Hypovolemia	276.5	1.06	0.48	0.75
Other disorders of cervical region	723.0	0.13	0.03	0.08
Hammer toe (acquired)	735.21	0.56	0.44	0.36
Peripheral retinal degenerations	362.6	0.06	0.01	0.02
Noninfectious gastroenteritis	558.0	4.87	4.87	4.7
Diseases and other conditions of the tongue	529.0	0.28	0.18	0.21
Hemorrhage or hematoma complicating a procedure	850.0	1.57	1.1	1.55
Arthropod-borne diseases	133.0	0.04	0.02	0.01
Uveitis, noninfectious or NOS	371.1	0.16	0.07	0.18
Diseases of nail, NOS	703.0	0.09	0.08	0.14
Juvenile osteochondrosis	732.1	0.05	0.02	0.05
Neuralgia, neuritis, and radiculitis NOS	766.0	0.11	0.03	0.02
Postmenopausal bleeding	627.1	2.44	2.22	3.48
Hypertrophy of female genital organs	623.0	0.35	0.14	0.48
Breast cancer [female]	174.1	0.6	0.43	0.72
Chromosomal anomalies and genetic disorders	758.0	0.03	0.01	0.02
Personal history of diseases of blood and blood-forming organs	289.3	0.11	0.06	0.09
Cancer of eye	190.0	0.05	0.06	0.06
Pain in limb	773.0	0.4	0.12	0.13
Amblyopia	368.1	0.2	0.06	0.09
Alopecia	704.1	0.04	0.02	0.02
Cornea replaced by transplant	364.9	0.04	0.01	0.02
Leukoplakia of oral mucosa	528.6	0.1	0.02	0.03
Intracerebral hemorrhage	430.2	0.23	0.25	0.29
Hepatitis NOS	70.9	0.15	0.09	0.13
Posttraumatic stress disorder	300.9	0.05	0.01	0.04
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	0.59	0.1	0.53
Joint/ligament sprain	840.3	0.05	0.03	0.02
Mastoiditis & related conditions	381.3	0.04	0.03	0.03
Disorders of esophageal motility	530.5	0.21	0.22	0.23
Phlebitis and thrombophlebitis of lower extremities	451.2	1.13	0.8	1.07
Disorders of adrenal glands	255.0	0.05	0.04	0.04
Epilepsy	345.1	0.1	0.06	0.1
Chronic prostatitis	601.12	0.27	0.21	0.1
Paroxysmal ventricular tachycardia	427.12	0.31	0.2	0.28
Other disorders of eyelids	374.0	0.89	0.5	0.67
Ulcer of esophagus	530.12	1.55	1.07	1.21
Benign neoplasm of bone and articular cartilage	213.0	0.09	0.09	0.06
Mixed hyperlipidemia	272.13	0.05	0.08	0.05
Anticoagulants causing adverse effects	964.1	0.09	0.08	0.1
Acquired deformities of finger	736.2	0.07	0.04	0.07
Visual disturbances	368.0	0.35	0.14	0.32
Esophagitis, GERD and related diseases	530.1	2.99	1.54	1.77
Unspecified monoarthritis	716.2	5.17	1.29	4.95
Atrophy of female genital tract	624.2	0.14	0.05	0.14
Difficulty in walking	741.3	0.06	0.02	0.09
Subdural hemorrhage	430.3	0.09	0.1	0.11
Vaginitis and vulvovaginitis	614.52	0.1	0.08	0.16
Transient cerebral ischemia	433.31	0.61	0.7	0.59
Breast disorder NOS	613.9	0.04	0.08	0.11
Placenta previa and abruptio placenta	635.3	0.37	0.0	0.34
Disorders of magnesium metabolism	275.3	0.17	0.09	0.18
Fracture of tibia and fibula	800.3	0.11	0.03	0.02
First degree AV block	426.21	0.39	0.31	0.27
Iron deficiency anemias, unspecified or not due to blood loss	280.1	2.65	1.74	2.2
Other disorders of male genital organs	608.0	0.77	0.78	0.63
Hematuria	593.0	4.31	4.93	6.19
Other alveolar and parietoalveolar pneumonopathy	504.0	0.11	0.11	0.1
Genital prolapse	618.0	0.12	0.1	0.09
Cholelithiasis	574.1	2.43	2.91	2.63
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.05	0.01	0.04
Celiac disease	557.1	0.64	0.45	0.52
Postoperative infection	80.0	1.23	1.27	1.44
Develomental delays and disorders	315.0	0.1	0.05	0.1
Anal and rectal polyp	565.1	2.38	1.5	1.6
Graves' disease	242.1	0.14	0.13	0.21
Other specified diseases of hair and hair follicles	704.8	0.02	0.01	0.01
Inflammatory diseases of uterus, except cervix	614.4	0.08	0.06	0.08
Hemorrhage in early pregnancy	636.3	0.24	0.12	0.24
Angina pectoris	411.3	4.82	3.79	4.1
Calculus of ureter	594.3	0.64	0.83	0.63
Atrioventricular block, complete	426.24	0.22	0.15	0.24
Acquired toe deformities	735.2	0.61	0.46	0.7
Stricture of artery	447.1	0.25	0.26	0.15
