Phenotype	PheCode	1	2	3	4	5
Symptoms involving head and neck	293.0	0.42	0.45	0.53	0.61	0.78
Cerebral degeneration, unspecified	331.9	0.1	0.13	0.13	0.15	0.25
Anomalies of endocrine glands, congenital	759.1	0.01	0.02	0.03	0.03	0.03
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.05	0.06	0.05	0.05	0.05
Primary angle-closure glaucoma	365.2	0.2	0.23	0.23	0.21	0.26
Polycystic ovaries	256.4	0.05	0.05	0.06	0.06	0.1
Anemia of chronic disease	285.2	0.07	0.08	0.09	0.12	0.14
Delirium due to conditions classified elsewhere	290.2	0.21	0.25	0.28	0.33	0.55
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.09	0.09	0.09	0.1	0.12
Acromegaly and gigantism	253.11	0.03	0.02	0.02	0.03	0.03
Myopathy	359.2	0.07	0.06	0.06	0.08	0.1
GERD	530.11	4.38	4.71	4.91	5.23	6.07
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.1	0.1	0.12	0.12	0.16
Other demyelinating diseases of central nervous system	341.0	0.05	0.05	0.07	0.07	0.08
Diseases of pancreas	577.0	0.14	0.17	0.15	0.17	0.27
Cancer of stomach	151.0	0.14	0.17	0.17	0.19	0.23
Open wound of toe(s)	871.4	0.02	0.02	0.02	0.03	0.03
Suppurative and unspecified otitis media	381.11	0.15	0.19	0.2	0.23	0.29
Autoimmune hemolytic anemias	283.1	0.03	0.04	0.03	0.03	0.04
Atrioventricular [AV] block	426.2	0.03	0.06	0.04	0.04	0.05
Pelvic inflammatory disease, NOS	614.33	0.06	0.08	0.06	0.09	0.11
Essential hypertension	401.1	20.05	21.35	22.26	22.72	26.19
Osteoarthrosis, localized, primary	740.11	2.09	2.25	2.51	2.64	2.65
Malaise and fatigue	798.0	0.76	0.73	0.82	0.87	1.16
Corneal ulcer	370.1	0.04	0.04	0.04	0.04	0.06
Diseases of lips	528.5	0.21	0.21	0.17	0.2	0.19
Stiffness of joint	741.2	0.02	0.03	0.03	0.03	0.03
Intervertebral disc disorder with myelopathy	722.7	0.08	0.09	0.11	0.13	0.18
Type 2 diabetes with renal manifestations	250.22	0.03	0.03	0.07	0.1	0.19
Macroglobulinemia	270.35	0.03	0.03	0.01	0.02	0.02
Other forms of chronic heart disease	414.0	0.58	0.62	0.67	0.73	0.92
Benign neoplasm of kidney and other urinary organs	223.0	0.06	0.04	0.07	0.07	0.06
Atherosclerosis of the extremities	440.2	0.08	0.11	0.13	0.13	0.23
Other disorders of tympanic membrane	384.0	0.08	0.09	0.12	0.08	0.12
Pneumonia	480.0	1.02	1.06	1.23	1.3	1.99
Allergies, other	949.0	0.1	0.1	0.12	0.13	0.16
Superficial cellulitis and abscess	681.0	0.12	0.12	0.14	0.15	0.22
Giant cell arteritis	446.5	0.12	0.13	0.11	0.12	0.15
Unspecified erythematous condition	695.9	0.12	0.12	0.13	0.18	0.2
Aspergillosis	117.4	0.05	0.04	0.05	0.05	0.06
Cutaneous lupus erythematosus	695.41	0.03	0.03	0.04	0.06	0.07
Left bundle branch block	426.32	0.57	0.58	0.63	0.7	0.73
Dysmenorrhea	626.2	0.32	0.36	0.36	0.45	0.59
Hidradenitis	705.3	0.03	0.03	0.04	0.06	0.09
Nonrheumatic mitral valve disorders	395.1	0.91	0.86	0.96	0.94	1.12
Hypoparathyroidism	252.2	0.04	0.05	0.04	0.05	0.06
Complications of transplants and reattached limbs	851.0	1.62	1.73	1.8	1.9	2.13
Chronic bronchitis	496.2	0.06	0.06	0.08	0.12	0.19
Postmenopausal atrophic vaginitis	627.3	0.34	0.33	0.35	0.31	0.33
Fracture of vertebral column without mention of spinal cord injury	805.0	0.1	0.08	0.08	0.09	0.12
Chronic hepatitis	70.4	0.06	0.08	0.06	0.1	0.1
Chronic lymphocytic thyroiditis	245.21	0.06	0.06	0.06	0.07	0.06
Open wound of lip and mouth	870.5	0.09	0.09	0.11	0.11	0.17
Other endocrine disorders	259.0	0.02	0.03	0.03	0.04	0.06
Dystrophy of female genital tract	624.1	0.08	0.08	0.07	0.08	0.08
Epistaxis or throat hemorrhage	477.0	0.66	0.7	0.71	0.7	0.83
Other specified erythematous conditions	695.8	0.04	0.05	0.05	0.06	0.07
Diverticulosis	562.1	8.87	9.47	9.27	9.32	10.11
Poisoning/allergy of sulfonamides	961.1	0.3	0.28	0.24	0.25	0.27
Effects radiation NOS	990.0	1.06	1.15	1.14	1.18	1.24
Spinal cord injury without evidence of spinal bone injury	952.0	0.02	0.02	0.02	0.03	0.03
Malignant neoplasm of unspecified male genital organ	187.1	0.02	0.01	0.02	0.02	0.03
Heart valve replaced	395.6	0.41	0.45	0.45	0.49	0.53
Contracture of tendon (sheath)	727.7	0.03	0.03	0.04	0.03	0.04
Nonspecific abnormal findings in stool contents	579.8	0.57	0.63	0.58	0.62	0.67
Occlusion of cerebral arteries	433.2	0.75	0.79	0.87	0.94	1.23
Herpes zoster	53.0	0.1	0.09	0.09	0.11	0.15
Other and unspecified disorders of the nervous system	349.0	0.1	0.12	0.12	0.12	0.15
Glaucoma	365.0	1.16	1.19	1.14	1.16	1.33
Pituitary hypofunction	253.2	0.07	0.08	0.07	0.08	0.1
Migraine	340.0	0.73	0.74	0.8	0.93	1.05
Abdominal hernia	550.0	0.92	1.04	1.12	1.18	1.53
Other specified disorders of breast	613.8	0.09	0.08	0.08	0.09	0.12
Hypermetropia	367.8	0.07	0.08	0.09	0.07	0.09
Cerebral cysts	348.4	0.04	0.04	0.03	0.04	0.05
Retinoschisis and retinal cysts	361.2	0.02	0.03	0.02	0.02	0.02
Symptoms involving respiratory system and other chest symptoms	519.9	0.06	0.09	0.08	0.1	0.11
Partial epilepsy	345.12	0.07	0.07	0.08	0.08	0.13
Agorophobia, social phobia, and panic disorder	300.12	0.19	0.18	0.27	0.3	0.48
Alkalosis	276.42	0.05	0.03	0.04	0.04	0.07
Noninflammatory disorders of vulva and perineum	619.5	0.35	0.35	0.38	0.36	0.38
Disorders of vitreous body	379.2	0.46	0.43	0.44	0.44	0.36
Diplopia and disorders of binocular vision	368.2	0.2	0.18	0.22	0.22	0.26
Lung disease due to external agents	500.0	0.03	0.03	0.04	0.03	0.05
Spinocerebellar disease	334.1	0.03	0.03	0.04	0.05	0.07
Aplastic anemia	284.0	0.11	0.13	0.17	0.14	0.21
Alcohol-related disorders	317.0	0.83	0.98	1.19	1.8	3.76
Abnormality of gait	350.2	0.48	0.49	0.53	0.63	1.07
Chorioretinal scars	363.3	0.03	0.02	0.03	0.02	0.03
Somatoform disorder	303.4	0.02	0.04	0.03	0.04	0.07
Other mental disorder	306.0	7.32	8.38	9.0	9.97	12.41
Swelling of limb	771.1	0.18	0.23	0.23	0.23	0.3
Acute pancreatitis	577.1	0.28	0.31	0.31	0.35	0.5
Femoral hernia	550.3	0.18	0.2	0.21	0.21	0.2
Secondary malignant neoplasm of liver	198.4	0.91	0.91	0.94	0.93	1.06
Other hypertrophic and atrophic conditions of skin	701.0	0.41	0.47	0.48	0.45	0.49
Symptomatic menopause	627.2	0.04	0.04	0.07	0.04	0.06
Cancer of bronchus; lung	165.1	0.48	0.59	0.61	0.78	1.27
Open wound of nose and sinus	870.4	0.05	0.07	0.06	0.08	0.11
Other inflammatory spondylopathies	715.0	0.07	0.1	0.1	0.1	0.15
Lack of coordination	350.3	0.1	0.09	0.1	0.11	0.15
Iatrogenic hypotension	458.2	0.07	0.06	0.08	0.08	0.09
Disturbances in tooth eruption	520.2	0.46	0.54	0.53	0.55	0.52
Separation of retinal layers	362.31	0.04	0.03	0.04	0.03	0.02
Facial nerve disorders [CN7]	352.2	0.22	0.22	0.23	0.3	0.33
Other disorders of synovium, tendon, and bursa	727.0	0.27	0.28	0.27	0.28	0.27
Abnormal granulation tissue	701.5	0.12	0.12	0.13	0.12	0.14
Cataract	366.0	5.02	5.04	5.37	5.63	6.19
Folate-deficiency anemia	281.13	0.03	0.05	0.07	0.07	0.1
Urinary incontinence	599.4	2.15	2.34	2.4	2.54	2.99
Hypoglycemia	251.1	0.18	0.25	0.29	0.37	0.66
Chronic pancreatitis	577.2	0.1	0.1	0.1	0.13	0.3
Malignant neoplasm of ovary	184.11	0.27	0.3	0.29	0.28	0.25
Torsion dystonia	333.4	0.06	0.08	0.07	0.08	0.11
Phlebitis and thrombophlebitis	451.0	0.09	0.09	0.11	0.12	0.16
Dementia with cerebral degenerations	290.12	0.02	0.03	0.02	0.02	0.02
Benign neoplasm of colon	208.0	5.56	6.11	5.95	6.15	7.02
Hypertrophy of breast (Gynecomastia)	612.2	0.18	0.21	0.19	0.22	0.26
Testicular hypofunction	257.1	0.05	0.04	0.04	0.04	0.07
Other disorders of circulatory system	459.0	0.03	0.04	0.05	0.05	0.05
Other disorders of metabolism	277.0	0.25	0.26	0.27	0.3	0.42
Extrinsic allergic alveolitis	500.1	0.02	0.02	0.02	0.02	0.04
Atopic/contact dermatitis due to other or unspecified	939.0	0.57	0.58	0.65	0.72	0.85
Osteochondropathies	732.0	0.06	0.07	0.06	0.06	0.07
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.17	0.15	0.16	0.19	0.23
Retinal detachments and defects	361.0	0.67	0.6	0.6	0.56	0.46
Inflammatory disease of breast	613.1	0.15	0.15	0.17	0.21	0.23
Dermatitis due to solar radiation	938.0	0.03	0.03	0.04	0.02	0.03
Articular cartilage disorder	742.8	0.02	0.03	0.03	0.03	0.03
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.05	0.04	0.05	0.07	0.09
Anomalous atrioventricular excitation	426.4	0.06	0.05	0.06	0.09	0.07
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.2	0.19	0.18	0.22	0.22
Other perinatal conditions of fetus or newborn	656.0	0.13	0.14	0.13	0.15	0.16
Other conditions of brain, NOS	348.9	0.11	0.11	0.14	0.13	0.18
Cardiac pacemaker in situ	426.91	0.72	0.8	0.75	0.79	0.94
Other infectious and parasitic diseases	136.0	0.06	0.06	0.08	0.07	0.08
Diabetes insipidus	253.3	0.02	0.02	0.02	0.03	0.04
Traumatic and surgical subcutaneous emphysema	958.2	0.02	0.02	0.02	0.02	0.03
Congenital anomalies of peripheral vascular system	747.2	0.05	0.04	0.05	0.05	0.05
Hallucinations	292.6	0.07	0.08	0.11	0.1	0.19
Cancer of larynx	149.4	0.03	0.05	0.05	0.07	0.15
Renal failure NOS	585.2	0.33	0.36	0.39	0.41	0.63
Adverse reaction to serum or vaccine	941.0	0.08	0.07	0.08	0.04	0.06
Pseudomonal pneumonia	480.12	0.02	0.02	0.03	0.03	0.05
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	0.59	0.65	0.69	0.75	0.86
Mucous polyp of cervix	622.2	0.86	0.87	0.87	0.82	0.74
Noninflammatory female genital disorders	619.0	0.04	0.03	0.04	0.04	0.08
Obstruction of bile duct	575.2	0.21	0.26	0.26	0.25	0.32
Bone marrow or stem cell transplant	860.0	0.02	0.02	0.02	0.03	0.02
Cardiomegaly	416.0	0.69	0.77	0.86	0.88	1.25
Corneal degenerations	364.4	0.04	0.04	0.05	0.05	0.05
Precordial pain	418.1	0.98	1.09	1.21	1.24	1.66
Atherosclerosis of renal artery	440.1	0.01	0.02	0.02	0.02	0.03
Secondary malignant neoplasm of skin	198.7	0.07	0.07	0.07	0.05	0.07
Absent or infrequent menstruation	626.11	0.02	0.03	0.03	0.04	0.04
Obstetrical/birth trauma	665.0	1.5	1.38	1.45	1.41	1.2
Diseases of spleen	289.5	0.14	0.16	0.16	0.14	0.19
Malposition and malpresentation of fetus or obstruction	652.0	0.44	0.47	0.48	0.49	0.4
Pyogenic granuloma	686.4	0.1	0.1	0.1	0.1	0.11
Other and unspecified congenital anomalies	759.0	0.02	0.03	0.04	0.04	0.04
Myoclonus	333.2	0.03	0.03	0.03	0.03	0.03
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.02	0.03	0.03	0.03	0.03
Viral hepatitis B	70.2	0.03	0.03	0.03	0.06	0.16
Other nonspecific findings on examination of urine	598.9	0.1	0.08	0.08	0.07	0.12
Other local infections of skin and subcutaneous tissue	686.0	0.34	0.37	0.39	0.41	0.56
Hypoventilation	513.3	0.02	0.02	0.03	0.02	0.07
Other abnormality of urination	599.9	0.47	0.53	0.51	0.48	0.6
Hypertensive chronic kidney disease	401.22	0.34	0.4	0.46	0.57	0.9
Esophageal bleeding (varices/hemorrhage)	530.2	0.42	0.5	0.56	0.63	0.81
Pulmonary congestion and hypostasis	503.0	0.1	0.12	0.14	0.18	0.27
Benign neoplasm of unspecified sites	229.0	0.61	0.6	0.62	0.58	0.58
Opiates and related narcotics causing adverse effects in therapeutic use	965.1	0.41	0.4	0.45	0.45	0.43
Anaphylactic shock NOS	946.0	0.13	0.14	0.15	0.16	0.22
Hyposmolality and/or hyponatremia	276.12	0.55	0.6	0.67	0.74	0.98
Hereditary retinal dystrophies	362.7	0.02	0.03	0.02	0.02	0.03
Diverticulum of esophagus, acquired	530.6	0.04	0.05	0.06	0.06	0.08
Inflammatory conditions of jaw	526.5	0.02	0.03	0.03	0.03	0.05
Congenital hip dysplasia and deformity	755.61	0.03	0.02	0.02	0.03	0.04
Anomalies of pupillary function	379.4	0.02	0.02	0.02	0.03	0.03
Atherosclerosis	440.0	0.04	0.04	0.04	0.06	0.07
Poisoning by hormones and synthetic substitutes	962.0	0.02	0.04	0.03	0.05	0.1
Disorders of phosphorus metabolism	275.53	0.06	0.06	0.08	0.08	0.13
Type 1 diabetes with ophthalmic manifestations	250.13	0.1	0.12	0.12	0.15	0.26
Tinnitus	389.4	0.15	0.13	0.17	0.18	0.22
Abnormal results of function study of liver	573.7	0.96	1.02	1.06	1.13	1.4
Sleep apnea	327.3	0.99	1.1	1.25	1.51	1.98
Kidney replaced by transpant	587.0	0.09	0.08	0.1	0.13	0.17
Back pain	760.0	1.46	1.51	1.66	1.88	2.42
Toxic gastroenteritis and colitis	569.1	0.07	0.07	0.08	0.06	0.06
Heart failure NOS	428.2	1.09	1.18	1.26	1.41	2.11
Cerebral atherosclerosis	433.12	0.05	0.09	0.07	0.08	0.11
Irregular menstrual bleeding	626.14	0.86	0.93	0.96	1.04	1.05
Cystic kidney disease	751.21	0.1	0.11	0.13	0.13	0.14
Rash and other nonspecific skin eruption	687.1	0.57	0.55	0.62	0.68	0.85
Other symptoms involving abdomen and pelvis	579.0	0.28	0.32	0.33	0.35	0.4
Acquired spondylolisthesis	738.4	0.06	0.08	0.08	0.09	0.1
Diseases of hair and hair follicles	704.0	1.17	1.24	1.35	1.34	1.54
Personality disorders	301.0	0.03	0.04	0.05	0.08	0.24
Encephalopathy, not elsewhere classified	348.8	0.03	0.04	0.04	0.04	0.08
Non-proliferative glomerulonephritis	580.12	0.04	0.03	0.04	0.06	0.05
Fetal distress and abnormal forces of labor	661.0	0.59	0.57	0.59	0.62	0.51
Traumatic amputation	872.0	0.11	0.11	0.11	0.14	0.14
Toxic erythema	695.1	0.03	0.02	0.03	0.03	0.04
Inflammation of the eye	371.0	0.02	0.03	0.03	0.03	0.04
Paralytic strabismus	378.5	0.07	0.06	0.09	0.09	0.1
Chronic periodontitis	523.32	0.28	0.25	0.3	0.34	0.41
Alteration of consciousness	291.8	0.11	0.1	0.14	0.18	0.25
Spondylosis without myelopathy	721.1	0.21	0.27	0.31	0.29	0.39
Aneurysm of artery of lower extremity	442.3	0.04	0.05	0.05	0.05	0.07
Preeclampsia and eclampsia	642.1	0.09	0.07	0.08	0.09	0.1
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.29	0.3	0.31	0.38	0.46
Bronchitis	497.0	0.14	0.16	0.16	0.2	0.37
Sepsis	994.2	0.89	0.95	0.95	1.0	1.28
Kyphoscoliosis and scoliosis	737.3	0.11	0.13	0.13	0.16	0.19
Adverse drug events and drug allergies	979.0	0.07	0.08	0.09	0.13	0.28
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.03	0.02	0.03	0.03	0.02
Hyperlipidemia	272.1	1.31	1.45	1.65	1.72	2.46
Malignant neoplasm of other urinary organs	189.4	0.03	0.03	0.05	0.04	0.04
Symptoms involving digestive system	561.0	4.7	4.91	4.93	5.05	5.82
Cervical cancer	180.1	0.05	0.07	0.08	0.07	0.09
Infection of the eye	369.0	0.06	0.06	0.08	0.07	0.1
Dysuria	599.3	0.31	0.34	0.31	0.35	0.48
Other disorders of the kidney and ureters	586.0	0.3	0.31	0.34	0.35	0.47
Other specified congenital anomalies of nervous system	752.2	0.01	0.02	0.02	0.02	0.03
Psychogenic disorder	303.3	0.11	0.09	0.11	0.1	0.14
Gram negative septicemia	38.1	0.24	0.26	0.26	0.32	0.36
Viral Enteritis	8.6	0.21	0.22	0.22	0.3	0.37
Ulceration of intestine	556.1	0.2	0.27	0.29	0.26	0.36
Other heart block	426.25	0.03	0.05	0.04	0.03	0.04
Generalized anxiety disorder	300.11	0.04	0.05	0.04	0.05	0.07
Hyperosmolality and/or hypernatremia	276.11	0.07	0.08	0.07	0.11	0.18
Other specified cardiac dysrhythmias	427.3	0.99	1.0	1.06	1.1	1.26
Sleep disorders	327.0	0.24	0.21	0.22	0.32	0.36
Voice disturbance	473.4	0.24	0.26	0.24	0.31	0.42
Prolapse of vaginal vault after hysterectomy	618.5	0.14	0.15	0.14	0.14	0.09
Noninfectious disorders of lymphatic channels	450.0	0.18	0.23	0.22	0.22	0.36
Hyperplasia of prostate	600.0	3.41	3.44	3.4	3.2	3.35
Bipolar	296.1	0.2	0.23	0.29	0.37	0.72
Sialolithiasis	528.7	0.06	0.09	0.06	0.09	0.08
Meningitis	320.0	0.11	0.1	0.11	0.11	0.11
Mild cognitive impairment	292.2	0.05	0.06	0.07	0.08	0.14
Nausea and vomiting	789.0	2.81	3.0	3.24	3.54	4.64
Acute bronchitis and bronchiolitis	483.0	0.05	0.06	0.08	0.06	0.1
Acute (transverse) myelitis	323.2	0.02	0.02	0.01	0.03	0.02
Urinary complications NEC	597.2	0.02	0.02	0.02	0.02	0.03
Staphylococcus infections	41.1	0.72	0.82	0.89	0.97	1.36
Congenital anomalies of urinary system	751.2	0.03	0.02	0.02	0.02	0.03
Jaundice (not of newborn)	573.5	0.21	0.26	0.27	0.27	0.32
Contusion	916.0	0.31	0.36	0.41	0.43	0.57
Cystic mastopathy	610.1	0.18	0.22	0.2	0.22	0.2
Tension headache	306.9	0.08	0.08	0.1	0.11	0.16
Calculus of lower urinary tract	594.2	0.2	0.22	0.22	0.22	0.26
Malignant neoplasm of testis	187.2	0.07	0.06	0.08	0.05	0.07
Abnormal involuntary movements	350.1	0.25	0.22	0.25	0.28	0.44
Myeloid leukemia, chronic	204.22	0.05	0.04	0.03	0.04	0.05
Nerve plexus lesions	353.1	0.03	0.03	0.03	0.04	0.04
Acute prostatitis	601.11	0.07	0.09	0.07	0.07	0.07
Acquired hypothyroidism	244.2	0.03	0.03	0.03	0.04	0.05
Known or suspected fetal abnormality affecting management of mother	655.0	1.18	1.16	1.16	1.28	1.09
Nasal polyps	471.0	0.85	0.85	0.83	0.9	0.87
Cancer, suspected or other	195.0	0.25	0.3	0.25	0.26	0.26
Mitral valve disease	394.2	0.94	0.88	0.99	0.99	1.16
Cardiogenic shock	797.1	0.03	0.03	0.03	0.04	0.04
Secondary hypothyroidism	244.1	0.32	0.37	0.35	0.41	0.4
Multiple myeloma	204.4	0.18	0.2	0.18	0.15	0.19
Keloid scar	701.4	0.07	0.05	0.07	0.07	0.11
Purpura and other hemorrhagic conditions	287.0	0.03	0.02	0.02	0.04	0.04
Psychosis	295.3	0.02	0.04	0.05	0.07	0.15
Peptic ulcer, site unspecified	531.4	0.07	0.09	0.1	0.1	0.23
Anal and rectal conditions	565.0	2.14	2.23	2.27	2.5	2.84
Ganglion and cyst of synovium, tendon, and bursa	727.4	0.78	0.8	0.85	0.82	0.83
Contracture of joint	739.0	0.01	0.02	0.03	0.01	0.03
Vascular insufficiency of intestine	441.0	0.08	0.09	0.07	0.11	0.14
Intracranial hemorrhage	430.0	0.03	0.02	0.03	0.05	0.05
Respiratory insufficiency	509.2	0.35	0.43	0.44	0.58	0.97
Umbilical cord complications during labor and delivery	663.0	0.15	0.16	0.15	0.19	0.15
Primary thrombocytopenia	287.31	0.09	0.13	0.11	0.12	0.16
Chronic fatigue syndrome	798.1	0.15	0.16	0.16	0.18	0.22
Ovarian cyst	628.0	1.14	1.14	1.25	1.43	1.46
Hyperaldosteronism	255.12	0.02	0.03	0.02	0.02	0.02
Corneal opacity and other disorders of cornea	364.0	0.06	0.07	0.09	0.07	0.08
Nonspecific chest pain	418.0	6.78	7.12	7.54	8.39	10.81
Aneurysm of other specified artery	442.8	0.04	0.06	0.07	0.07	0.09
Prurigo and Lichen	695.7	0.19	0.24	0.22	0.22	0.23
Myeloproliferative disease	200.0	0.21	0.2	0.2	0.21	0.24
Cellulitis and abscess of leg, except foot	681.5	1.29	1.47	1.5	1.72	2.24
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.04	0.06	0.05	0.06	0.09
Other abnormal glucose	250.42	0.08	0.1	0.13	0.14	0.25
Abnormal findings on examination of urine	598.0	0.83	0.81	0.87	0.88	1.14
Retinal hemorrhage/ischemia	362.8	0.05	0.03	0.03	0.02	0.02
Otorrhea	381.9	0.05	0.06	0.06	0.06	0.1
Temporomandibular joint disorder, unspecified	526.41	0.06	0.07	0.06	0.06	0.08
Arteritis NOS	446.9	0.07	0.08	0.08	0.09	0.09
Cardiac congenital anomalies	747.1	0.05	0.05	0.06	0.06	0.08
Stricture/obstruction of ureter	586.4	0.25	0.23	0.29	0.28	0.34
Suicide or self-inflicted injury	297.2	0.18	0.22	0.26	0.39	0.93
Valvular heart disease/ heart chambers	747.12	0.07	0.07	0.08	0.07	0.08
Secondary malignant neoplasm	198.0	0.35	0.42	0.38	0.37	0.45
Osteoarthrosis, generalized	740.2	0.12	0.13	0.14	0.17	0.23
Congestive heart failure (CHF) NOS	428.1	0.54	0.53	0.66	0.77	1.13
Open wounds of head; neck; and trunk	870.0	0.03	0.04	0.05	0.06	0.08
Chronic pulmonary heart disease	415.2	0.03	0.04	0.05	0.06	0.12
Secondary malignant neoplasm of digestive systems	198.3	0.56	0.6	0.54	0.52	0.56
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.47	0.51	0.61	0.54	0.69
Fasciitis	728.7	0.06	0.07	0.07	0.08	0.1
Cellulitis and abscess of trunk	681.7	0.16	0.16	0.16	0.18	0.24
Heartburn	530.9	0.6	0.63	0.67	0.62	0.78
Type 2 diabetes	250.2	4.15	4.75	5.33	6.3	9.25
Parkinson's disease	332.0	0.45	0.4	0.37	0.37	0.41
Injuries to the nervous system	907.0	0.34	0.3	0.35	0.38	0.43
Cerebral edema and compression of brain	348.2	0.06	0.09	0.09	0.09	0.11
Neoplasm of uncertain behavior of male genital organs	187.8	0.02	0.03	0.02	0.03	0.03
Stomatitis and mucositis (ulcerative)	528.11	0.11	0.13	0.11	0.11	0.15
Disorders of iris and ciliary body	379.5	0.1	0.1	0.12	0.1	0.14
Pain, swelling or discharge of eye	379.9	0.04	0.05	0.05	0.06	0.07
Pneumococcal pneumonia	480.11	1.54	1.73	1.81	2.06	2.93
Premenopausal menorrhagia	627.4	0.07	0.08	0.09	0.08	0.1
Pruritus and related conditions	698.0	0.19	0.21	0.22	0.22	0.28
Anisometropia	368.3	0.05	0.05	0.05	0.06	0.04
Appendicitis	540.1	0.14	0.16	0.12	0.15	0.17
Other non-epithelial cancer of skin	172.2	3.64	3.65	3.37	2.94	2.39
Iatrogenic endocrine disorders	258.0	0.03	0.03	0.02	0.04	0.03
Oliguria and anuria	599.6	0.02	0.03	0.04	0.03	0.08
Dermatophytosis of nail	110.11	0.02	0.03	0.02	0.02	0.02
Cough	512.8	0.75	0.81	0.9	1.0	1.24
Arrhythmia (cardiac) NOS	427.5	0.29	0.3	0.26	0.34	0.34
Other disorders of peritoneum	568.0	0.07	0.06	0.08	0.07	0.09
Allergy/adverse effect of penicillin	960.2	4.63	4.73	4.78	4.96	5.4
Scar conditions and fibrosis of skin	701.2	0.6	0.63	0.66	0.61	0.64
Shortness of breath	512.7	1.41	1.56	1.74	1.98	2.7
Other disorders of liver	573.0	0.41	0.47	0.46	0.56	0.69
Type 2 diabetes with ophthalmic manifestations	250.23	0.32	0.35	0.4	0.5	0.86
Cancer of mouth	145.0	0.03	0.03	0.04	0.04	0.07
Neutropenia	288.11	0.99	0.99	0.99	0.97	1.02
Flatulence	561.2	0.6	0.65	0.64	0.67	0.77
Glycosuria or Acetonuria	250.5	0.03	0.03	0.04	0.04	0.05
Conjunctivitis, infectious	369.5	0.06	0.05	0.07	0.09	0.11
Sensorineural hearing loss	389.1	0.15	0.14	0.14	0.13	0.21
Premature beats	427.6	0.23	0.24	0.21	0.23	0.24
Cellulitis and abscess of foot, toe	681.6	1.29	1.47	1.5	1.72	2.24
Dislocation	830.0	0.48	0.54	0.51	0.56	0.61
Tachycardia NOS	427.7	0.6	0.67	0.71	0.78	1.1
Other complications of pregnancy NEC	646.0	0.58	0.58	0.61	0.71	0.71
Symptoms of the muscles	772.0	0.04	0.06	0.05	0.06	0.1
Benign neoplasm of other female genital organs	221.0	0.05	0.04	0.06	0.07	0.07
Renal dialysis	585.31	0.12	0.14	0.14	0.19	0.28
Other and unspecified coagulation defects	286.7	0.1	0.09	0.09	0.12	0.18
Cervicalgia	761.0	0.22	0.28	0.28	0.3	0.38
Noninflammatory disorders of cervix	619.3	0.71	0.74	0.72	0.71	0.67
Other signs and symptoms in breast	613.7	0.13	0.11	0.12	0.12	0.14
Nonrheumatic tricuspid valve disorders	395.3	0.03	0.04	0.04	0.04	0.05
Osteoarthrosis NOS	740.9	1.39	1.57	1.65	1.81	2.36
Fracture of ankle and foot	801.0	0.07	0.09	0.1	0.09	0.11
Congenital deformities of feet	755.1	0.05	0.05	0.05	0.06	0.07
Unspecified osteomyelitis	710.19	0.01	0.03	0.03	0.03	0.05
Acute reaction to stress	300.8	0.03	0.02	0.04	0.05	0.09
Malignant neoplasm of small intestine, including duodenum	159.2	0.06	0.04	0.05	0.07	0.07
Portal hypertension	571.81	0.1	0.12	0.15	0.19	0.34
Ingrowing nail	703.1	0.15	0.2	0.19	0.24	0.32
Irregular menstrual cycle	626.13	0.47	0.4	0.44	0.46	0.48
Localized superficial swelling, mass, or lump	687.2	0.05	0.07	0.05	0.06	0.07
Cellulitis and abscess of fingers/toes	681.1	0.13	0.15	0.17	0.16	0.25
Autism	313.3	0.01	0.01	0.01	0.03	0.04
Complication of colostomy or enterostomy	853.0	0.13	0.13	0.13	0.2	0.19
Arterial embolism and thrombosis of lower extremity artery	444.1	0.1	0.11	0.14	0.18	0.3
Other immunological findings	279.7	0.07	0.07	0.06	0.07	0.07
Intestinal malabsorption (non-celiac)	557.0	0.11	0.09	0.11	0.11	0.13
Polydipsia	276.8	0.02	0.03	0.02	0.03	0.07
Senile cataract	366.2	2.84	2.95	3.12	3.2	3.43
Congenital osteodystrophies	756.5	0.03	0.05	0.05	0.05	0.05
Open wounds of extremities	871.0	0.97	1.1	1.17	1.2	1.52
Superficial injury without mention of infection	915.0	0.99	1.09	1.24	1.38	1.97
Rhesus isoimmunization in pregnancy	654.2	0.09	0.07	0.08	0.06	0.07
Deficiency of humoral immunity	279.11	0.04	0.04	0.04	0.04	0.05
Streptococcus infection	41.2	0.44	0.46	0.46	0.52	0.64
Chromosomal anomalies	758.1	0.03	0.02	0.02	0.04	0.05
Small kidney	586.11	0.04	0.05	0.06	0.06	0.09
Thyrotoxicosis with or without goiter	242.0	0.35	0.39	0.45	0.47	0.57
