Phenotype	PheCode	Asian	Chinese	Black	Mixed	White	Other
Disorders of conjunctiva	372.0	0.47	0.19	1.2	0.39	0.23	0.61
Systemic lupus erythematosus	695.42	0.25	0.13	0.54	0.21	0.1	0.22
Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium	654.1	0.67	0.84	0.7	0.87	0.3	0.66
Liver replaced by transplant	573.2	0.03	0.13	0.05	0.0	0.03	0.1
Jaw disease NOS	526.9	0.12	0.0	0.08	0.11	0.07	0.08
Urinary tract infection	591.0	4.06	2.59	3.49	3.49	3.83	4.2
Hodgkin's disease	201.0	0.05	0.0	0.04	0.07	0.07	0.09
Fluid overload	276.6	0.36	0.06	0.33	0.14	0.2	0.27
Corneal edema	364.2	0.06	0.0	0.04	0.04	0.03	0.06
Frequency of urination and polyuria	599.5	1.24	0.66	1.39	1.01	1.1	1.31
Nystagmus and other irregular eye movements	378.2	0.06	0.06	0.11	0.0	0.07	0.06
Changes in skin texture	687.3	0.02	0.0	0.03	0.0	0.03	0.0
Paranoid disorders	295.2	0.07	0.13	0.13	0.27	0.07	0.26
Flat foot	735.1	0.01	0.06	0.13	0.04	0.05	0.05
Nontoxic multinodular goiter	241.2	0.3	0.2	0.51	0.22	0.2	0.29
Early or threatened labor; hemorrhage in early pregnancy	636.0	0.4	0.47	0.65	0.94	0.26	0.43
Nerve root and plexus disorders	353.0	0.31	0.0	0.49	0.32	0.33	0.24
Multiple sclerosis	335.0	0.06	0.0	0.18	0.46	0.38	0.23
Cardiac conduction disorders	426.0	0.07	0.0	0.01	0.0	0.05	0.05
Prostatitis	601.1	0.28	0.2	0.14	0.07	0.18	0.38
Balanoposthitis	601.4	0.05	0.13	0.03	0.11	0.08	0.05
Hydrocephalus	331.1	0.14	0.19	0.17	0.14	0.16	0.18
Other diseases of the teeth and supporting structures	525.0	0.73	0.39	1.59	1.03	0.76	0.83
Hemorrhage NOS	459.1	0.04	0.0	0.0	0.0	0.03	0.02
Secondary thrombocytopenia	287.32	0.02	0.0	0.0	0.07	0.03	0.02
Anorexia	260.6	0.23	0.06	0.19	0.38	0.26	0.31
Acute pericarditis	420.21	0.07	0.0	0.1	0.03	0.06	0.02
Sciatica	764.0	0.49	0.32	0.67	0.38	0.39	0.42
Hydronephrosis	595.0	0.55	0.45	0.4	0.56	0.62	0.87
Late effects of cerebrovascular disease	433.8	0.41	0.19	0.66	0.46	0.41	0.37
Ascites (non malignant)	572.0	0.46	0.26	0.55	0.42	0.5	0.64
Hemangioma and lymphangioma, any site	228.0	0.35	0.25	0.3	0.28	0.43	0.39
Myocardial infarction	411.2	6.3	1.31	1.9	2.64	3.64	3.53
Cancer of other male genital organs	187.0	0.03	0.0	0.03	0.03	0.04	0.06
Skull and face fracture and other intercranial injury	819.0	0.19	0.0	0.27	0.31	0.28	0.26
Hypertrophic obstructive cardiomyopathy	425.11	0.03	0.0	0.11	0.1	0.04	0.05
Other nondiabetic retinopathy	362.3	0.09	0.0	0.05	0.04	0.02	0.05
Symptoms involving head and neck	293.0	0.81	0.45	0.84	0.9	0.54	0.87
Cerebral degeneration, unspecified	331.9	0.12	0.13	0.16	0.14	0.15	0.11
Anomalies of endocrine glands, congenital	759.1	0.01	0.06	0.04	0.0	0.02	0.03
Venous/cerebrovascular complications embolism in pregnancy and the puerperium	671.0	0.07	0.13	0.09	0.1	0.05	0.03
Primary angle-closure glaucoma	365.2	0.2	0.26	0.13	0.07	0.23	0.27
Polycystic ovaries	256.4	0.14	0.19	0.17	0.24	0.06	0.19
Anemia of chronic disease	285.2	0.1	0.0	0.13	0.0	0.1	0.19
Delirium due to conditions classified elsewhere	290.2	0.24	0.13	0.25	0.14	0.33	0.29
Benign neoplasm of respiratory and intrathoracic organs	212.0	0.09	0.13	0.12	0.28	0.1	0.14
Acromegaly and gigantism	253.11	0.02	0.0	0.06	0.0	0.03	0.03
Myopathy	359.2	0.09	0.0	0.1	0.14	0.07	0.13
GERD	530.11	5.62	3.2	4.7	4.55	5.06	5.07
Rheumatoid arthritis and other inflammatory polyarthropathies	714.0	0.2	0.13	0.19	0.07	0.12	0.13
Other demyelinating diseases of central nervous system	341.0	0.04	0.0	0.09	0.11	0.07	0.05
Diseases of pancreas	577.0	0.11	0.06	0.2	0.24	0.18	0.17
Cancer of stomach	151.0	0.14	0.13	0.19	0.07	0.18	0.15
Open wound of toe(s)	871.4	0.0	0.0	0.01	0.0	0.02	0.02
Suppurative and unspecified otitis media	381.11	0.29	0.26	0.08	0.21	0.21	0.24
Autoimmune hemolytic anemias	283.1	0.05	0.0	0.0	0.04	0.04	0.03
Atrioventricular [AV] block	426.2	0.05	0.0	0.08	0.0	0.04	0.02
Pelvic inflammatory disease, NOS	614.33	0.04	0.0	0.26	0.14	0.08	0.11
Essential hypertension	401.1	29.24	15.08	29.24	18.58	22.28	24.22
Osteoarthrosis, localized, primary	740.11	1.46	0.97	1.59	1.64	2.48	1.88
Malaise and fatigue	798.0	1.09	0.38	1.05	1.21	0.86	1.0
Corneal ulcer	370.1	0.02	0.0	0.04	0.04	0.04	0.06
Diseases of lips	528.5	0.11	0.06	0.1	0.31	0.2	0.13
Stiffness of joint	741.2	0.05	0.0	0.0	0.03	0.03	0.02
Intervertebral disc disorder with myelopathy	722.7	0.05	0.0	0.23	0.07	0.12	0.11
Type 2 diabetes with renal manifestations	250.22	0.45	0.07	0.43	0.07	0.07	0.26
Macroglobulinemia	270.35	0.0	0.0	0.0	0.0	0.02	0.05
Other forms of chronic heart disease	414.0	0.84	0.13	0.37	0.55	0.71	0.51
Benign neoplasm of kidney and other urinary organs	223.0	0.03	0.07	0.09	0.12	0.06	0.07
Atherosclerosis of the extremities	440.2	0.08	0.0	0.06	0.1	0.14	0.06
Other disorders of tympanic membrane	384.0	0.1	0.0	0.04	0.1	0.1	0.13
Pneumonia	480.0	1.33	0.45	1.24	1.12	1.32	1.37
Allergies, other	949.0	0.18	0.06	0.23	0.24	0.12	0.22
Superficial cellulitis and abscess	681.0	0.13	0.0	0.06	0.11	0.15	0.1
Giant cell arteritis	446.5	0.11	0.06	0.08	0.0	0.13	0.11
Unspecified erythematous condition	695.9	0.18	0.13	0.05	0.07	0.15	0.13
Aspergillosis	117.4	0.03	0.0	0.04	0.0	0.05	0.05
Cutaneous lupus erythematosus	695.41	0.11	0.0	0.24	0.07	0.04	0.05
Left bundle branch block	426.32	0.79	0.07	0.33	0.36	0.65	0.42
Dysmenorrhea	626.2	0.56	0.41	0.92	0.57	0.4	0.61
Hidradenitis	705.3	0.03	0.0	0.11	0.04	0.05	0.05
Nonrheumatic mitral valve disorders	395.1	0.94	0.71	0.73	0.66	0.97	0.83
Hypoparathyroidism	252.2	0.06	0.0	0.04	0.03	0.05	0.08
Complications of transplants and reattached limbs	851.0	1.3	0.59	1.11	1.2	1.87	1.33
Chronic bronchitis	496.2	0.09	0.0	0.06	0.08	0.1	0.05
Postmenopausal atrophic vaginitis	627.3	0.26	0.21	0.21	0.31	0.34	0.2
Fracture of vertebral column without mention of spinal cord injury	805.0	0.06	0.0	0.05	0.0	0.1	0.08
Chronic hepatitis	70.4	0.06	0.2	0.19	0.1	0.08	0.16
Chronic lymphocytic thyroiditis	245.21	0.11	0.13	0.05	0.0	0.06	0.02
Open wound of lip and mouth	870.5	0.09	0.13	0.09	0.11	0.11	0.14
Other endocrine disorders	259.0	0.03	0.0	0.11	0.0	0.03	0.03
Dystrophy of female genital tract	624.1	0.05	0.0	0.0	0.04	0.08	0.05
Epistaxis or throat hemorrhage	477.0	0.58	0.4	0.53	0.65	0.73	0.67
Other specified erythematous conditions	695.8	0.02	0.06	0.04	0.07	0.05	0.09
Diverticulosis	562.1	4.5	0.86	4.83	6.29	9.67	6.44
Poisoning/allergy of sulfonamides	961.1	0.2	0.27	0.13	0.26	0.27	0.27
Effects radiation NOS	990.0	0.72	0.77	0.96	0.87	1.17	0.96
Spinal cord injury without evidence of spinal bone injury	952.0	0.01	0.0	0.04	0.03	0.03	0.02
Malignant neoplasm of unspecified male genital organ	187.1	0.03	0.13	0.0	0.0	0.02	0.0
Heart valve replaced	395.6	0.51	0.32	0.24	0.31	0.47	0.3
Contracture of tendon (sheath)	727.7	0.02	0.07	0.03	0.04	0.04	0.03
Nonspecific abnormal findings in stool contents	579.8	0.84	0.55	0.76	0.41	0.6	0.71
Occlusion of cerebral arteries	433.2	0.78	0.39	1.09	0.74	0.93	0.53
Herpes zoster	53.0	0.08	0.07	0.08	0.07	0.11	0.11
Other and unspecified disorders of the nervous system	349.0	0.12	0.13	0.16	0.11	0.12	0.15
Glaucoma	365.0	1.64	0.65	2.4	1.09	1.17	1.51
Pituitary hypofunction	253.2	0.11	0.06	0.15	0.07	0.08	0.16
Migraine	340.0	1.11	0.13	0.85	0.92	0.84	0.95
Abdominal hernia	550.0	0.73	0.27	1.23	1.24	1.17	0.98
Other specified disorders of breast	613.8	0.08	0.0	0.19	0.14	0.09	0.12
Hypermetropia	367.8	0.06	0.06	0.01	0.07	0.08	0.05
Cerebral cysts	348.4	0.05	0.0	0.03	0.04	0.04	0.02
Retinoschisis and retinal cysts	361.2	0.04	0.0	0.03	0.0	0.02	0.03
Symptoms involving respiratory system and other chest symptoms	519.9	0.09	0.0	0.17	0.25	0.08	0.08
Partial epilepsy	345.12	0.07	0.07	0.06	0.04	0.09	0.05
Agorophobia, social phobia, and panic disorder	300.12	0.28	0.13	0.32	0.39	0.28	0.32
Alkalosis	276.42	0.06	0.0	0.01	0.0	0.05	0.08
Noninflammatory disorders of vulva and perineum	619.5	0.35	0.33	0.45	0.71	0.36	0.4
Disorders of vitreous body	379.2	0.42	0.19	0.24	0.42	0.43	0.41
Diplopia and disorders of binocular vision	368.2	0.21	0.06	0.2	0.1	0.22	0.2
Lung disease due to external agents	500.0	0.03	0.0	0.04	0.04	0.03	0.06
Spinocerebellar disease	334.1	0.04	0.0	0.05	0.04	0.04	0.02
Aplastic anemia	284.0	0.13	0.0	0.14	0.18	0.15	0.15
Alcohol-related disorders	317.0	0.89	0.39	0.94	2.15	1.72	1.39
Abnormality of gait	350.2	0.62	0.13	0.66	0.83	0.64	0.66
Chorioretinal scars	363.3	0.02	0.0	0.09	0.04	0.02	0.03
Somatoform disorder	303.4	0.02	0.07	0.05	0.0	0.04	0.05
Other mental disorder	306.0	5.34	2.65	4.53	8.72	9.61	8.4
Swelling of limb	771.1	0.29	0.06	0.24	0.24	0.23	0.14
Acute pancreatitis	577.1	0.33	0.13	0.24	0.1	0.36	0.3
Femoral hernia	550.3	0.03	0.13	0.1	0.19	0.21	0.11
Secondary malignant neoplasm of liver	198.4	0.37	0.47	0.66	0.75	0.97	0.9
Other hypertrophic and atrophic conditions of skin	701.0	0.44	0.32	0.37	0.31	0.46	0.38
Symptomatic menopause	627.2	0.04	0.0	0.04	0.15	0.05	0.03
Cancer of bronchus; lung	165.1	0.31	0.25	0.42	0.86	0.76	0.58
Open wound of nose and sinus	870.4	0.07	0.0	0.01	0.11	0.08	0.03
Other inflammatory spondylopathies	715.0	0.09	0.06	0.16	0.17	0.11	0.09
Lack of coordination	350.3	0.08	0.0	0.08	0.03	0.11	0.14
Iatrogenic hypotension	458.2	0.11	0.07	0.05	0.0	0.08	0.03
Disturbances in tooth eruption	520.2	0.6	0.45	0.51	0.71	0.52	0.5
Separation of retinal layers	362.31	0.08	0.0	0.0	0.07	0.03	0.05
Facial nerve disorders [CN7]	352.2	0.42	0.33	0.21	0.32	0.26	0.32
Other disorders of synovium, tendon, and bursa	727.0	0.25	0.0	0.28	0.33	0.27	0.3
Abnormal granulation tissue	701.5	0.11	0.13	0.15	0.24	0.13	0.11
Cataract	366.0	11.23	5.52	7.75	4.44	5.28	6.8
Folate-deficiency anemia	281.13	0.08	0.0	0.06	0.07	0.06	0.1
Urinary incontinence	599.4	2.07	1.38	1.91	2.38	2.51	2.04
Hypoglycemia	251.1	0.7	0.14	0.76	0.41	0.33	0.44
Chronic pancreatitis	577.2	0.15	0.06	0.16	0.03	0.15	0.11
Malignant neoplasm of ovary	184.11	0.18	0.2	0.21	0.4	0.28	0.27
Torsion dystonia	333.4	0.04	0.13	0.06	0.14	0.08	0.13
Phlebitis and thrombophlebitis	451.0	0.15	0.0	0.19	0.08	0.11	0.12
Dementia with cerebral degenerations	290.12	0.0	0.0	0.03	0.0	0.02	0.02
Benign neoplasm of colon	208.0	4.64	4.93	4.23	5.44	6.24	5.29
Hypertrophy of breast (Gynecomastia)	612.2	0.2	0.13	0.41	0.25	0.21	0.06
Testicular hypofunction	257.1	0.06	0.06	0.06	0.03	0.05	0.08
Other disorders of circulatory system	459.0	0.04	0.0	0.04	0.0	0.04	0.07
Other disorders of metabolism	277.0	0.37	0.25	0.47	0.28	0.29	0.47
Extrinsic allergic alveolitis	500.1	0.02	0.0	0.01	0.0	0.03	0.05
Atopic/contact dermatitis due to other or unspecified	939.0	0.74	0.96	0.59	0.73	0.67	0.66
Osteochondropathies	732.0	0.05	0.06	0.06	0.14	0.06	0.03
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.24	0.19	0.22	0.14	0.18	0.26
Retinal detachments and defects	361.0	0.39	0.39	0.39	0.56	0.59	0.51
Inflammatory disease of breast	613.1	0.24	0.06	0.18	0.35	0.18	0.22
Dermatitis due to solar radiation	938.0	0.02	0.0	0.0	0.03	0.03	0.03
Articular cartilage disorder	742.8	0.0	0.0	0.04	0.0	0.03	0.03
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.31	0.19	0.21	0.24	0.05	0.22
Anomalous atrioventricular excitation	426.4	0.01	0.0	0.12	0.0	0.07	0.07
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.17	0.13	0.35	0.35	0.2	0.22
Other perinatal conditions of fetus or newborn	656.0	0.24	0.51	0.44	0.48	0.13	0.19
Other conditions of brain, NOS	348.9	0.05	0.26	0.14	0.11	0.13	0.16
Cardiac pacemaker in situ	426.91	0.85	0.13	0.49	0.69	0.81	0.73
Other infectious and parasitic diseases	136.0	0.07	0.0	0.06	0.1	0.07	0.09
Diabetes insipidus	253.3	0.06	0.0	0.04	0.0	0.03	0.08
Traumatic and surgical subcutaneous emphysema	958.2	0.0	0.0	0.01	0.03	0.02	0.0
Congenital anomalies of peripheral vascular system	747.2	0.03	0.0	0.01	0.03	0.05	0.03
Hallucinations	292.6	0.03	0.0	0.1	0.14	0.11	0.18
Cancer of larynx	149.4	0.04	0.0	0.0	0.07	0.07	0.02
Renal failure NOS	585.2	0.63	0.13	0.73	0.43	0.41	0.47
Adverse reaction to serum or vaccine	941.0	0.03	0.0	0.01	0.07	0.06	0.11
Pseudomonal pneumonia	480.12	0.02	0.0	0.03	0.0	0.03	0.03
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	0.77	1.03	1.68	1.44	0.68	0.95
Mucous polyp of cervix	622.2	0.74	1.37	0.72	0.92	0.83	0.82
Noninflammatory female genital disorders	619.0	0.03	0.07	0.15	0.07	0.05	0.05
Obstruction of bile duct	575.2	0.3	0.07	0.17	0.14	0.26	0.24
Bone marrow or stem cell transplant	860.0	0.01	0.0	0.0	0.03	0.03	0.02
Cardiomegaly	416.0	0.93	0.38	1.45	0.62	0.88	1.04
Corneal degenerations	364.4	0.04	0.0	0.1	0.0	0.04	0.06
Precordial pain	418.1	2.3	0.4	1.54	1.15	1.21	1.3
Atherosclerosis of renal artery	440.1	0.07	0.0	0.03	0.0	0.02	0.03
Secondary malignant neoplasm of skin	198.7	0.04	0.07	0.03	0.0	0.07	0.02
Absent or infrequent menstruation	626.11	0.07	0.0	0.17	0.04	0.03	0.03
Obstetrical/birth trauma	665.0	1.64	2.71	2.11	3.07	1.35	1.61
Diseases of spleen	289.5	0.08	0.06	0.12	0.25	0.16	0.11
Malposition and malpresentation of fetus or obstruction	652.0	0.64	0.71	0.91	0.84	0.44	0.6
Pyogenic granuloma	686.4	0.18	0.06	0.17	0.04	0.1	0.13
Other and unspecified congenital anomalies	759.0	0.06	0.06	0.01	0.03	0.03	0.03
Myoclonus	333.2	0.0	0.07	0.0	0.04	0.03	0.02
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.06	0.13	0.09	0.0	0.03	0.05
Viral hepatitis B	70.2	0.16	1.8	0.42	0.0	0.04	0.34
Other nonspecific findings on examination of urine	598.9	0.09	0.0	0.06	0.1	0.09	0.13
Other local infections of skin and subcutaneous tissue	686.0	0.37	0.06	0.26	0.42	0.42	0.42
Hypoventilation	513.3	0.12	0.0	0.04	0.0	0.03	0.08
Other abnormality of urination	599.9	0.58	0.2	0.34	0.33	0.52	0.46
Hypertensive chronic kidney disease	401.22	1.46	0.15	1.15	0.38	0.5	0.84
Esophageal bleeding (varices/hemorrhage)	530.2	0.61	0.34	0.53	0.49	0.58	0.62
Pulmonary congestion and hypostasis	503.0	0.49	0.06	0.08	0.18	0.15	0.34
Benign neoplasm of unspecified sites	229.0	0.42	0.19	0.37	0.52	0.61	0.51
Opiates and related narcotics causing adverse effects in therapeutic use	965.1	0.24	0.2	0.29	0.45	0.43	0.42
Anaphylactic shock NOS	946.0	0.21	0.13	0.38	0.28	0.15	0.24
Hyposmolality and/or hyponatremia	276.12	1.27	0.39	0.48	0.35	0.7	0.64
Hereditary retinal dystrophies	362.7	0.03	0.0	0.07	0.04	0.02	0.03
Diverticulum of esophagus, acquired	530.6	0.09	0.14	0.04	0.0	0.06	0.05
Inflammatory conditions of jaw	526.5	0.03	0.0	0.07	0.04	0.03	0.06
Congenital hip dysplasia and deformity	755.61	0.01	0.0	0.01	0.03	0.03	0.02
Anomalies of pupillary function	379.4	0.01	0.0	0.0	0.04	0.03	0.03
Atherosclerosis	440.0	0.04	0.06	0.01	0.0	0.05	0.05
Poisoning by hormones and synthetic substitutes	962.0	0.01	0.0	0.07	0.04	0.05	0.07
Disorders of phosphorus metabolism	275.53	0.05	0.06	0.11	0.1	0.08	0.02
Type 1 diabetes with ophthalmic manifestations	250.13	0.24	0.0	0.33	0.11	0.15	0.17
Tinnitus	389.4	0.22	0.06	0.11	0.07	0.17	0.28
Abnormal results of function study of liver	573.7	1.18	0.84	1.06	0.66	1.12	1.15
Sleep apnea	327.3	1.79	0.89	1.89	1.79	1.34	1.84
Kidney replaced by transpant	587.0	0.22	0.0	0.24	0.0	0.11	0.31
Back pain	760.0	2.57	0.7	2.74	1.75	1.75	2.29
Toxic gastroenteritis and colitis	569.1	0.08	0.07	0.04	0.07	0.07	0.07
Heart failure NOS	428.2	2.1	0.19	1.27	0.83	1.41	1.18
Cerebral atherosclerosis	433.12	0.06	0.0	0.04	0.07	0.08	0.02
Irregular menstrual bleeding	626.14	0.93	0.82	0.99	1.67	0.96	1.33
Cystic kidney disease	751.21	0.06	0.0	0.1	0.07	0.12	0.2
Rash and other nonspecific skin eruption	687.1	0.68	0.45	0.32	0.77	0.66	0.79
Other symptoms involving abdomen and pelvis	579.0	0.4	0.34	0.4	0.37	0.34	0.22
Acquired spondylolisthesis	738.4	0.08	0.0	0.1	0.04	0.08	0.06
Diseases of hair and hair follicles	704.0	1.33	0.38	1.2	1.31	1.33	1.38
Personality disorders	301.0	0.06	0.0	0.07	0.27	0.08	0.21
Encephalopathy, not elsewhere classified	348.8	0.04	0.0	0.09	0.11	0.04	0.11
Non-proliferative glomerulonephritis	580.12	0.11	0.06	0.08	0.04	0.04	0.11
Fetal distress and abnormal forces of labor	661.0	0.7	0.66	0.77	1.14	0.56	0.97
Traumatic amputation	872.0	0.15	0.0	0.08	0.04	0.12	0.08
Toxic erythema	695.1	0.01	0.19	0.03	0.03	0.03	0.02
Inflammation of the eye	371.0	0.09	0.0	0.08	0.0	0.03	0.11
Paralytic strabismus	378.5	0.07	0.0	0.11	0.04	0.08	0.1
Chronic periodontitis	523.32	0.5	0.45	0.65	0.5	0.31	0.31
Alteration of consciousness	291.8	0.26	0.13	0.28	0.21	0.15	0.27
Spondylosis without myelopathy	721.1	0.33	0.06	0.19	0.32	0.3	0.25
Aneurysm of artery of lower extremity	442.3	0.05	0.06	0.03	0.03	0.05	0.08
Preeclampsia and eclampsia	642.1	0.21	0.06	0.35	0.17	0.08	0.08
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.29	0.19	0.25	0.31	0.35	0.28
Bronchitis	497.0	0.07	0.0	0.14	0.27	0.21	0.16
Sepsis	994.2	0.96	0.19	1.0	0.89	1.02	1.04
Kyphoscoliosis and scoliosis	737.3	0.11	0.06	0.13	0.14	0.15	0.14
Adverse drug events and drug allergies	979.0	0.09	0.07	0.08	0.15	0.13	0.22
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.01	0.0	0.03	0.0	0.03	0.03
Hyperlipidemia	272.1	3.35	0.82	1.65	0.97	1.68	2.11
Malignant neoplasm of other urinary organs	189.4	0.01	0.13	0.01	0.03	0.04	0.02
Symptoms involving digestive system	561.0	4.66	3.67	3.98	4.37	5.13	4.4
Cervical cancer	180.1	0.05	0.14	0.04	0.11	0.07	0.05
Infection of the eye	369.0	0.18	0.19	0.14	0.14	0.07	0.1
Dysuria	599.3	0.73	0.2	0.48	0.33	0.34	0.63
Other disorders of the kidney and ureters	586.0	0.36	0.06	0.31	0.39	0.35	0.41
Other specified congenital anomalies of nervous system	752.2	0.01	0.0	0.0	0.0	0.02	0.03
Psychogenic disorder	303.3	0.09	0.13	0.11	0.2	0.11	0.11
Gram negative septicemia	38.1	0.4	0.13	0.22	0.18	0.29	0.21
Viral Enteritis	8.6	0.38	0.06	0.28	0.31	0.26	0.3
Ulceration of intestine	556.1	0.44	0.29	0.25	0.13	0.27	0.23
Other heart block	426.25	0.01	0.0	0.01	0.04	0.04	0.0
Generalized anxiety disorder	300.11	0.01	0.0	0.03	0.04	0.05	0.04
Hyperosmolality and/or hypernatremia	276.11	0.14	0.0	0.17	0.14	0.1	0.19
Other specified cardiac dysrhythmias	427.3	1.22	0.66	0.77	0.87	1.09	0.78
Sleep disorders	327.0	0.37	0.06	0.23	0.14	0.27	0.32
Voice disturbance	473.4	0.32	0.2	0.29	0.22	0.29	0.23
Prolapse of vaginal vault after hysterectomy	618.5	0.06	0.0	0.04	0.07	0.14	0.05
Noninfectious disorders of lymphatic channels	450.0	0.16	0.19	0.22	0.21	0.24	0.26
Hyperplasia of prostate	600.0	3.49	1.61	2.69	1.64	3.39	3.37
Bipolar	296.1	0.22	0.07	0.56	0.86	0.35	0.63
Sialolithiasis	528.7	0.04	0.06	0.11	0.0	0.08	0.09
Meningitis	320.0	0.09	0.06	0.16	0.1	0.11	0.11
Mild cognitive impairment	292.2	0.07	0.0	0.08	0.11	0.08	0.1
Nausea and vomiting	789.0	3.97	2.36	3.7	3.54	3.43	3.91
Acute bronchitis and bronchiolitis	483.0	0.09	0.0	0.01	0.18	0.07	0.1
Acute (transverse) myelitis	323.2	0.01	0.0	0.03	0.07	0.02	0.0
Urinary complications NEC	597.2	0.02	0.0	0.0	0.0	0.02	0.03
Staphylococcus infections	41.1	0.86	0.52	0.95	0.75	0.95	1.03
Congenital anomalies of urinary system	751.2	0.0	0.0	0.01	0.0	0.02	0.03
Jaundice (not of newborn)	573.5	0.19	0.07	0.19	0.21	0.27	0.29
Contusion	916.0	0.32	0.13	0.19	0.34	0.42	0.39
Cystic mastopathy	610.1	0.11	0.52	0.14	0.18	0.21	0.16
Tension headache	306.9	0.2	0.07	0.18	0.24	0.1	0.18
Calculus of lower urinary tract	594.2	0.2	0.06	0.15	0.25	0.23	0.24
Malignant neoplasm of testis	187.2	0.04	0.0	0.01	0.1	0.07	0.06
Abnormal involuntary movements	350.1	0.23	0.06	0.21	0.55	0.29	0.38
Myeloid leukemia, chronic	204.22	0.05	0.0	0.03	0.0	0.04	0.02
Nerve plexus lesions	353.1	0.01	0.0	0.01	0.07	0.03	0.07
Acute prostatitis	601.11	0.12	0.13	0.07	0.04	0.07	0.03
Acquired hypothyroidism	244.2	0.03	0.07	0.04	0.07	0.04	0.05
Known or suspected fetal abnormality affecting management of mother	655.0	1.75	1.98	2.78	2.75	1.12	1.76
Nasal polyps	471.0	0.75	0.2	0.21	0.83	0.88	0.61
Cancer, suspected or other	195.0	0.13	0.41	0.19	0.23	0.27	0.34
Mitral valve disease	394.2	1.01	0.71	0.76	0.73	1.0	0.94
Cardiogenic shock	797.1	0.07	0.06	0.0	0.03	0.03	0.02
Secondary hypothyroidism	244.1	0.41	0.79	0.46	0.25	0.37	0.49
Multiple myeloma	204.4	0.1	0.06	0.36	0.14	0.18	0.16
Keloid scar	701.4	0.22	0.19	0.42	0.21	0.06	0.16
Purpura and other hemorrhagic conditions	287.0	0.03	0.0	0.08	0.0	0.03	0.05
Psychosis	295.3	0.09	0.2	0.2	0.16	0.06	0.12
Peptic ulcer, site unspecified	531.4	0.1	0.06	0.11	0.14	0.12	0.13
Anal and rectal conditions	565.0	3.75	1.63	2.63	3.07	2.36	2.67
Ganglion and cyst of synovium, tendon, and bursa	727.4	0.63	0.98	1.21	0.9	0.81	0.89
Contracture of joint	739.0	0.02	0.0	0.01	0.0	0.02	0.02
Vascular insufficiency of intestine	441.0	0.04	0.06	0.03	0.07	0.1	0.06
Intracranial hemorrhage	430.0	0.0	0.0	0.04	0.04	0.04	0.03
Respiratory insufficiency	509.2	0.63	0.06	0.45	0.53	0.55	0.67
Umbilical cord complications during labor and delivery	663.0	0.32	0.2	0.41	0.22	0.15	0.24
Primary thrombocytopenia	287.31	0.26	0.13	0.15	0.03	0.12	0.14
Chronic fatigue syndrome	798.1	0.06	0.0	0.11	0.31	0.18	0.25
Ovarian cyst	628.0	0.93	1.63	1.86	2.0	1.27	1.58
Hyperaldosteronism	255.12	0.0	0.13	0.1	0.1	0.02	0.05
Corneal opacity and other disorders of cornea	364.0	0.05	0.0	0.12	0.14	0.07	0.1
Nonspecific chest pain	418.0	13.59	4.98	11.0	8.26	7.93	11.06
Aneurysm of other specified artery	442.8	0.1	0.0	0.06	0.07	0.07	0.08
Prurigo and Lichen	695.7	0.37	0.19	0.14	0.17	0.22	0.19
Myeloproliferative disease	200.0	0.21	0.0	0.44	0.14	0.21	0.2
Cellulitis and abscess of leg, except foot	681.5	1.3	0.51	1.03	1.22	1.67	1.24
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.09	0.0	0.03	0.07	0.06	0.03
Other abnormal glucose	250.42	0.43	0.2	0.44	0.15	0.13	0.19
Abnormal findings on examination of urine	598.0	1.47	0.96	1.2	0.83	0.89	1.0
Retinal hemorrhage/ischemia	362.8	0.0	0.0	0.0	0.04	0.03	0.05
Otorrhea	381.9	0.09	0.06	0.03	0.03	0.07	0.06
Temporomandibular joint disorder, unspecified	526.41	0.07	0.0	0.09	0.07	0.07	0.05
Arteritis NOS	446.9	0.11	0.0	0.04	0.1	0.08	0.13
Cardiac congenital anomalies	747.1	0.05	0.0	0.05	0.07	0.06	0.06
Stricture/obstruction of ureter	586.4	0.24	0.06	0.25	0.11	0.28	0.24
Suicide or self-inflicted injury	297.2	0.21	0.07	0.31	0.59	0.39	0.52
Valvular heart disease/ heart chambers	747.12	0.09	0.0	0.0	0.0	0.08	0.03
Secondary malignant neoplasm	198.0	0.18	0.27	0.22	0.34	0.41	0.27
Osteoarthrosis, generalized	740.2	0.07	0.2	0.12	0.11	0.16	0.11
Congestive heart failure (CHF) NOS	428.1	1.21	0.06	0.7	0.62	0.72	0.69
Open wounds of head; neck; and trunk	870.0	0.03	0.0	0.03	0.04	0.05	0.02
Chronic pulmonary heart disease	415.2	0.03	0.06	0.03	0.0	0.06	0.06
Secondary malignant neoplasm of digestive systems	198.3	0.32	0.27	0.39	0.56	0.57	0.46
