Phenotype	PheCode	Female	Male
Anomalies of pupillary function	379.4	0.03	0.02
Atherosclerosis	440.0	0.03	0.08
Poisoning by hormones and synthetic substitutes	962.0	0.05	0.04
Disorders of phosphorus metabolism	275.53	0.06	0.1
Type 1 diabetes with ophthalmic manifestations	250.13	0.12	0.19
Tinnitus	389.4	0.16	0.18
Abnormal results of function study of liver	573.7	1.04	1.2
Sleep apnea	327.3	0.73	2.12
Kidney replaced by transpant	587.0	0.08	0.16
Back pain	760.0	1.94	1.6
Toxic gastroenteritis and colitis	569.1	0.07	0.07
Heart failure NOS	428.2	0.79	2.15
Cerebral atherosclerosis	433.12	0.06	0.11
Irregular menstrual bleeding	626.14	1.89	0.0
Cystic kidney disease	751.21	0.1	0.14
Rash and other nonspecific skin eruption	687.1	0.65	0.67
Other symptoms involving abdomen and pelvis	579.0	0.45	0.2
Acquired spondylolisthesis	738.4	0.1	0.06
Diseases of hair and hair follicles	704.0	1.23	1.45
Personality disorders	301.0	0.08	0.09
Encephalopathy, not elsewhere classified	348.8	0.03	0.06
Non-proliferative glomerulonephritis	580.12	0.03	0.05
Fetal distress and abnormal forces of labor	661.0	1.08	0.0
Traumatic amputation	872.0	0.04	0.22
Toxic erythema	695.1	0.03	0.02
Inflammation of the eye	371.0	0.02	0.03
Paralytic strabismus	378.5	0.08	0.09
Chronic periodontitis	523.32	0.37	0.26
Alteration of consciousness	291.8	0.13	0.18
Spondylosis without myelopathy	721.1	0.33	0.25
Aneurysm of artery of lower extremity	442.3	0.02	0.08
Preeclampsia and eclampsia	642.1	0.16	0.0
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.32	0.38
Bronchitis	497.0	0.21	0.2
Sepsis	994.2	0.89	1.16
Kyphoscoliosis and scoliosis	737.3	0.2	0.08
Adverse drug events and drug allergies	979.0	0.14	0.12
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.05	0.0
Hyperlipidemia	272.1	1.13	2.44
Malignant neoplasm of other urinary organs	189.4	0.02	0.06
Symptoms involving digestive system	561.0	6.07	3.89
Cervical cancer	180.1	0.14	0.0
Infection of the eye	369.0	0.08	0.08
Dysuria	599.3	0.31	0.41
Other disorders of the kidney and ureters	586.0	0.27	0.44
Other specified congenital anomalies of nervous system	752.2	0.02	0.02
Psychogenic disorder	303.3	0.12	0.09
Gram negative septicemia	38.1	0.23	0.37
Viral Enteritis	8.6	0.27	0.25
Ulceration of intestine	556.1	0.27	0.28
Other heart block	426.25	0.02	0.06
Generalized anxiety disorder	300.11	0.05	0.05
Hyperosmolality and/or hypernatremia	276.11	0.07	0.14
Other specified cardiac dysrhythmias	427.3	0.71	1.55
Sleep disorders	327.0	0.15	0.41
Voice disturbance	473.4	0.3	0.29
Prolapse of vaginal vault after hysterectomy	618.5	0.25	0.0
Noninfectious disorders of lymphatic channels	450.0	0.28	0.19
Hyperplasia of prostate	600.0	0.0	7.55
Bipolar	296.1	0.38	0.32
Sialolithiasis	528.7	0.07	0.08
Meningitis	320.0	0.11	0.1
Mild cognitive impairment	292.2	0.06	0.09
Nausea and vomiting	789.0	4.05	2.73
Acute bronchitis and bronchiolitis	483.0	0.07	0.06
Acute (transverse) myelitis	323.2	0.03	0.01
Urinary complications NEC	597.2	0.02	0.03
Staphylococcus infections	41.1	0.74	1.2
Congenital anomalies of urinary system	751.2	0.02	0.03
Jaundice (not of newborn)	573.5	0.2	0.35
Contusion	916.0	0.37	0.48
Cystic mastopathy	610.1	0.38	0.0
Tension headache	306.9	0.13	0.08
Calculus of lower urinary tract	594.2	0.07	0.42
Malignant neoplasm of testis	187.2	0.0	0.15
Abnormal involuntary movements	350.1	0.27	0.31
Myeloid leukemia, chronic	204.22	0.04	0.05
Nerve plexus lesions	353.1	0.04	0.03
Acute prostatitis	601.11	0.0	0.17
Acquired hypothyroidism	244.2	0.05	0.02
Known or suspected fetal abnormality affecting management of mother	655.0	2.16	0.0
Nasal polyps	471.0	0.52	1.26
Cancer, suspected or other	195.0	0.27	0.25
Mitral valve disease	394.2	0.81	1.22
Cardiogenic shock	797.1	0.02	0.05
Secondary hypothyroidism	244.1	0.57	0.14
Multiple myeloma	204.4	0.14	0.22
Keloid scar	701.4	0.09	0.05
Purpura and other hemorrhagic conditions	287.0	0.03	0.03
Psychosis	295.3	0.06	0.07
Peptic ulcer, site unspecified	531.4	0.09	0.16
Anal and rectal conditions	565.0	2.09	2.76
Ganglion and cyst of synovium, tendon, and bursa	727.4	1.01	0.58
Contracture of joint	739.0	0.02	0.03
Vascular insufficiency of intestine	441.0	0.11	0.09
Intracranial hemorrhage	430.0	0.03	0.05
Respiratory insufficiency	509.2	0.42	0.71
Umbilical cord complications during labor and delivery	663.0	0.3	0.0
Primary thrombocytopenia	287.31	0.12	0.12
Chronic fatigue syndrome	798.1	0.24	0.09
Ovarian cyst	628.0	2.5	0.0
Hyperaldosteronism	255.12	0.02	0.03
Corneal opacity and other disorders of cornea	364.0	0.08	0.07
Nonspecific chest pain	418.0	7.56	8.8
Aneurysm of other specified artery	442.8	0.06	0.07
Prurigo and Lichen	695.7	0.27	0.17
Myeloproliferative disease	200.0	0.19	0.24
Cellulitis and abscess of leg, except foot	681.5	1.19	2.18
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.06	0.05
Other abnormal glucose	250.42	0.11	0.17
Abnormal findings on examination of urine	598.0	0.56	1.32
Retinal hemorrhage/ischemia	362.8	0.03	0.04
Otorrhea	381.9	0.06	0.08
Temporomandibular joint disorder, unspecified	526.41	0.1	0.02
Arteritis NOS	446.9	0.08	0.08
Cardiac congenital anomalies	747.1	0.07	0.05
Stricture/obstruction of ureter	586.4	0.22	0.35
Suicide or self-inflicted injury	297.2	0.37	0.41
Valvular heart disease/ heart chambers	747.12	0.05	0.1
Secondary malignant neoplasm	198.0	0.41	0.37
Osteoarthrosis, generalized	740.2	0.2	0.11
Congestive heart failure (CHF) NOS	428.1	0.44	1.08
Open wounds of head; neck; and trunk	870.0	0.03	0.08
Chronic pulmonary heart disease	415.2	0.05	0.07
Secondary malignant neoplasm of digestive systems	198.3	0.65	0.45
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.49	0.66
Fasciitis	728.7	0.09	0.06
Cellulitis and abscess of trunk	681.7	0.19	0.17
Heartburn	530.9	0.8	0.49
Type 2 diabetes	250.2	4.35	7.87
Parkinson's disease	332.0	0.28	0.54
Injuries to the nervous system	907.0	0.28	0.46
Cerebral edema and compression of brain	348.2	0.09	0.08
Neoplasm of uncertain behavior of male genital organs	187.8	0.0	0.06
Stomatitis and mucositis (ulcerative)	528.11	0.13	0.12
Disorders of iris and ciliary body	379.5	0.1	0.13
Pain, swelling or discharge of eye	379.9	0.06	0.05
Pneumococcal pneumonia	480.11	1.64	2.46
Premenopausal menorrhagia	627.4	0.16	0.0
Pruritus and related conditions	698.0	0.25	0.2
Anisometropia	368.3	0.05	0.05
Appendicitis	540.1	0.15	0.15
Other non-epithelial cancer of skin	172.2	2.77	3.7
Iatrogenic endocrine disorders	258.0	0.03	0.04
Oliguria and anuria	599.6	0.03	0.05
Dermatophytosis of nail	110.11	0.02	0.03
Cough	512.8	0.94	0.93
Arrhythmia (cardiac) NOS	427.5	0.26	0.37
Other disorders of peritoneum	568.0	0.08	0.07
Allergy/adverse effect of penicillin	960.2	5.96	3.66
Scar conditions and fibrosis of skin	701.2	0.76	0.47
Shortness of breath	512.7	1.83	1.93
Other disorders of liver	573.0	0.51	0.53
Type 2 diabetes with ophthalmic manifestations	250.23	0.32	0.68
Cancer of mouth	145.0	0.03	0.06
Neutropenia	288.11	1.09	0.87
Flatulence	561.2	0.78	0.54
Glycosuria or Acetonuria	250.5	0.05	0.02
Conjunctivitis, infectious	369.5	0.07	0.08
Sensorineural hearing loss	389.1	0.14	0.17
Premature beats	427.6	0.18	0.29
Cellulitis and abscess of foot, toe	681.6	1.19	2.18
Dislocation	830.0	0.42	0.69
Tachycardia NOS	427.7	0.73	0.83
Other complications of pregnancy NEC	646.0	1.17	0.0
Symptoms of the muscles	772.0	0.05	0.07
Benign neoplasm of other female genital organs	221.0	0.12	0.0
Renal dialysis	585.31	0.11	0.24
Other and unspecified coagulation defects	286.7	0.11	0.12
Cervicalgia	761.0	0.34	0.24
Noninflammatory disorders of cervix	619.3	1.32	0.0
Other signs and symptoms in breast	613.7	0.23	0.0
Nonrheumatic tricuspid valve disorders	395.3	0.03	0.05
Osteoarthrosis NOS	740.9	2.07	1.38
Fracture of ankle and foot	801.0	0.08	0.11
Congenital deformities of feet	755.1	0.07	0.04
Unspecified osteomyelitis	710.19	0.02	0.05
Acute reaction to stress	300.8	0.04	0.04
Malignant neoplasm of small intestine, including duodenum	159.2	0.05	0.07
Portal hypertension	571.81	0.11	0.27
Ingrowing nail	703.1	0.19	0.26
Irregular menstrual cycle	626.13	0.89	0.0
Localized superficial swelling, mass, or lump	687.2	0.06	0.05
Cellulitis and abscess of fingers/toes	681.1	0.14	0.21
Autism	313.3	0.01	0.03
Complication of colostomy or enterostomy	853.0	0.14	0.18
Arterial embolism and thrombosis of lower extremity artery	444.1	0.07	0.27
Other immunological findings	279.7	0.03	0.12
Intestinal malabsorption (non-celiac)	557.0	0.13	0.08
Polydipsia	276.8	0.04	0.03
Senile cataract	366.2	3.27	2.92
Congenital osteodystrophies	756.5	0.04	0.04
Open wounds of extremities	871.0	0.79	1.68
Superficial injury without mention of infection	915.0	1.12	1.58
Rhesus isoimmunization in pregnancy	654.2	0.14	0.0
Deficiency of humoral immunity	279.11	0.04	0.04
Streptococcus infection	41.2	0.41	0.61
Chromosomal anomalies	758.1	0.03	0.03
Small kidney	586.11	0.05	0.08
Thyrotoxicosis with or without goiter	242.0	0.63	0.23
Rheumatoid arthritis	714.1	1.04	0.52
Second degree AV block	426.23	0.09	0.25
Vaginal enterocele, congenital or acquired	618.6	0.34	0.0
Gastric ulcer	531.2	1.14	1.31
Perforation of tympanic membrane	384.4	0.26	0.27
Disturbance of skin sensation	687.4	0.86	0.79
Disorders of the orbit	376.0	0.02	0.02
Cyst of kidney, acquired	586.2	0.31	0.6
Chronic venous insufficiency [CVI]	456.0	0.06	0.1
Acute gastritis	535.1	0.35	0.4
Asthma	495.0	8.42	6.59
Dementias	290.1	0.27	0.39
Abnormal results of function study of kidney	589.0	0.03	0.05
Urinary obstruction	599.1	0.02	0.08
Benign neoplasm of thyroid glands	226.0	0.11	0.03
Hemoptysis	516.1	0.46	0.76
Osteoarthrosis, localized, secondary	740.12	0.08	0.08
Acquired acanthosis nigricans	701.6	0.03	0.03
Otalgia	382.0	0.09	0.07
Other hereditary hemolytic anemias	282.9	0.03	0.03
Poisoning by other anti-infectives	961.0	0.2	0.08
Other disorders of soft tissues	729.0	0.36	0.31
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.01	0.05
Vitamin D deficiency	261.4	0.35	0.19
Edema	782.3	0.52	0.67
Other disorders of prostate	602.0	0.0	0.91
Open wound or laceration of eye or eyelid	870.1	0.09	0.23
Laxity of ligament or hypermobility syndrome	728.2	0.05	0.02
Paraproteinemia	270.32	0.06	0.09
Complication due to other implant and internal device	859.0	1.02	0.86
Palpitations	427.9	1.4	0.96
Neoplasm of uncertain behavior of breast	174.3	0.06	0.0
Non-Hodgkins lymphoma	202.2	0.35	0.51
Elevated sedimentation rate	790.1	0.03	0.02
Congenital anomalies of skin	691.0	0.02	0.02
Leukemia	204.0	0.1	0.17
Disease of tricuspid valve	394.7	0.33	0.51
Trigeminal nerve disorders [CN5]	352.1	0.18	0.09
Allergic reaction to food	930.0	0.07	0.04
Primary/intrinsic cardiomyopathies	425.1	0.21	0.45
Postinflammatory pulmonary fibrosis	502.0	0.23	0.41
Cysts of the jaws	526.1	0.07	0.11
Thrombocytopenia	287.3	0.33	0.48
Open wound of ear	870.2	0.03	0.07
Keratoconus	364.41	0.02	0.04
Hypopotassemia	276.14	0.59	0.51
Diseases of esophagus	530.0	0.17	0.23
Bacterial enteritis	8.5	0.6	0.59
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.03	0.03
Other complications of the puerperium NEC	674.0	0.13	0.0
Cardiac arrest	427.42	0.19	0.55
Ankylosing spondylitis	715.2	0.07	0.17
HIV infection, symptomatic	71.1	0.01	0.08
Eustachian tube disorders	381.2	0.06	0.04
Aphasia/speech disturbance	292.1	0.41	0.57
Wegener's granulomatosis	446.4	0.04	0.06
Immunity deficiency	279.1	0.03	0.03
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.05	0.09
Peripheral enthesopathies and allied syndromes	726.0	2.43	2.56
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.02	0.07
Pituitary hyperfunction	253.1	0.03	0.02
Other open wound of head and face	870.3	0.58	1.21
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	0.49	0.0
Paralytic ileus	560.1	0.14	0.31
Other conditions of brain	348.0	0.02	0.07
Vitiligo	694.1	0.03	0.01
Chronic interstitial cystitis	592.13	0.12	0.03
Acidosis	276.41	0.3	0.52
Intestinal infection due to C. difficile	8.52	0.19	0.22
Alcoholic liver damage	317.11	0.1	0.47
Disorders of external ear	380.0	0.16	0.2
Congenital anomalies of female genital organs	751.11	0.21	0.0
Obstructive chronic bronchitis	496.21	0.79	1.18
Hydrocele	603.1	0.0	0.92
Hemorrhage from gastrointestinal ulcer	531.1	0.1	0.29
Neurofibromatosis	199.4	0.03	0.03
Pancreatic cancer	157.0	0.18	0.23
Cellulitis and abscess of oral soft tissues	528.3	0.04	0.06
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.03	0.01
Infectious and parasitic complications affecting pregnancy	647.0	0.05	0.0
Disease of capillaries	448.0	0.04	0.03
Redundant prepuce and phimosis/BXO	604.1	0.0	1.79
Subjective visual disturbances	368.9	0.22	0.18
Pain in joint	745.0	0.45	0.42
Hypotension NOS	458.9	1.16	1.42
Impaired fasting glucose	250.41	0.09	0.12
Peripheral angiopathy in diseases classified elsewhere	443.7	0.05	0.22
Gangrene	791.0	0.13	0.26
Stricture and stenosis of esophagus	530.3	0.47	0.83
Neoplasm of unspecified nature of digestive system	158.0	0.28	0.39
Nontoxic uninodular goiter	241.1	0.23	0.06
Pilonidal cyst	686.3	0.06	0.22
Synovitis and tenosynovitis	727.1	0.78	0.63
Arthropathy NOS	716.9	8.07	7.26
Other retinal disorders	362.0	0.26	0.36
Hemorrhagic disorder due to intrinsic circulating anticoagulants	286.5	0.02	0.03
Other headache syndromes	339.0	2.59	1.86
Dysphagia	532.0	2.32	2.06
Hemorrhage of gastrointestinal tract	578.9	1.77	2.04
Cancer of other endocrine glands	194.0	0.02	0.03
Type 2 diabetes with neurological manifestations	250.24	0.13	0.31
Osteopenia or other disorder of bone and cartilage	743.9	0.07	0.05
Essential tremor	333.1	0.08	0.09
Thyroid cancer	193.0	0.14	0.06
Disorders of calcium/phosphorus metabolism	275.5	0.37	0.38
Abnormal function study of cardiovascular system	429.2	0.15	0.21
Other benign neoplasm of uterus	218.2	0.19	0.0
Type 1 diabetes with ketoacidosis	250.11	0.07	0.09
Lump or mass in breast	611.3	0.75	0.02
Malignant neoplasm of uterus	182.0	0.77	0.0
Abdominal pain	785.0	13.22	8.7
Malignant neoplasm, other	195.1	4.28	5.66
Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	793.0	0.04	0.05
Rupture of tendon, nontraumatic	727.6	0.02	0.03
Disorders of other cranial nerves	352.0	0.02	0.02
Cerebral ischemia	433.3	0.29	0.44
Renal colic	594.8	0.28	0.76
Type 1 diabetes with renal manifestations	250.12	0.02	0.04
Pelvic inflammatory disease (PID)	614.3	0.07	0.0
Acute vascular insufficiency of intestine	441.1	0.08	0.09
Congenital deficiency of other clotting factors (including factor VII)	286.12	0.1	0.06
Congenital anomalies of intestine	750.21	0.06	0.06
Malignant neoplasm of kidney, except pelvis	189.11	0.2	0.42
Fracture of clavicle or scapula	803.3	0.04	0.1
Urticaria	947.0	0.18	0.16
Tobacco use disorder	318.0	4.62	7.2
Congenital musculoskeletal deformities of spine	754.0	0.04	0.02
Abnormal heart sounds	396.0	0.44	0.23
Dependence on respirator [Ventilator] or supplemental oxygen	509.8	0.09	0.18
Personal history of diseases of digestive system	564.9	5.1	6.3
Liver abscess and sequelae of chronic liver disease	571.8	0.11	0.27
Blood in stool	578.2	0.63	1.02
Late pregnancy and failed induction	645.0	0.6	0.0
Epiphora	375.2	0.32	0.2
Hypovolemia	276.5	0.88	1.17
Other disorders of cervical region	723.0	0.1	0.15
Hammer toe (acquired)	735.21	0.86	0.18
Peripheral retinal degenerations	362.6	0.04	0.06
Noninfectious gastroenteritis	558.0	5.42	4.2
Diseases and other conditions of the tongue	529.0	0.27	0.26
Hemorrhage or hematoma complicating a procedure	850.0	1.53	1.54
Arthropod-borne diseases	133.0	0.04	0.05
Uveitis, noninfectious or NOS	371.1	0.15	0.15
Diseases of nail, NOS	703.0	0.1	0.09
Juvenile osteochondrosis	732.1	0.05	0.04
Neuralgia, neuritis, and radiculitis NOS	766.0	0.11	0.08
Postmenopausal bleeding	627.1	4.74	0.0
Hypertrophy of female genital organs	623.0	0.64	0.0
Breast cancer [female]	174.1	1.13	0.0
Chromosomal anomalies and genetic disorders	758.0	0.02	0.03
Personal history of diseases of blood and blood-forming organs	289.3	0.12	0.09
Cancer of eye	190.0	0.04	0.05
Pain in limb	773.0	0.42	0.31
Amblyopia	368.1	0.18	0.18
Alopecia	704.1	0.06	0.02
Cornea replaced by transplant	364.9	0.03	0.04
Leukoplakia of oral mucosa	528.6	0.08	0.1
Intracerebral hemorrhage	430.2	0.17	0.3
Hepatitis NOS	70.9	0.13	0.16
Posttraumatic stress disorder	300.9	0.03	0.07
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	180.3	1.07	0.0
Joint/ligament sprain	840.3	0.04	0.06
Mastoiditis & related conditions	381.3	0.04	0.05
Disorders of esophageal motility	530.5	0.22	0.19
Phlebitis and thrombophlebitis of lower extremities	451.2	0.9	1.35
Disorders of adrenal glands	255.0	0.05	0.05
Epilepsy	345.1	0.08	0.11
Chronic prostatitis	601.12	0.0	0.61
Paroxysmal ventricular tachycardia	427.12	0.14	0.5
Other disorders of eyelids	374.0	0.92	0.77
Ulcer of esophagus	530.12	1.05	2.04
Benign neoplasm of bone and articular cartilage	213.0	0.1	0.08
Mixed hyperlipidemia	272.13	0.03	0.08
Anticoagulants causing adverse effects	964.1	0.07	0.11
Acquired deformities of finger	736.2	0.07	0.06
Visual disturbances	368.0	0.35	0.3
Esophagitis, GERD and related diseases	530.1	2.49	3.23
Unspecified monoarthritis	716.2	4.73	5.04
Atrophy of female genital tract	624.2	0.25	0.0
Difficulty in walking	741.3	0.06	0.06
Subdural hemorrhage	430.3	0.05	0.14
Vaginitis and vulvovaginitis	614.52	0.2	0.0
Transient cerebral ischemia	433.31	0.48	0.78
Breast disorder NOS	613.9	0.08	0.0
Placenta previa and abruptio placenta	635.3	0.64	0.0
Disorders of magnesium metabolism	275.3	0.15	0.18
Fracture of tibia and fibula	800.3	0.08	0.11
First degree AV block	426.21	0.18	0.64
Iron deficiency anemias, unspecified or not due to blood loss	280.1	2.83	2.26
Other disorders of male genital organs	608.0	0.0	1.78
Hematuria	593.0	3.49	5.54
Other alveolar and parietoalveolar pneumonopathy	504.0	0.1	0.12
Genital prolapse	618.0	0.22	0.0
Cholelithiasis	574.1	3.18	1.64
Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	981.0	0.04	0.05
Celiac disease	557.1	0.76	0.47
Postoperative infection	80.0	1.18	1.31
Develomental delays and disorders	315.0	0.07	0.12
Anal and rectal polyp	565.1	1.79	2.87
Graves' disease	242.1	0.22	0.05
Other specified diseases of hair and hair follicles	704.8	0.02	0.02
Inflammatory diseases of uterus, except cervix	614.4	0.14	0.0
Hemorrhage in early pregnancy	636.3	0.44	0.0
Angina pectoris	411.3	3.0	6.86
Calculus of ureter	594.3	0.3	1.08
Atrioventricular block, complete	426.24	0.12	0.33
Acquired toe deformities	735.2	0.92	0.22
Stricture of artery	447.1	0.13	0.39
Certain early complications of trauma or procedure	958.0	0.08	0.15
Adverse effects of sedatives or other central nervous system depressants and anesthetics	967.0	0.2	0.1
Mastodynia	613.5	0.04	0.0
Colon cancer	153.2	0.77	1.15
Eye infection, viral	369.2	0.04	0.04
Peritoneal or intestinal adhesions	560.3	0.36	0.29
Fracture of unspecified bones	809.0	0.02	0.03
Hemiplegia	342.0	0.39	0.64
Manlignant and unknown neoplasms of brain and nervous system	191.0	0.05	0.07
Transient mental disorders due to conditions classified elsewhere	291.1	0.04	0.03
Benign neoplasm of breast	610.4	0.7	0.01
Other specified gastritis	535.8	2.8	2.59
Other paralytic syndromes	344.0	0.16	0.25
Appendiceal conditions	540.0	0.08	0.06
Other disorders of gallbladder	575.7	0.54	0.29
Hypercholesterolemia	272.11	7.42	13.05
Diabetic retinopathy	250.7	0.31	0.67
Wheezing	512.1	0.08	0.09
Lipoma	214.0	0.25	0.72
Other specified congenital anomalies of kidney	751.22	0.1	0.11
Fracture of unspecified part of femur	800.2	0.02	0.03
Melanomas of skin	172.11	0.76	0.76
Myasthenia gravis	358.1	0.05	0.06
Other acute and subacute forms of ischemic heart disease	411.9	0.23	0.71
Spina bifida	752.11	0.07	0.04
Raynaud's syndrome	443.1	0.48	0.23
Migrain with aura	340.1	0.09	0.04
Neoplasm of uncertain behavior of skin	173.0	0.05	0.04
Duodenitis	535.6	1.77	2.93
Diseases of the larynx and vocal cords	473.0	0.38	0.5
Supraventricular premature beats	427.61	0.03	0.05
Poisoning by water, mineral, and uric acid metabolism drugs	974.0	0.03	0.05
Degeneration of intervertebral disc	722.6	0.97	0.76
Chronic ulcer of skin	707.0	0.27	0.55
Rupture of synovium	727.5	0.12	0.11
Chronic cystitis	592.12	0.32	0.2
Congenital anomalies of mouth/tongue	750.13	0.03	0.08
Aseptic necrosis of bone	733.4	0.02	0.02
Other disorders of arteries and arterioles	447.0	0.12	0.23
Hematemesis	578.1	0.45	0.74
Dental caries	521.1	0.92	1.01
Adjustment reaction	304.0	0.09	0.09
Inflammatory and toxic neuropathy	357.0	0.34	0.59
Other cerebral degenerations	331.0	0.06	0.12
Atrophic gastritis	535.2	0.11	0.13
Synoviopathy	726.2	0.13	0.07
Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)	794.0	0.05	0.01
Regional enteritis	555.1	0.62	0.57
Torticollis	723.1	0.03	0.02
Chronic glomerulonephritis, NOS	580.14	0.18	0.26
Impaction of intestine	560.2	0.13	0.09
Hyperventilation	513.4	0.09	0.06
Rheumatic disease of the heart valves	394.0	0.25	0.45
Mood disorders	296.0	0.03	0.03
Secondary malignancy of respiratory organs	198.2	0.79	0.84
Acute sinusitis	464.0	0.06	0.04
Sickle cell anemia	282.5	0.13	0.07
Dizziness and giddiness (Light-headedness and vertigo)	386.9	1.41	1.48
Acute appendicitis	540.11	0.54	0.61
Poisoning by anticonvulsants and anti-Parkinsonism drugs	966.0	0.16	0.13
Abnormal findings examination of lungs	514.0	0.7	0.93
Other dyspnea	512.9	0.24	0.3
Paroxysmal supraventricular tachycardia	427.11	0.7	0.79
Muscular dystrophies	359.1	0.03	0.05
Organic or persistent insomnia	327.41	0.05	0.05
Otitis externa	380.1	0.13	0.15
Chorioretinal inflammations, scars, and other disorders of choroid	363.0	0.03	0.03
Vascular dementia	290.16	0.07	0.14
Varicose veins	454.0	0.07	0.26
Tuberculosis	10.0	0.05	0.09
Other derangement of joint	742.9	0.22	0.16
Other peripheral nerve disorders	351.0	4.26	2.36
Congenital anomalies of face and neck	749.0	0.07	0.07
Complications of cardiac/vascular device, implant, and graft	854.0	0.52	1.11
Retention of urine	599.2	1.03	3.7
Hypothermia/Chills	780.0	0.05	0.08
Traumatic arthropathy	836.0	0.05	0.09
Chronic sinusitis	475.0	0.66	0.75
Sebaceous cyst	706.2	2.09	2.27
Malignant neoplasm of liver, primary	155.1	0.03	0.08
Viral pneumonia	480.2	0.02	0.03
Oral aphthae	528.12	0.02	0.02
Visual field defects	368.4	0.09	0.13
Aneurysm of iliac artery	442.2	0.01	0.06
Carbuncle and furuncle	686.1	0.58	0.84
Poisoning by drugs primarily affecting the autonomic nervous system	971.0	0.05	0.05
Altered mental status	292.4	0.58	1.0
E. coli	41.4	1.05	0.82
Viral hepatitis	70.0	0.06	0.1
Calculus of bile duct	574.2	0.92	0.57
Fibrosclerosis of breast	610.3	0.14	0.0
Pulmonary collapse; interstitial and compensatory emphysema	508.0	0.61	0.88
Spinal stenosis	720.0	0.21	0.25
Cholesterolosis of gallbladder	575.6	0.18	0.07
Ptosis of eyelid	374.3	0.63	0.45
Chemotherapy	197.0	6.49	4.83
Nodular lymphoma	202.21	0.1	0.11
Disorders of lacrimal system	375.0	0.62	0.35
Nephritis and nephropathy with pathological lesion	580.32	0.05	0.1
Diseases of white blood cells	288.0	0.18	0.2
Gastritis and duodenitis	535.0	5.41	5.16
Chronic pericarditis	420.22	0.01	0.03
Protein-calorie malnutrition	260.0	0.05	0.07
Emphysema	496.1	0.46	0.78
Cerebral artery occlusion, with cerebral infarction	433.21	0.37	0.79
Other hemoglobinopathies	282.8	0.09	0.07
Nonspecific abnormal findings on radiological and other examination of skull and head	346.1	0.05	0.05
Uterine leiomyoma	218.1	5.21	0.0
Respiratory failure	509.1	0.46	0.85
Viral hepatitis C	70.3	0.06	0.15
Unstable angina (intermediate coronary syndrome)	411.1	0.87	2.25
Pericarditis	420.2	0.25	0.46
Hearing loss	389.0	0.89	1.26
Poisoning by analgesics, antipyretics, and antirheumatics	965.0	2.37	1.34
Dysplasia of female genital organs	620.0	0.04	0.0
Learning disorder	315.1	0.04	0.07
Congenital anomalies of breast	612.3	0.04	0.0
Myeloid leukemia, acute	204.21	0.07	0.12
Acute pharyngitis	465.2	0.27	0.24
Respiratory complications	519.2	0.08	0.09
Optic neuritis/neuropathy	377.3	0.06	0.05
Acute laryngitis and tracheitis	465.4	0.05	0.04
Fracture of radius and ulna	803.2	0.25	0.13
Alcoholism	317.1	1.78	3.65
Anomalies of tooth position/malocclusion	524.3	0.08	0.08
Reflux esophagitis	530.14	2.97	3.57
Disorders secondary to childbirth, surgery, trauma	617.0	0.16	0.0
Cystitis	592.1	0.65	0.51
Fibroadenosis of breast	610.2	0.14	0.0
Chronic laryngitis	473.1	0.02	0.03
Other disorders of ear	388.0	0.03	0.03
Bone cancer	170.1	0.03	0.05
Urethritis and urethral syndrome	592.2	0.02	0.05
Decubitus ulcer	707.1	0.05	0.1
Primary biliary cirrhosis	571.6	0.11	0.03
Erythema nodosum	695.81	0.03	0.01
Aortic valve disease	394.3	0.29	0.6
Other disorders of urethra and urinary tract	597.0	0.25	0.19
Cancer of major salivary glands	145.3	0.03	0.03
Other disorders of testis	603.0	0.0	0.62
Other benign neoplasm of connective and other soft tissue	215.0	0.31	0.27
Vascular disorders of kidney/hypertrophy	586.3	0.02	0.04
Fracture of humerus	803.1	0.06	0.06
Asthma with exacerbation	495.2	0.09	0.07
Uterine/Uterovaginal prolapse	618.2	2.67	0.0
Schizophrenia	295.1	0.16	0.29
Malignant neoplasm of rectum, rectosigmoid junction, and anus	153.3	0.46	0.85
Other disorders of neurohypophysis	253.7	0.05	0.06
Cervical radiculitis	765.0	0.14	0.16
Empyema and pneumothorax	506.0	0.23	0.49
Encephalitis	323.0	0.07	0.09
Problems associated with amniotic cavity and membranes	653.0	0.76	0.0
Paroxysmal tachycardia, unspecified	427.1	0.03	0.04
Excessive vomiting in pregnancy	643.0	0.05	0.0
Aneurysm and dissection of heart	411.41	0.16	0.31
Althete's foot	110.12	0.02	0.06
Other hypertensive complications	401.3	0.03	0.08
Poisoning by antibiotics	960.0	1.74	0.52
