Phenotype	PheCode	35-44	45-54	55-64	65-74
Complications of transplants and reattached limbs	851.0	0.7	1.09	1.98	3.27
Chronic bronchitis	496.2	0.03	0.05	0.11	0.21
Postmenopausal atrophic vaginitis	627.3	0.03	0.18	0.4	0.55
Fracture of vertebral column without mention of spinal cord injury	805.0	0.06	0.08	0.1	0.13
Chronic hepatitis	70.4	0.05	0.06	0.09	0.09
Chronic lymphocytic thyroiditis	245.21	0.05	0.06	0.07	0.07
Open wound of lip and mouth	870.5	0.14	0.11	0.1	0.13
Other endocrine disorders	259.0	0.04	0.04	0.03	0.03
Dystrophy of female genital tract	624.1	0.01	0.07	0.09	0.1
Epistaxis or throat hemorrhage	477.0	0.29	0.41	0.77	1.29
Other specified erythematous conditions	695.8	0.04	0.04	0.06	0.05
Diverticulosis	562.1	1.95	5.2	10.91	16.84
Poisoning/allergy of sulfonamides	961.1	0.17	0.21	0.31	0.32
Effects radiation NOS	990.0	0.42	0.69	1.29	1.94
Spinal cord injury without evidence of spinal bone injury	952.0	0.02	0.02	0.03	0.03
Malignant neoplasm of unspecified male genital organ	187.1	0.01	0.01	0.03	0.03
Heart valve replaced	395.6	0.1	0.19	0.49	1.02
Contracture of tendon (sheath)	727.7	0.03	0.03	0.04	0.05
Nonspecific abnormal findings in stool contents	579.8	0.24	0.4	0.77	0.78
Occlusion of cerebral arteries	433.2	0.22	0.45	0.94	1.97
Herpes zoster	53.0	0.05	0.07	0.12	0.18
Other and unspecified disorders of the nervous system	349.0	0.09	0.11	0.12	0.15
Glaucoma	365.0	0.2	0.46	1.29	2.67
Pituitary hypofunction	253.2	0.06	0.07	0.09	0.09
Migraine	340.0	1.07	0.98	0.78	0.69
Abdominal hernia	550.0	0.66	0.85	1.26	1.74
Other specified disorders of breast	613.8	0.1	0.11	0.09	0.07
Hypermetropia	367.8	0.03	0.03	0.08	0.17
Cerebral cysts	348.4	0.03	0.04	0.04	0.05
Retinoschisis and retinal cysts	361.2	0.01	0.02	0.03	0.04
Symptoms involving respiratory system and other chest symptoms	519.9	0.07	0.08	0.09	0.11
Partial epilepsy	345.12	0.1	0.09	0.08	0.09
Agorophobia, social phobia, and panic disorder	300.12	0.25	0.26	0.27	0.36
Alkalosis	276.42	0.02	0.03	0.05	0.09
Noninflammatory disorders of vulva and perineum	619.5	0.49	0.43	0.32	0.3
Disorders of vitreous body	379.2	0.1	0.21	0.49	0.79
Diplopia and disorders of binocular vision	368.2	0.15	0.17	0.22	0.31
Lung disease due to external agents	500.0	0.02	0.02	0.03	0.08
Spinocerebellar disease	334.1	0.03	0.04	0.04	0.06
Aplastic anemia	284.0	0.06	0.1	0.16	0.27
Alcohol-related disorders	317.0	1.65	1.86	1.63	1.57
Abnormality of gait	350.2	0.25	0.31	0.63	1.37
Chorioretinal scars	363.3	0.0	0.01	0.03	0.05
Somatoform disorder	303.4	0.04	0.05	0.03	0.04
Other mental disorder	306.0	4.09	5.68	10.46	15.44
Swelling of limb	771.1	0.17	0.17	0.24	0.35
Acute pancreatitis	577.1	0.15	0.27	0.39	0.5
Femoral hernia	550.3	0.1	0.13	0.22	0.34
Secondary malignant neoplasm of liver	198.4	0.26	0.55	1.06	1.77
Other hypertrophic and atrophic conditions of skin	701.0	0.29	0.37	0.48	0.62
Symptomatic menopause	627.2	0.02	0.05	0.06	0.04
Cancer of bronchus; lung	165.1	0.12	0.31	0.85	1.49
Open wound of nose and sinus	870.4	0.06	0.06	0.07	0.11
Other inflammatory spondylopathies	715.0	0.03	0.07	0.12	0.18
Lack of coordination	350.3	0.08	0.07	0.11	0.16
Iatrogenic hypotension	458.2	0.02	0.03	0.08	0.18
Disturbances in tooth eruption	520.2	1.3	0.64	0.36	0.28
Separation of retinal layers	362.31	0.0	0.02	0.03	0.06
Facial nerve disorders [CN7]	352.2	0.16	0.21	0.28	0.35
Other disorders of synovium, tendon, and bursa	727.0	0.27	0.27	0.28	0.27
Abnormal granulation tissue	701.5	0.1	0.11	0.13	0.15
Cataract	366.0	0.65	1.62	5.72	13.35
Folate-deficiency anemia	281.13	0.02	0.05	0.07	0.1
Urinary incontinence	599.4	1.53	2.08	2.62	3.34
Hypoglycemia	251.1	0.15	0.25	0.33	0.64
Chronic pancreatitis	577.2	0.1	0.13	0.16	0.17
Malignant neoplasm of ovary	184.11	0.15	0.19	0.3	0.43
Torsion dystonia	333.4	0.04	0.07	0.09	0.11
Phlebitis and thrombophlebitis	451.0	0.06	0.09	0.13	0.17
Dementia with cerebral degenerations	290.12	0.0	0.0	0.02	0.08
Benign neoplasm of colon	208.0	1.8	3.93	7.15	9.66
Hypertrophy of breast (Gynecomastia)	612.2	0.27	0.25	0.2	0.16
Testicular hypofunction	257.1	0.04	0.04	0.05	0.05
Other disorders of circulatory system	459.0	0.01	0.03	0.05	0.07
Other disorders of metabolism	277.0	0.18	0.22	0.31	0.44
Extrinsic allergic alveolitis	500.1	0.01	0.02	0.02	0.05
Atopic/contact dermatitis due to other or unspecified	939.0	0.52	0.56	0.68	0.9
Osteochondropathies	732.0	0.09	0.08	0.06	0.04
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	793.2	0.07	0.13	0.2	0.28
Retinal detachments and defects	361.0	0.17	0.36	0.72	0.81
Inflammatory disease of breast	613.1	0.22	0.21	0.16	0.17
Dermatitis due to solar radiation	938.0	0.0	0.02	0.04	0.05
Articular cartilage disorder	742.8	0.04	0.04	0.02	0.02
Diabetes or abnormal glucose tolerance complicating pregnancy	649.1	0.37	0.08	0.0	0.0
Anomalous atrioventricular excitation	426.4	0.07	0.05	0.07	0.07
Noninflammatory disorders of ovary, fallopian tube, and broad ligament	619.1	0.35	0.26	0.16	0.14
Other perinatal conditions of fetus or newborn	656.0	0.88	0.18	0.0	0.0
Other conditions of brain, NOS	348.9	0.09	0.09	0.14	0.19
Cardiac pacemaker in situ	426.91	0.14	0.26	0.83	2.02
Other infectious and parasitic diseases	136.0	0.04	0.06	0.07	0.1
Diabetes insipidus	253.3	0.02	0.02	0.03	0.02
Traumatic and surgical subcutaneous emphysema	958.2	0.02	0.02	0.02	0.04
Congenital anomalies of peripheral vascular system	747.2	0.04	0.04	0.05	0.05
Hallucinations	292.6	0.08	0.08	0.1	0.19
Cancer of larynx	149.4	0.01	0.03	0.08	0.14
Renal failure NOS	585.2	0.14	0.23	0.46	0.81
Adverse reaction to serum or vaccine	941.0	0.01	0.04	0.07	0.11
Pseudomonal pneumonia	480.12	0.0	0.01	0.03	0.06
Pelvic peritoneal adhesions, female (postoperative) (postinfection)	614.1	1.39	1.02	0.48	0.37
Mucous polyp of cervix	622.2	0.53	0.88	0.97	0.62
Noninflammatory female genital disorders	619.0	0.06	0.07	0.04	0.02
Obstruction of bile duct	575.2	0.15	0.17	0.28	0.41
Bone marrow or stem cell transplant	860.0	0.03	0.03	0.03	0.01
Cardiomegaly	416.0	0.28	0.43	0.96	1.76
Corneal degenerations	364.4	0.01	0.02	0.04	0.11
Precordial pain	418.1	0.75	1.07	1.3	1.62
Atherosclerosis of renal artery	440.1	0.01	0.01	0.02	0.06
Secondary malignant neoplasm of skin	198.7	0.03	0.04	0.08	0.1
Absent or infrequent menstruation	626.11	0.09	0.05	0.02	0.0
Obstetrical/birth trauma	665.0	9.17	1.68	0.01	0.0
Diseases of spleen	289.5	0.09	0.13	0.16	0.23
Malposition and malpresentation of fetus or obstruction	652.0	3.02	0.55	0.0	0.0
Pyogenic granuloma	686.4	0.09	0.09	0.1	0.12
Other and unspecified congenital anomalies	759.0	0.04	0.03	0.04	0.03
Myoclonus	333.2	0.01	0.02	0.03	0.05
Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	649.0	0.21	0.03	0.0	0.0
Viral hepatitis B	70.2	0.06	0.08	0.06	0.03
Other nonspecific findings on examination of urine	598.9	0.05	0.05	0.09	0.16
Other local infections of skin and subcutaneous tissue	686.0	0.26	0.31	0.44	0.58
Hypoventilation	513.3	0.02	0.02	0.03	0.05
Other abnormality of urination	599.9	0.21	0.33	0.57	0.87
Hypertensive chronic kidney disease	401.22	0.12	0.24	0.55	1.43
Esophageal bleeding (varices/hemorrhage)	530.2	0.28	0.42	0.64	0.89
Pulmonary congestion and hypostasis	503.0	0.06	0.08	0.17	0.33
Benign neoplasm of unspecified sites	229.0	0.58	0.61	0.6	0.58
Opiates and related narcotics causing adverse effects in therapeutic use	965.1	0.25	0.31	0.46	0.62
Anaphylactic shock NOS	946.0	0.11	0.15	0.16	0.2
Hyposmolality and/or hyponatremia	276.12	0.16	0.33	0.76	1.47
Hereditary retinal dystrophies	362.7	0.02	0.02	0.03	0.04
Diverticulum of esophagus, acquired	530.6	0.01	0.02	0.07	0.11
Inflammatory conditions of jaw	526.5	0.02	0.03	0.03	0.04
Congenital hip dysplasia and deformity	755.61	0.05	0.04	0.02	0.02
Anomalies of pupillary function	379.4	0.01	0.02	0.03	0.04
Atherosclerosis	440.0	0.01	0.02	0.06	0.11
Poisoning by hormones and synthetic substitutes	962.0	0.05	0.06	0.04	0.05
Disorders of phosphorus metabolism	275.53	0.03	0.05	0.09	0.14
Type 1 diabetes with ophthalmic manifestations	250.13	0.1	0.13	0.15	0.2
Tinnitus	389.4	0.09	0.13	0.19	0.24
Abnormal results of function study of liver	573.7	0.56	0.83	1.22	1.6
Sleep apnea	327.3	0.95	1.31	1.48	1.41
Kidney replaced by transpant	587.0	0.07	0.12	0.12	0.11
Back pain	760.0	1.42	1.61	1.8	2.2
Toxic gastroenteritis and colitis	569.1	0.01	0.04	0.08	0.12
Heart failure NOS	428.2	0.25	0.55	1.47	3.21
Cerebral atherosclerosis	433.12	0.01	0.03	0.08	0.2
Irregular menstrual bleeding	626.14	1.67	1.81	0.65	0.11
Cystic kidney disease	751.21	0.07	0.1	0.12	0.18
Rash and other nonspecific skin eruption	687.1	0.49	0.55	0.67	0.88
Other symptoms involving abdomen and pelvis	579.0	0.22	0.29	0.34	0.46
Acquired spondylolisthesis	738.4	0.02	0.06	0.09	0.14
Diseases of hair and hair follicles	704.0	1.29	1.34	1.32	1.36
Personality disorders	301.0	0.16	0.13	0.06	0.04
Encephalopathy, not elsewhere classified	348.8	0.01	0.04	0.05	0.06
Non-proliferative glomerulonephritis	580.12	0.02	0.03	0.05	0.07
Fetal distress and abnormal forces of labor	661.0	4.18	0.64	0.0	0.0
Traumatic amputation	872.0	0.11	0.13	0.12	0.12
Toxic erythema	695.1	0.04	0.03	0.02	0.04
Inflammation of the eye	371.0	0.01	0.02	0.03	0.05
Paralytic strabismus	378.5	0.04	0.07	0.09	0.12
Chronic periodontitis	523.32	0.52	0.38	0.27	0.2
Alteration of consciousness	291.8	0.13	0.12	0.15	0.23
Spondylosis without myelopathy	721.1	0.1	0.18	0.34	0.46
Aneurysm of artery of lower extremity	442.3	0.01	0.02	0.05	0.13
Preeclampsia and eclampsia	642.1	0.51	0.12	0.0	0.0
Infection/inflammation of internal prosthetic device; implant; and graft	81.0	0.25	0.31	0.35	0.46
Bronchitis	497.0	0.08	0.14	0.22	0.32
Sepsis	994.2	0.42	0.62	1.12	1.67
Kyphoscoliosis and scoliosis	737.3	0.09	0.09	0.15	0.25
Adverse drug events and drug allergies	979.0	0.17	0.18	0.1	0.09
Malignant neoplasm of ovary and other uterine adnexa	184.1	0.01	0.02	0.03	0.06
Hyperlipidemia	272.1	0.3	0.8	1.94	3.6
Malignant neoplasm of other urinary organs	189.4	0.0	0.01	0.04	0.09
Symptoms involving digestive system	561.0	2.72	4.04	5.63	7.1
Cervical cancer	180.1	0.09	0.09	0.07	0.05
Infection of the eye	369.0	0.06	0.05	0.09	0.1
Dysuria	599.3	0.25	0.3	0.36	0.5
Other disorders of the kidney and ureters	586.0	0.13	0.24	0.37	0.6
Other specified congenital anomalies of nervous system	752.2	0.03	0.02	0.02	0.01
Psychogenic disorder	303.3	0.1	0.1	0.12	0.12
Gram negative septicemia	38.1	0.11	0.16	0.32	0.52
Viral Enteritis	8.6	0.2	0.21	0.26	0.39
Ulceration of intestine	556.1	0.19	0.19	0.32	0.38
Other heart block	426.25	0.01	0.02	0.04	0.09
Generalized anxiety disorder	300.11	0.05	0.05	0.05	0.05
Hyperosmolality and/or hypernatremia	276.11	0.04	0.05	0.1	0.22
Other specified cardiac dysrhythmias	427.3	0.33	0.59	1.14	2.24
Sleep disorders	327.0	0.19	0.26	0.3	0.26
Voice disturbance	473.4	0.12	0.22	0.33	0.43
Prolapse of vaginal vault after hysterectomy	618.5	0.03	0.07	0.16	0.21
Noninfectious disorders of lymphatic channels	450.0	0.14	0.18	0.26	0.34
Hyperplasia of prostate	600.0	0.25	1.04	3.8	7.66
Bipolar	296.1	0.37	0.4	0.34	0.31
Sialolithiasis	528.7	0.07	0.08	0.08	0.07
Meningitis	320.0	0.16	0.12	0.1	0.1
Mild cognitive impairment	292.2	0.02	0.04	0.07	0.19
Nausea and vomiting	789.0	2.5	2.96	3.49	4.58
Acute bronchitis and bronchiolitis	483.0	0.05	0.05	0.07	0.1
Acute (transverse) myelitis	323.2	0.03	0.03	0.02	0.01
Urinary complications NEC	597.2	0.01	0.01	0.03	0.03
Staphylococcus infections	41.1	0.58	0.74	0.99	1.4
Congenital anomalies of urinary system	751.2	0.02	0.02	0.03	0.03
Jaundice (not of newborn)	573.5	0.11	0.2	0.29	0.4
Contusion	916.0	0.3	0.34	0.39	0.67
Cystic mastopathy	610.1	0.16	0.24	0.23	0.13
Tension headache	306.9	0.12	0.11	0.1	0.09
Calculus of lower urinary tract	594.2	0.09	0.1	0.26	0.42
Malignant neoplasm of testis	187.2	0.13	0.09	0.05	0.04
Abnormal involuntary movements	350.1	0.2	0.23	0.3	0.39
Myeloid leukemia, chronic	204.22	0.03	0.03	0.05	0.06
Nerve plexus lesions	353.1	0.04	0.04	0.03	0.03
Acute prostatitis	601.11	0.01	0.03	0.09	0.13
Acquired hypothyroidism	244.2	0.02	0.03	0.04	0.04
Known or suspected fetal abnormality affecting management of mother	655.0	7.44	1.44	0.01	0.0
Nasal polyps	471.0	0.58	0.73	0.92	1.05
Cancer, suspected or other	195.0	0.13	0.19	0.28	0.42
Mitral valve disease	394.2	0.27	0.45	1.03	2.13
Cardiogenic shock	797.1	0.0	0.02	0.04	0.06
Secondary hypothyroidism	244.1	0.16	0.27	0.42	0.54
Multiple myeloma	204.4	0.05	0.09	0.2	0.34
Keloid scar	701.4	0.08	0.1	0.06	0.06
Purpura and other hemorrhagic conditions	287.0	0.02	0.01	0.03	0.06
Psychosis	295.3	0.1	0.07	0.05	0.06
Peptic ulcer, site unspecified	531.4	0.05	0.08	0.13	0.19
Anal and rectal conditions	565.0	2.16	2.3	2.36	2.75
Ganglion and cyst of synovium, tendon, and bursa	727.4	0.62	0.78	0.88	0.83
Contracture of joint	739.0	0.02	0.02	0.03	0.02
Vascular insufficiency of intestine	441.0	0.02	0.06	0.11	0.19
Intracranial hemorrhage	430.0	0.02	0.03	0.03	0.06
Respiratory insufficiency	509.2	0.17	0.27	0.6	1.11
Umbilical cord complications during labor and delivery	663.0	0.99	0.25	0.0	0.0
Primary thrombocytopenia	287.31	0.07	0.09	0.13	0.19
Chronic fatigue syndrome	798.1	0.18	0.2	0.17	0.13
Ovarian cyst	628.0	2.08	1.83	1.02	0.68
Hyperaldosteronism	255.12	0.01	0.02	0.03	0.02
Corneal opacity and other disorders of cornea	364.0	0.03	0.05	0.08	0.12
Nonspecific chest pain	418.0	5.21	6.83	8.63	10.5
Aneurysm of other specified artery	442.8	0.03	0.05	0.08	0.1
Prurigo and Lichen	695.7	0.11	0.16	0.25	0.3
Myeloproliferative disease	200.0	0.08	0.11	0.22	0.41
Cellulitis and abscess of leg, except foot	681.5	1.07	1.27	1.72	2.31
Tympanosclerosis and middle ear disease related to otitis media	385.5	0.06	0.06	0.06	0.05
Other abnormal glucose	250.42	0.08	0.12	0.14	0.2
Abnormal findings on examination of urine	598.0	0.47	0.62	0.97	1.44
Retinal hemorrhage/ischemia	362.8	0.01	0.01	0.04	0.06
Otorrhea	381.9	0.05	0.06	0.07	0.09
Temporomandibular joint disorder, unspecified	526.41	0.06	0.08	0.07	0.04
Arteritis NOS	446.9	0.04	0.04	0.09	0.13
Cardiac congenital anomalies	747.1	0.06	0.06	0.06	0.06
Stricture/obstruction of ureter	586.4	0.15	0.21	0.3	0.41
Suicide or self-inflicted injury	297.2	0.64	0.54	0.27	0.25
Valvular heart disease/ heart chambers	747.12	0.06	0.06	0.08	0.08
Secondary malignant neoplasm	198.0	0.11	0.24	0.45	0.71
Osteoarthrosis, generalized	740.2	0.01	0.06	0.19	0.34
Congestive heart failure (CHF) NOS	428.1	0.09	0.23	0.73	1.81
Open wounds of head; neck; and trunk	870.0	0.07	0.06	0.04	0.04
Chronic pulmonary heart disease	415.2	0.02	0.02	0.06	0.14
Secondary malignant neoplasm of digestive systems	198.3	0.16	0.32	0.62	1.03
Elevated blood pressure reading without diagnosis of hypertension	402.0	0.23	0.34	0.64	1.1
Fasciitis	728.7	0.08	0.08	0.07	0.07
Cellulitis and abscess of trunk	681.7	0.14	0.16	0.18	0.23
Heartburn	530.9	0.42	0.54	0.74	0.81
Type 2 diabetes	250.2	1.94	3.79	6.53	10.03
Parkinson's disease	332.0	0.03	0.11	0.41	1.01
Injuries to the nervous system	907.0	0.37	0.36	0.36	0.35
Cerebral edema and compression of brain	348.2	0.08	0.08	0.09	0.1
Neoplasm of uncertain behavior of male genital organs	187.8	0.03	0.02	0.03	0.04
Stomatitis and mucositis (ulcerative)	528.11	0.07	0.12	0.13	0.14
Disorders of iris and ciliary body	379.5	0.04	0.06	0.13	0.21
Pain, swelling or discharge of eye	379.9	0.05	0.05	0.05	0.07
Pneumococcal pneumonia	480.11	0.86	1.15	2.11	3.73
Premenopausal menorrhagia	627.4	0.07	0.12	0.09	0.01
Pruritus and related conditions	698.0	0.22	0.2	0.23	0.26
Anisometropia	368.3	0.01	0.01	0.06	0.1
Appendicitis	540.1	0.23	0.16	0.14	0.11
Other non-epithelial cancer of skin	172.2	0.78	1.44	3.55	6.34
Iatrogenic endocrine disorders	258.0	0.02	0.02	0.04	0.03
Oliguria and anuria	599.6	0.01	0.01	0.04	0.08
Dermatophytosis of nail	110.11	0.01	0.02	0.03	0.03
Cough	512.8	0.61	0.68	1.01	1.35
Arrhythmia (cardiac) NOS	427.5	0.1	0.15	0.33	0.63
Other disorders of peritoneum	568.0	0.05	0.07	0.08	0.09
Allergy/adverse effect of penicillin	960.2	3.73	4.27	5.06	6.12
Scar conditions and fibrosis of skin	701.2	0.51	0.55	0.66	0.73
Shortness of breath	512.7	1.04	1.31	1.99	2.94
Other disorders of liver	573.0	0.24	0.34	0.57	0.82
Type 2 diabetes with ophthalmic manifestations	250.23	0.17	0.29	0.5	0.91
Cancer of mouth	145.0	0.02	0.03	0.05	0.06
Neutropenia	288.11	0.53	0.72	1.13	1.33
Flatulence	561.2	0.46	0.58	0.72	0.82
Glycosuria or Acetonuria	250.5	0.12	0.04	0.02	0.02
Conjunctivitis, infectious	369.5	0.04	0.04	0.09	0.11
Sensorineural hearing loss	389.1	0.07	0.1	0.17	0.24
Premature beats	427.6	0.08	0.16	0.24	0.41
Cellulitis and abscess of foot, toe	681.6	1.07	1.27	1.72	2.31
Dislocation	830.0	0.69	0.56	0.49	0.55
Tachycardia NOS	427.7	0.42	0.58	0.81	1.23
Other complications of pregnancy NEC	646.0	4.0	0.78	0.01	0.0
Symptoms of the muscles	772.0	0.03	0.05	0.07	0.08
Benign neoplasm of other female genital organs	221.0	0.06	0.07	0.06	0.05
Renal dialysis	585.31	0.09	0.14	0.18	0.25
Other and unspecified coagulation defects	286.7	0.12	0.1	0.11	0.15
Cervicalgia	761.0	0.24	0.27	0.3	0.33
Noninflammatory disorders of cervix	619.3	1.07	0.89	0.63	0.42
Other signs and symptoms in breast	613.7	0.11	0.14	0.12	0.12
Nonrheumatic tricuspid valve disorders	395.3	0.01	0.02	0.05	0.08
Osteoarthrosis NOS	740.9	0.46	0.9	1.99	3.34
Fracture of ankle and foot	801.0	0.09	0.08	0.09	0.12
Congenital deformities of feet	755.1	0.07	0.05	0.07	0.05
Unspecified osteomyelitis	710.19	0.02	0.02	0.03	0.05
Acute reaction to stress	300.8	0.07	0.05	0.03	0.03
Malignant neoplasm of small intestine, including duodenum	159.2	0.02	0.03	0.06	0.11
Portal hypertension	571.81	0.09	0.17	0.2	0.21
Ingrowing nail	703.1	0.2	0.2	0.23	0.23
Irregular menstrual cycle	626.13	0.6	0.71	0.41	0.11
Localized superficial swelling, mass, or lump	687.2	0.04	0.05	0.06	0.07
Cellulitis and abscess of fingers/toes	681.1	0.12	0.15	0.18	0.21
Autism	313.3	0.04	0.03	0.01	0.01
Complication of colostomy or enterostomy	853.0	0.07	0.13	0.16	0.24
Arterial embolism and thrombosis of lower extremity artery	444.1	0.03	0.07	0.17	0.36
Other immunological findings	279.7	0.01	0.04	0.07	0.14
Intestinal malabsorption (non-celiac)	557.0	0.09	0.1	0.12	0.12
Polydipsia	276.8	0.03	0.04	0.03	0.04
Senile cataract	366.2	0.26	0.74	3.32	8.09
Congenital osteodystrophies	756.5	0.04	0.04	0.05	0.05
Open wounds of extremities	871.0	1.35	1.24	1.1	1.23
Superficial injury without mention of infection	915.0	1.01	1.09	1.29	1.96
Rhesus isoimmunization in pregnancy	654.2	0.46	0.1	0.0	0.0
Deficiency of humoral immunity	279.11	0.03	0.04	0.05	0.05
Streptococcus infection	41.2	0.46	0.4	0.51	0.68
Chromosomal anomalies	758.1	0.06	0.03	0.03	0.02
Small kidney	586.11	0.03	0.05	0.06	0.12
Thyrotoxicosis with or without goiter	242.0	0.24	0.34	0.47	0.66
Rheumatoid arthritis	714.1	0.3	0.52	0.89	1.29
Second degree AV block	426.23	0.04	0.07	0.15	0.4
Vaginal enterocele, congenital or acquired	618.6	0.04	0.11	0.22	0.27
Gastric ulcer	531.2	0.48	0.79	1.36	1.95
Perforation of tympanic membrane	384.4	0.22	0.25	0.28	0.29
Disturbance of skin sensation	687.4	0.9	0.87	0.79	0.82
Disorders of the orbit	376.0	0.02	0.02	0.03	0.03
Cyst of kidney, acquired	586.2	0.12	0.22	0.48	0.88
Chronic venous insufficiency [CVI]	456.0	0.03	0.04	0.07	0.16
Acute gastritis	535.1	0.17	0.23	0.43	0.58
Asthma	495.0	6.51	6.85	7.65	9.22
Dementias	290.1	0.03	0.05	0.26	1.05
Abnormal results of function study of kidney	589.0	0.02	0.02	0.05	0.07
Urinary obstruction	599.1	0.02	0.02	0.05	0.11
Benign neoplasm of thyroid glands	226.0	0.06	0.07	0.08	0.08
Hemoptysis	516.1	0.29	0.4	0.66	0.91
Osteoarthrosis, localized, secondary	740.12	0.03	0.07	0.09	0.09
Acquired acanthosis nigricans	701.6	0.01	0.02	0.04	0.04
Otalgia	382.0	0.07	0.09	0.08	0.08
Other hereditary hemolytic anemias	282.9	0.04	0.02	0.03	0.05
Poisoning by other anti-infectives	961.0	0.06	0.11	0.15	0.22
Other disorders of soft tissues	729.0	0.28	0.26	0.35	0.46
Other persistent mental disorders due to conditions classified elsewhere	290.3	0.06	0.04	0.01	0.01
Vitamin D deficiency	261.4	0.21	0.24	0.28	0.34
Edema	782.3	0.2	0.33	0.62	1.1
Other disorders of prostate	602.0	0.05	0.12	0.42	0.97
Open wound or laceration of eye or eyelid	870.1	0.13	0.14	0.13	0.21
Laxity of ligament or hypermobility syndrome	728.2	0.07	0.05	0.03	0.01
Paraproteinemia	270.32	0.01	0.03	0.08	0.16
Complication due to other implant and internal device	859.0	0.5	0.68	1.02	1.43
Palpitations	427.9	0.81	1.0	1.28	1.62
Neoplasm of uncertain behavior of breast	174.3	0.02	0.03	0.04	0.02
Non-Hodgkins lymphoma	202.2	0.16	0.26	0.47	0.72
Elevated sedimentation rate	790.1	0.01	0.01	0.03	0.05
Congenital anomalies of skin	691.0	0.02	0.02	0.02	0.03
Leukemia	204.0	0.07	0.09	0.14	0.21
Disease of tricuspid valve	394.7	0.09	0.18	0.44	0.9
Trigeminal nerve disorders [CN5]	352.1	0.07	0.1	0.15	0.22
Allergic reaction to food	930.0	0.07	0.06	0.05	0.04
Primary/intrinsic cardiomyopathies	425.1	0.14	0.21	0.35	0.54
Postinflammatory pulmonary fibrosis	502.0	0.05	0.1	0.31	0.78
Cysts of the jaws	526.1	0.07	0.09	0.09	0.09
Thrombocytopenia	287.3	0.2	0.28	0.42	0.64
Open wound of ear	870.2	0.06	0.05	0.05	0.05
Keratoconus	364.41	0.03	0.04	0.02	0.02
Hypopotassemia	276.14	0.22	0.29	0.6	1.02
Diseases of esophagus	530.0	0.08	0.13	0.23	0.3
Bacterial enteritis	8.5	0.4	0.46	0.62	0.83
Poisoning by agents primarily affecting the gastrointestinal system	973.0	0.04	0.04	0.02	0.03
Other complications of the puerperium NEC	674.0	0.47	0.08	0.0	0.0
Cardiac arrest	427.42	0.08	0.17	0.39	0.73
Ankylosing spondylitis	715.2	0.08	0.08	0.14	0.14
HIV infection, symptomatic	71.1	0.09	0.06	0.03	0.01
Eustachian tube disorders	381.2	0.05	0.04	0.06	0.05
Aphasia/speech disturbance	292.1	0.27	0.31	0.5	0.83
Wegener's granulomatosis	446.4	0.02	0.03	0.06	0.07
Immunity deficiency	279.1	0.02	0.02	0.03	0.03
Poisoning by agents primarily affecting the cardiovascular system	972.0	0.07	0.08	0.06	0.07
Peripheral enthesopathies and allied syndromes	726.0	1.59	2.15	2.71	3.01
Occlusion of cerebral arteries, with cerebral infarction	433.11	0.01	0.02	0.05	0.08
Pituitary hyperfunction	253.1	0.05	0.03	0.02	0.02
Other open wound of head and face	870.3	0.66	0.73	0.82	1.27
Hypertension complicating pregnancy, childbirth, and the puerperium	642.0	1.68	0.33	0.0	0.0
Paralytic ileus	560.1	0.09	0.13	0.22	0.44
Other conditions of brain	348.0	0.02	0.03	0.05	0.07
Vitiligo	694.1	0.02	0.01	0.03	0.01
Chronic interstitial cystitis	592.13	0.05	0.06	0.08	0.13
Acidosis	276.41	0.17	0.22	0.42	0.73
Intestinal infection due to C. difficile	8.52	0.09	0.11	0.22	0.37
Alcoholic liver damage	317.11	0.16	0.28	0.29	0.22
Disorders of external ear	380.0	0.07	0.13	0.18	0.28
Congenital anomalies of female genital organs	751.11	0.19	0.17	0.09	0.06
Obstructive chronic bronchitis	496.21	0.13	0.36	1.05	2.2
Hydrocele	603.1	0.2	0.28	0.41	0.62
Hemorrhage from gastrointestinal ulcer	531.1	0.05	0.11	0.19	0.35
Neurofibromatosis	199.4	0.02	0.03	0.03	0.03
Pancreatic cancer	157.0	0.04	0.1	0.23	0.39
Cellulitis and abscess of oral soft tissues	528.3	0.06	0.05	0.05	0.04
Congenital anomalies of muscle, tendon, fascia, and connective tissue	756.3	0.05	0.02	0.02	0.02
Infectious and parasitic complications affecting pregnancy	647.0	0.15	0.03	0.0	0.0
Disease of capillaries	448.0	0.01	0.02	0.04	0.06
Redundant prepuce and phimosis/BXO	604.1	0.69	0.67	0.76	0.96
Subjective visual disturbances	368.9	0.2	0.19	0.18	0.27
Pain in joint	745.0	0.35	0.4	0.43	0.56
Hypotension NOS	458.9	0.48	0.73	1.39	2.35
Impaired fasting glucose	250.41	0.08	0.07	0.1	0.17
Peripheral angiopathy in diseases classified elsewhere	443.7	0.03	0.08	0.14	0.21
Gangrene	791.0	0.11	0.13	0.21	0.28
Stricture and stenosis of esophagus	530.3	0.2	0.38	0.74	1.08
Neoplasm of unspecified nature of digestive system	158.0	0.08	0.18	0.38	0.58
Nontoxic uninodular goiter	241.1	0.12	0.14	0.17	0.17
Pilonidal cyst	686.3	0.31	0.18	0.09	0.06
Synovitis and tenosynovitis	727.1	0.27	0.55	0.84	0.9
